time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.001080,0.005794,0.000000,0.000000,0.000000,0.000000,0.045477,0.020080,0.038126
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067966,0.047390,0.094771
0.000,0.000000,0.000000,0.000000,0.000000,0.012288,0.000000,0.041479,0.029719,0.061002
0.000,0.002971,0.000000,0.000000,0.013699,0.000000,0.000000,0.003498,0.016064,0.021242
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029985,0.018474,0.041394
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045977,0.040964,0.068627
0.000,0.000000,0.005267,0.000000,0.000000,0.000000,0.000000,0.044478,0.036145,0.060458
0.000,0.000000,0.000000,0.000000,0.000000,0.021699,0.000000,0.029985,0.021687,0.026144
0.000,0.000810,0.010535,0.000000,0.000000,0.000000,0.000000,0.027486,0.013655,0.031046
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083458,0.057028,0.157407
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112444,0.042570,0.187908
0.000,0.007291,0.000000,0.000000,0.000000,0.000000,0.000000,0.071964,0.032129,0.099129
0.000,0.000270,0.000000,0.000000,0.004835,0.000000,0.000000,0.047476,0.019277,0.050654
0.000,0.033756,0.025283,0.001759,0.041902,0.031111,0.023624,0.054473,0.042570,0.035948
0.000,0.019984,0.019752,0.002345,0.021219,0.015948,0.007517,0.098951,0.044177,0.123094
0.000,0.020794,0.018962,0.000000,0.022025,0.028497,0.014765,0.043978,0.028112,0.031046
0.000,0.031056,0.018699,0.009088,0.027397,0.039739,0.022819,0.105947,0.042570,0.129630
0.000,0.026735,0.018699,0.000000,0.017459,0.014641,0.019597,0.032484,0.028112,0.031046
0.000,0.015933,0.031077,0.002052,0.019608,0.024314,0.009933,0.091454,0.060241,0.123094
0.000,0.000000,0.022386,0.000000,0.042707,0.037386,0.028993,0.038481,0.040964,0.031046
0.000,0.062922,0.055307,0.014365,0.056675,0.041830,0.057718,0.140930,0.044980,0.132353
0.000,0.050770,0.002370,0.000000,0.015847,0.024837,0.011544,0.036982,0.037751,0.037037
0.000,0.040778,0.040295,0.015538,0.033038,0.039477,0.037315,0.109945,0.057028,0.125272
0.000,0.028085,0.000000,0.000000,0.023905,0.017516,0.027651,0.034483,0.040964,0.031046
0.000,0.031056,0.041875,0.003518,0.023637,0.020654,0.000000,0.095952,0.053815,0.128540
0.000,0.035917,0.038715,0.000000,0.031963,0.018039,0.000000,0.035482,0.025703,0.027778
0.000,0.054280,0.053727,0.027851,0.048080,0.062745,0.037584,0.188906,0.035341,0.129630
0.000,0.037537,0.059257,0.002052,0.034381,0.027451,0.037584,0.047476,0.034538,0.038126
0.000,0.051850,0.043455,0.016124,0.054257,0.059346,0.061477,0.116442,0.053012,0.130719
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007248,0.022489,0.016064,0.035403
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100450,0.045783,0.117102
0.000,0.000540,0.001844,0.000000,0.000537,0.000000,0.000000,0.039480,0.015261,0.013072
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.000,0.019714,0.027390,0.038698,0.036530,0.048366,0.033289,0.195902,0.044980,0.534314
0.000,0.076425,0.077693,0.204046,0.076551,0.083137,0.095302,0.441779,0.220884,0.724401
0.000,0.002971,0.002107,0.000000,0.000000,0.000000,0.004295,0.076462,0.018474,0.225490
0.000,0.004321,0.004741,0.000000,0.000000,0.000000,0.000537,0.089955,0.026506,0.096405
0.000,0.000540,0.000000,0.000000,0.000000,0.000784,0.000000,0.020490,0.024900,0.030501
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146427,0.063454,0.203159
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146427,0.049799,0.194444
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.147926,0.061847,0.181373
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066467,0.025703,0.069172
0.000,0.045639,0.040558,0.000000,0.049423,0.049935,0.035705,0.137931,0.040964,0.137255
0.000,0.000000,0.001317,0.000000,0.000000,0.011765,0.000000,0.045977,0.013655,0.041394
0.000,0.000000,0.000000,0.001759,0.000000,0.000000,0.000000,0.113943,0.020080,0.118192
0.000,0.021604,0.000000,0.000000,0.000000,0.000000,0.000000,0.135432,0.050602,0.170479
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154423,0.047390,0.193900
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143428,0.050602,0.193355
0.000,0.000000,0.000000,0.008795,0.000000,0.000000,0.000000,0.155422,0.047390,0.196078
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155922,0.047390,0.196078
0.000,0.000000,0.000000,0.014072,0.000000,0.000261,0.000000,0.167916,0.055422,0.196623
0.000,0.007561,0.000000,0.013779,0.000000,0.000000,0.000000,0.162919,0.057028,0.192810
0.000,0.000000,0.000000,0.002639,0.000000,0.000000,0.000000,0.169915,0.054618,0.193900
0.000,0.000000,0.000000,0.012606,0.000000,0.000000,0.000000,0.157921,0.060241,0.193900
0.000,0.000000,0.000000,0.027851,0.005909,0.000000,0.000000,0.164418,0.058635,0.193900
0.000,0.000000,0.000000,0.026092,0.000000,0.000000,0.000000,0.147926,0.058635,0.187364
0.000,0.000000,0.000000,0.029317,0.000000,0.000000,0.000000,0.161419,0.060241,0.193900
0.000,0.000000,0.000000,0.020815,0.000000,0.006275,0.000000,0.161919,0.060241,0.192266
0.000,0.000000,0.000000,0.018763,0.000000,0.000000,0.000000,0.171914,0.065060,0.192266
0.000,0.000000,0.000000,0.015538,0.000000,0.000000,0.000000,0.177411,0.047390,0.192266
0.000,0.001620,0.000000,0.013193,0.000000,0.004183,0.000000,0.171414,0.060241,0.193900
0.000,0.000000,0.000000,0.010847,0.000000,0.000000,0.000000,0.160420,0.058635,0.191721
0.000,0.000000,0.000000,0.008502,0.000000,0.000000,0.000000,0.170915,0.050602,0.191721
0.000,0.000000,0.000000,0.010554,0.000000,0.000000,0.000000,0.167416,0.047390,0.187908
0.000,0.000000,0.000000,0.008502,0.000000,0.000000,0.000000,0.173913,0.060241,0.185185
0.000,0.000000,0.000000,0.006450,0.000000,0.000000,0.000000,0.165417,0.047390,0.186819
0.000,0.000000,0.000000,0.011434,0.000000,0.000000,0.000000,0.172414,0.045783,0.189542
0.000,0.000000,0.000000,0.008209,0.000000,0.000000,0.000000,0.166417,0.057028,0.184096
0.000,0.000000,0.001053,0.011434,0.000000,0.000000,0.000000,0.171914,0.047390,0.188453
0.000,0.000000,0.000000,0.009675,0.000000,0.000000,0.000000,0.161419,0.044177,0.187364
0.000,0.000000,0.000000,0.010261,0.000000,0.000000,0.000000,0.168416,0.057028,0.187908
0.000,0.000000,0.000000,0.009088,0.000000,0.000000,0.000000,0.161419,0.057831,0.187364
0.000,0.000000,0.000000,0.010554,0.000000,0.000000,0.000000,0.166417,0.058635,0.187908
