time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129016,0.031863,0.199201
0.000,0.001050,0.000000,0.000000,0.000000,0.000000,0.000000,0.134197,0.035948,0.198059
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131088,0.039216,0.202055
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137306,0.026144,0.200342
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126943,0.050654,0.196347
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133161,0.035131,0.202055
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000514,0.130052,0.037582,0.196347
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136269,0.032680,0.198059
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131606,0.049020,0.198059
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.161140,0.035948,0.197489
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134197,0.033497,0.198059
0.000,0.000000,0.000000,0.000000,0.003907,0.000000,0.000000,0.132124,0.034314,0.198059
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134197,0.035131,0.198630
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134197,0.034314,0.198059
0.000,0.000000,0.000261,0.000000,0.000000,0.000000,0.000000,0.127461,0.037582,0.197489
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131606,0.034314,0.198059
0.000,0.000000,0.000000,0.000000,0.000000,0.000544,0.000000,0.123834,0.035948,0.203196
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129534,0.044935,0.198630
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131606,0.031046,0.196347
0.000,0.001050,0.000000,0.000000,0.000000,0.000000,0.000000,0.137824,0.031046,0.199772
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127461,0.055556,0.197489
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139378,0.035948,0.198630
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132124,0.036765,0.202055
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134197,0.046569,0.198630
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124870,0.037582,0.197489
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131088,0.046569,0.199772
0.000,0.000000,0.002871,0.000000,0.000000,0.000000,0.000000,0.127979,0.037582,0.197489
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127461,0.035131,0.196347
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124352,0.027778,0.198630
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132124,0.041667,0.198630
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.122798,0.035131,0.197489
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131088,0.044118,0.197489
0.000,0.000000,0.006004,0.000000,0.000000,0.004354,0.000000,0.040415,0.017974,0.037671
0.000,0.000000,0.035239,0.003136,0.000000,0.000000,0.000000,0.076166,0.032680,0.090183
0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070984,0.022876,0.089041
0.000,0.000000,0.000000,0.006272,0.000000,0.000000,0.000000,0.091710,0.015523,0.090753
0.000,0.008134,0.020882,0.010975,0.020024,0.026395,0.056284,0.057513,0.026144,0.029680
0.000,0.000000,0.003132,0.028536,0.001221,0.000000,0.002056,0.088083,0.014706,0.091895
0.000,0.047494,0.057165,0.091878,0.050061,0.042721,0.045233,0.149741,0.024510,0.243721
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.000,0.024141,0.036283,0.188774,0.034188,0.042449,0.025443,0.185492,0.044118,0.533105
0.000,0.284440,0.281128,0.588586,0.260073,0.300680,0.364174,0.634715,0.642974,0.994863
0.000,0.000000,0.000000,0.041079,0.000000,0.000000,0.000000,0.069948,0.018791,0.095890
0.000,0.000000,0.000000,0.062402,0.000000,0.002993,0.012593,0.089119,0.011438,0.135845
0.000,0.018105,0.000000,0.072437,0.000000,0.000000,0.000000,0.120725,0.049020,0.202055
0.000,0.000000,0.000000,0.066479,0.000488,0.000000,0.000000,0.137306,0.031046,0.198059
0.000,0.000000,0.000000,0.066165,0.000000,0.000000,0.000000,0.127979,0.040033,0.173516
0.000,0.001312,0.000000,0.072750,0.000000,0.000000,0.000000,0.137306,0.034314,0.188927
0.000,0.000000,0.000000,0.071182,0.000000,0.000000,0.000000,0.131088,0.035131,0.195776
0.000,0.000000,0.000000,0.085920,0.000000,0.000000,0.012079,0.146114,0.044118,0.198059
0.000,0.000000,0.000000,0.068674,0.000000,0.000000,0.000000,0.138342,0.032680,0.141553
0.000,0.000000,0.000000,0.052995,0.000000,0.000000,0.000000,0.061140,0.011438,0.066210
0.000,0.000000,0.000000,0.028849,0.000000,0.018776,0.000000,0.020207,0.019608,0.046804
0.000,0.000000,0.000000,0.039197,0.000000,0.000000,0.000000,0.063731,0.009804,0.083333
0.000,0.000000,0.000000,0.063656,0.000000,0.000000,0.000000,0.115544,0.034314,0.191781
0.000,0.000000,0.000000,0.071809,0.000000,0.002177,0.000000,0.139378,0.031863,0.197489
0.000,0.000000,0.000783,0.045469,0.000000,0.000000,0.000000,0.121244,0.025327,0.186073
0.000,0.000000,0.000000,0.042333,0.000000,0.000000,0.000000,0.144560,0.050654,0.210046
0.000,0.000000,0.000000,0.031671,0.000000,0.000000,0.000000,0.141451,0.035131,0.208904
