time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.938429,0.701149,0.948247,0.000000,0.000000,0.754144,0.518519,0.570093
0.000,0.000000,0.825902,0.490421,0.819699,0.000000,0.054945,0.762431,0.518519,0.518692
0.000,0.000000,0.944798,0.643678,0.939900,0.000000,0.000000,0.856354,0.444444,0.532710
0.000,0.000000,0.855626,0.421456,0.809683,0.000000,0.000000,0.745856,0.407407,0.476636
0.000,0.195455,0.968153,0.693487,0.969950,0.000000,0.000000,0.875691,0.592593,0.672897
0.000,0.000000,0.889597,0.597701,0.813022,0.000000,0.000000,0.883978,0.388889,0.682243
0.000,0.000000,0.983015,0.873563,0.979967,0.000000,0.000000,0.941989,0.500000,0.766355
0.000,0.000000,0.876858,0.670498,0.893155,0.000000,1.000000,0.889503,0.777778,0.682243
0.000,0.000000,0.944798,0.823755,0.976628,0.022857,0.000000,0.886740,0.592593,0.654206
0.000,0.000000,0.842887,0.540230,0.816361,0.028571,0.000000,0.798343,0.518519,0.518692
0.000,0.918182,0.936306,0.647510,0.949917,0.000000,0.054945,0.834254,0.518519,0.532710
0.000,0.000000,0.885350,0.532567,0.776294,0.000000,0.000000,0.787293,0.407407,0.593458
0.000,0.000000,0.940552,0.735632,0.979967,0.000000,0.000000,0.856354,0.518519,0.616822
0.000,0.000000,0.870488,0.540230,0.813022,0.188571,0.000000,0.839779,0.555556,0.579439
0.000,0.013636,0.957537,0.766284,1.000000,0.000000,0.000000,0.864641,0.703704,0.668224
0.000,0.000000,0.889597,0.643678,0.826377,0.000000,0.000000,0.864641,0.555556,0.668224
0.000,0.000000,0.953291,0.800766,0.973289,0.091429,0.000000,0.850829,0.851852,0.640187
0.000,0.000000,0.864119,0.605364,0.833055,0.000000,0.000000,0.784530,0.685185,0.630841
0.000,0.000000,0.940552,0.758621,0.976628,0.000000,0.098901,0.906077,0.629630,0.593458
0.000,0.000000,0.876858,0.578544,0.828047,0.045714,0.000000,0.834254,0.462963,0.635514
0.000,0.000000,0.949045,0.754789,0.961603,0.000000,0.000000,0.834254,0.481481,0.607477
0.000,0.000000,0.872611,0.486590,0.823038,0.000000,0.000000,0.823204,0.759259,0.565421
0.000,0.000000,0.936306,0.701149,0.983306,0.000000,0.000000,0.861878,0.518519,0.607477
0.000,0.000000,0.866242,0.570881,0.824708,0.000000,0.000000,0.828729,0.666667,0.644860
0.000,0.000000,0.961783,0.762452,0.966611,0.000000,0.000000,0.872928,0.888889,0.635514
0.000,0.059091,0.872611,0.528736,0.823038,0.000000,0.000000,0.845304,0.555556,0.593458
0.000,0.000000,0.959660,0.808429,0.974958,0.000000,0.010989,0.867403,0.537037,0.654206
0.000,0.000000,0.813163,0.616858,0.828047,0.000000,0.000000,0.861878,0.444444,0.644860
0.000,0.000000,0.944798,0.800766,0.986644,0.000000,0.000000,0.955801,0.388889,0.672897
0.000,0.000000,0.851380,0.616858,0.833055,0.000000,0.000000,0.798343,0.833333,0.626168
0.000,1.000000,0.936306,0.647510,0.939900,1.000000,0.000000,0.812155,0.518519,0.518692
0.000,0.000000,0.851380,0.425287,0.809683,0.000000,0.000000,0.756906,0.759259,0.500000
0.000,0.000000,0.923567,0.570881,0.939900,0.000000,0.000000,0.773481,0.592593,0.443925
0.000,0.000000,0.834395,0.371648,0.789649,0.000000,0.000000,0.756906,0.351852,0.429907
0.000,0.000000,0.908705,0.475096,0.919866,0.000000,0.197802,0.693370,0.240741,0.387850
0.000,0.000000,0.808917,0.272031,0.767947,0.000000,0.000000,0.682320,0.314815,0.364486
0.000,0.081818,0.927813,0.517241,0.926544,0.000000,0.000000,0.740331,0.666667,0.476636
0.000,0.000000,0.881104,0.509579,0.833055,0.331429,0.000000,0.812155,0.462963,0.649533
0.000,0.000000,0.966030,0.812261,0.000000,0.000000,0.000000,0.930939,1.000000,0.719626
0.000,0.000000,0.874735,0.563218,0.006678,0.000000,0.230769,0.812155,0.425926,0.565421
0.000,0.000000,0.908705,0.639847,0.061770,0.000000,0.000000,0.817680,0.481481,0.500000
0.000,0.000000,0.825902,0.318008,0.000000,0.000000,0.000000,0.665746,0.296296,0.383178
0.000,0.000000,0.893843,0.444444,0.000000,0.017143,0.021978,0.701657,0.481481,0.369159
0.000,0.000000,0.825902,0.291188,0.000000,0.000000,0.000000,0.751381,0.333333,0.369159
0.000,0.000000,0.953291,0.570881,0.000000,0.000000,0.000000,0.784530,0.462963,0.542056
0.000,0.000000,0.804671,0.352490,0.000000,0.011429,0.000000,0.690608,0.222222,0.345794
0.000,0.000000,0.889597,0.432950,0.000000,0.000000,0.000000,0.687845,0.222222,0.327103
0.000,0.000000,0.889597,0.563218,0.000000,0.000000,0.000000,0.906077,0.759259,0.869159
0.000,0.000000,0.972399,0.881226,0.000000,0.000000,0.000000,1.000000,0.592593,0.990654
0.000,0.000000,0.889597,0.785441,0.000000,0.000000,0.000000,0.964088,0.407407,0.920561
0.000,0.000000,0.917197,0.670498,0.000000,0.000000,0.230769,0.779006,0.185185,0.420561
0.000,0.072727,0.721868,0.000000,0.000000,0.091429,0.000000,0.464088,0.000000,0.000000
0.000,0.000000,0.970276,0.628352,0.000000,0.000000,0.000000,0.812155,0.518519,0.850467
0.000,0.000000,0.698514,0.467433,0.000000,0.000000,0.000000,0.660221,0.425926,0.607477
0.000,0.000000,0.000000,0.708812,0.000000,0.000000,0.000000,0.817680,0.888889,0.836449
0.000,0.000000,0.000000,0.685824,0.008347,0.000000,0.000000,0.834254,0.518519,0.967290
0.000,0.150000,0.239915,0.873563,0.000000,0.000000,0.000000,0.848066,0.555556,0.925234
0.000,0.000000,0.477707,0.716475,0.000000,0.000000,0.000000,0.732044,0.425926,0.728972
0.000,0.000000,0.830149,0.770115,0.000000,0.102857,0.000000,0.834254,0.888889,0.780374
0.000,0.000000,0.889597,0.517241,0.000000,0.011429,0.000000,0.732044,0.592593,0.682243
0.000,0.000000,0.987261,0.892720,0.000000,0.000000,0.000000,0.883978,0.592593,0.943925
0.000,0.000000,0.891720,0.762452,0.000000,0.000000,0.000000,0.875691,0.555556,0.981308
0.000,0.000000,0.942675,0.839080,0.000000,0.000000,0.000000,0.837017,0.592593,0.672897
0.000,0.713636,0.885350,0.670498,0.000000,0.000000,0.000000,0.878453,0.592593,0.869159
0.000,0.000000,0.980892,0.923372,0.000000,0.000000,0.000000,0.941989,0.814815,0.981308
