time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.813596,0.975610,0.000000,0.000000,0.000000,0.133690,0.314286,0.800000
0.000,0.000000,0.673246,0.500000,0.000000,0.000000,0.000000,0.122995,0.514286,0.766667
0.000,0.000000,0.774123,0.951220,0.000000,0.000000,0.000000,0.160428,0.657143,0.833333
0.000,0.000000,0.666667,0.536585,0.000000,0.000000,0.000000,0.139037,0.257143,0.733333
0.000,0.000000,0.782895,0.902439,0.000000,0.000000,0.000000,0.155080,0.257143,0.866667
0.000,0.000000,0.686404,0.536585,0.000000,0.000000,0.000000,0.096257,0.142857,0.766667
0.000,0.000000,0.752193,0.951220,0.000000,0.000000,0.000000,0.000000,0.257143,0.816667
0.000,0.000000,0.660088,0.597561,0.056022,0.000000,0.000000,0.139037,0.057143,0.800000
0.000,0.000000,0.701754,0.926829,0.000000,0.000000,0.000000,0.165775,0.257143,0.883333
0.000,0.000000,0.631579,0.560976,0.000000,0.000000,0.000000,0.122995,0.342857,0.833333
0.000,0.024038,0.682018,0.890244,0.000000,0.155556,0.000000,0.192513,0.257143,0.833333
0.000,0.000000,0.541667,0.560976,0.000000,0.000000,0.000000,0.096257,0.771429,0.800000
0.000,0.000000,0.614035,0.975610,0.000000,0.000000,0.000000,0.181818,0.371429,0.766667
0.000,0.000000,0.541667,0.500000,0.061625,0.733333,0.000000,0.053476,0.657143,0.833333
0.000,0.096154,0.719298,0.951220,0.000000,0.000000,0.000000,0.155080,0.285714,0.833333
0.000,0.000000,0.589912,0.475610,0.000000,0.000000,0.000000,0.074866,0.428571,0.816667
0.000,0.000000,0.611842,0.926829,0.000000,0.000000,0.000000,0.144385,0.228571,0.833333
0.000,0.000000,0.550439,0.512195,0.011204,1.000000,0.000000,0.122995,0.714286,0.800000
0.000,0.000000,0.552632,0.853659,0.000000,0.000000,0.000000,0.155080,0.257143,0.866667
0.000,0.000000,0.570175,0.317073,0.000000,0.000000,0.000000,0.090909,0.285714,0.833333
0.000,0.000000,0.585526,0.951220,0.000000,0.000000,0.000000,0.155080,0.228571,0.833333
0.000,0.000000,0.508772,0.463415,0.000000,0.000000,0.000000,0.272727,0.257143,0.866667
0.000,0.000000,0.532895,0.853659,0.000000,0.000000,0.000000,0.176471,0.485714,0.850000
0.000,0.000000,0.456140,0.463415,0.095238,0.000000,0.000000,0.112299,0.657143,0.833333
0.000,0.000000,0.541667,0.926829,0.000000,0.000000,0.000000,0.176471,0.314286,0.850000
0.000,0.019231,0.480263,0.463415,0.000000,0.000000,0.000000,0.069519,0.285714,0.783333
0.000,0.000000,0.651316,0.914634,0.000000,0.000000,0.000000,0.208556,0.257143,0.816667
0.000,0.000000,0.747807,0.560976,0.000000,0.000000,0.000000,0.155080,0.200000,0.733333
0.000,0.000000,0.864035,0.963415,0.025210,0.000000,0.000000,0.128342,0.142857,0.766667
0.000,0.000000,0.890351,0.536585,0.011204,0.000000,0.000000,0.048128,0.142857,0.733333
0.000,0.000000,0.982456,1.000000,0.000000,0.000000,0.000000,0.272727,0.771429,0.900000
0.000,0.000000,0.918860,0.609756,0.000000,0.000000,0.000000,0.438503,0.314286,0.766667
0.000,0.000000,1.000000,0.975610,0.000000,0.000000,0.000000,0.828877,0.285714,0.900000
0.000,0.000000,0.857456,0.414634,1.000000,0.000000,0.000000,0.625668,0.057143,0.000000
0.000,0.000000,0.936404,0.951220,0.000000,0.000000,0.000000,0.935829,0.800000,0.800000
0.000,0.000000,0.800439,0.560976,0.000000,0.000000,0.000000,0.893048,0.828571,0.700000
0.000,1.000000,0.774123,0.695122,0.000000,0.955556,0.000000,1.000000,0.714286,0.800000
0.000,0.000000,0.585526,0.000000,0.000000,0.000000,0.000000,0.711230,0.285714,0.450000
0.000,0.000000,0.453947,0.817073,0.000000,0.000000,0.000000,0.946524,0.428571,0.950000
0.000,0.000000,0.179825,0.414634,0.000000,0.088889,0.000000,0.957219,0.285714,0.833333
0.000,0.000000,0.000000,0.829268,0.000000,0.000000,1.000000,0.882353,0.714286,0.800000
0.000,0.000000,0.000000,0.439024,0.000000,0.000000,0.000000,0.828877,0.228571,0.750000
0.000,0.000000,0.000000,0.780488,0.000000,0.000000,0.000000,0.871658,0.228571,0.900000
0.000,0.009615,0.000000,0.390244,0.000000,0.000000,0.000000,0.818182,0.771429,0.933333
0.000,0.000000,0.000000,0.743902,0.000000,0.000000,0.000000,0.903743,0.371429,0.950000
0.000,0.000000,0.000000,0.439024,0.000000,0.000000,0.000000,0.695187,0.085714,0.900000
0.000,0.192308,0.000000,0.743902,0.000000,0.000000,0.000000,0.882353,0.257143,0.900000
0.000,0.000000,0.000000,0.390244,0.000000,0.000000,0.000000,0.695187,0.828571,0.833333
0.000,0.000000,0.000000,0.731707,0.000000,0.088889,0.000000,0.903743,0.942857,0.900000
