time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.845304,0.627273,0.000000,0.000000,0.705263,0.500000,0.983871
0.000,0.000000,0.000000,0.925414,1.000000,0.000000,0.000000,0.761404,0.967742,0.975806
0.000,0.000000,0.000000,0.828729,0.618182,0.000000,0.000000,0.719298,0.870968,0.967742
0.000,0.000000,0.000000,0.936464,0.918182,0.000000,0.000000,0.747368,0.596774,0.975806
0.000,0.000000,0.000000,0.837017,0.622727,0.000000,0.000000,0.698246,0.709677,0.975806
0.000,0.000000,0.000000,0.928177,0.840909,0.000000,0.000000,0.782456,0.935484,0.975806
0.000,0.000000,0.000000,0.828729,0.590909,0.000000,0.000000,0.757895,0.806452,0.983871
0.000,0.000000,0.000000,0.922652,0.895455,0.000000,0.000000,0.750877,1.000000,0.975806
0.000,0.000000,0.000000,0.828729,0.600000,0.000000,0.000000,0.694737,0.548387,0.971774
0.000,0.000000,0.000000,0.917127,0.872727,0.000000,0.000000,0.757895,0.500000,0.983871
0.000,0.000000,0.000000,0.845304,0.563636,0.000000,0.000000,0.768421,0.532258,0.975806
0.000,0.000000,0.000000,0.922652,0.863636,0.000000,0.000000,0.768421,0.806452,0.971774
0.000,0.000000,0.000000,0.845304,0.631818,0.000000,0.000000,0.705263,0.854839,0.975806
0.000,0.000000,0.000000,0.944751,0.804545,0.160000,0.000000,0.715789,0.741935,0.983871
0.000,0.000000,0.000000,0.834254,0.609091,0.080000,0.000000,0.705263,0.870968,0.991935
0.000,0.000000,0.000000,0.939227,0.822727,0.000000,0.000000,0.747368,0.709677,0.979839
0.000,0.000000,0.000000,0.834254,0.604545,0.000000,0.000000,0.719298,0.645161,0.983871
0.000,0.000000,0.000000,0.928177,0.836364,0.000000,0.000000,0.754386,0.580645,1.000000
0.000,0.000000,0.000000,0.850829,0.618182,0.000000,0.000000,0.705263,0.645161,1.000000
0.000,0.000000,0.000000,0.922652,0.781818,0.000000,0.000000,0.750877,0.774194,0.971774
0.000,0.000000,0.000000,0.845304,0.631818,0.000000,0.000000,0.705263,0.870968,0.971774
0.000,0.000000,0.000000,0.950276,0.868182,0.000000,0.000000,0.729825,0.741935,0.983871
0.000,0.000000,0.000000,0.834254,0.636364,0.000000,0.290323,0.649123,0.677419,0.991935
0.000,0.000000,0.000000,0.922652,0.881818,0.000000,0.000000,0.764912,0.870968,0.971774
0.000,0.000000,0.000000,0.856354,0.604545,0.000000,0.000000,0.691228,0.677419,0.967742
0.000,0.000000,0.000000,0.922652,0.872727,0.000000,0.000000,0.715789,0.516129,0.971774
0.000,0.000000,0.000000,0.845304,0.613636,0.000000,0.000000,0.698246,0.677419,0.967742
0.000,0.000000,0.000000,0.925414,0.886364,0.000000,0.000000,0.754386,0.532258,0.983871
0.000,0.000000,0.000000,0.845304,0.645455,0.000000,0.000000,0.705263,0.806452,0.979839
0.000,0.000000,0.000000,0.925414,0.881818,0.000000,0.000000,0.747368,0.661290,0.991935
0.000,0.000000,0.084599,0.850829,0.618182,0.000000,0.000000,0.698246,0.822581,0.971774
0.000,0.000000,0.524946,0.972376,0.895455,0.000000,0.000000,0.754386,0.645161,0.967742
0.000,0.000000,0.516269,0.715470,0.513636,0.000000,0.000000,0.585965,0.725806,0.725806
0.000,0.252874,0.891540,0.955801,0.863636,0.040000,0.000000,0.691228,0.725806,0.862903
0.000,0.000000,0.791757,0.508287,0.372727,1.000000,0.000000,0.508772,0.209677,0.435484
0.000,0.551724,0.867679,0.406077,0.563636,0.000000,0.000000,0.333333,0.274194,0.350806
0.000,0.000000,0.902386,0.701657,0.463636,0.000000,0.000000,0.585965,0.854839,0.919355
0.000,0.000000,0.986985,0.933702,0.890909,0.000000,0.000000,0.670175,0.645161,0.971774
0.000,0.195402,0.917570,0.870166,0.581818,0.000000,0.000000,0.729825,0.516129,0.983871
0.000,0.000000,1.000000,0.980663,0.927273,0.000000,0.000000,0.943860,0.596774,0.983871
0.000,0.000000,0.911063,0.867403,0.627273,0.040000,0.000000,0.866667,0.580645,0.935484
0.000,0.000000,0.982646,0.994475,0.940909,0.000000,0.000000,0.929825,0.564516,0.971774
0.000,0.000000,0.930586,0.883978,0.590909,0.000000,0.000000,0.898246,0.483871,0.967742
0.000,0.000000,0.986985,0.994475,0.918182,0.000000,0.000000,1.000000,0.564516,0.987903
0.000,0.000000,0.911063,0.881215,0.622727,0.000000,0.000000,0.943860,0.935484,0.975806
0.000,0.000000,0.978308,0.994475,0.936364,0.000000,0.000000,0.964912,0.838710,0.979839
0.000,0.000000,0.898048,0.870166,0.586364,0.000000,0.000000,0.887719,0.758065,0.975806
0.000,0.000000,0.982646,0.994475,0.890909,0.000000,0.000000,0.859649,0.516129,0.983871
0.000,0.000000,0.908894,0.875691,0.581818,0.000000,0.000000,0.880702,0.822581,0.991935
0.000,0.000000,0.963124,0.980663,0.909091,0.000000,0.000000,0.901754,0.903226,0.975806
0.000,0.000000,0.891540,0.867403,0.563636,0.000000,0.000000,0.852632,0.532258,0.983871
0.000,0.000000,0.963124,0.980663,0.895455,0.000000,0.000000,0.824561,0.741935,0.975806
