time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.898734,0.933155,0.000000,0.000000,0.000000,0.860274,0.531915,0.968750
0.000,0.000000,0.569620,0.823529,0.000000,0.178571,0.000000,0.835616,0.702128,0.960938
0.000,0.000000,0.873418,0.922460,0.000000,0.000000,0.020619,0.868493,0.595745,0.960938
0.000,0.000000,0.582278,0.812834,0.000000,0.000000,0.000000,0.852055,0.659574,0.957031
0.000,0.000000,0.886076,0.922460,0.000000,0.392857,0.000000,0.871233,0.531915,0.968750
0.000,0.000000,0.582278,0.812834,0.472637,0.000000,0.000000,0.846575,0.936170,0.968750
0.000,0.000000,0.873418,0.925134,0.000000,0.000000,0.000000,0.879452,0.659574,0.964844
0.000,0.000000,0.455696,0.807487,0.000000,0.000000,0.000000,0.835616,0.553191,0.976562
0.000,0.000000,0.886076,0.949198,0.000000,0.000000,0.000000,0.898630,0.446809,0.968750
0.000,0.000000,0.575949,0.823529,0.000000,1.000000,0.000000,0.873973,0.617021,0.980469
0.000,0.000000,0.898734,0.917112,0.243781,0.000000,0.000000,0.895890,0.851064,0.957031
0.000,0.000000,0.575949,0.818182,0.000000,0.785714,0.000000,0.846575,0.510638,0.953125
0.000,0.000000,0.873418,0.922460,0.000000,0.000000,0.000000,0.890411,0.957447,0.972656
0.000,0.437500,0.582278,0.818182,0.000000,0.000000,0.051546,0.890411,0.744681,0.949219
0.000,0.000000,0.886076,0.914439,0.000000,0.000000,0.422680,0.917808,0.617021,0.976562
0.000,0.105769,0.455696,0.807487,0.000000,0.142857,0.000000,0.824658,0.553191,0.960938
0.000,0.000000,0.886076,0.922460,0.000000,0.285714,0.123711,0.934247,0.510638,0.964844
0.000,0.000000,0.537975,0.796791,0.000000,0.000000,0.000000,0.873973,0.574468,0.968750
0.000,0.000000,0.879747,0.914439,0.000000,0.000000,0.000000,0.906849,0.617021,0.996094
0.000,0.000000,0.582278,0.786096,0.000000,0.000000,0.000000,0.863014,0.489362,0.968750
0.000,0.000000,0.873418,0.925134,0.039801,0.000000,0.000000,0.876712,0.574468,0.976562
0.000,0.019231,0.569620,0.799465,0.000000,0.000000,0.000000,0.780822,0.851064,0.968750
0.000,0.000000,0.974684,0.941176,0.000000,0.000000,0.000000,0.906849,0.617021,0.972656
0.000,0.000000,0.563291,0.804813,0.000000,0.000000,0.000000,0.868493,0.617021,0.972656
0.000,0.000000,0.905063,0.914439,0.000000,0.000000,0.000000,0.906849,0.574468,0.968750
0.000,0.000000,0.506329,0.818182,0.059701,0.071429,0.000000,0.863014,0.936170,0.968750
0.000,0.000000,0.873418,0.901070,0.000000,0.000000,0.000000,0.931507,1.000000,0.960938
0.000,0.000000,0.537975,0.802139,0.000000,0.000000,0.000000,0.901370,0.510638,0.957031
0.000,0.870192,0.867089,0.919786,0.000000,0.000000,0.000000,0.879452,0.617021,0.972656
0.000,0.000000,0.563291,0.796791,0.000000,0.000000,0.000000,0.832877,0.531915,0.960938
0.000,0.000000,0.924051,0.901070,0.000000,0.000000,0.000000,0.953425,0.744681,0.953125
0.000,0.000000,0.632911,0.836898,0.039801,0.321429,0.000000,0.863014,0.702128,0.992188
0.000,0.000000,0.987342,0.938503,0.000000,0.428571,0.000000,0.972603,0.617021,0.984375
0.000,0.000000,0.594937,0.807487,0.000000,0.000000,0.000000,0.972603,0.617021,0.937500
0.000,0.000000,1.000000,0.925134,0.000000,0.000000,0.000000,1.000000,1.000000,0.937500
0.000,0.000000,0.392405,0.537433,0.000000,0.000000,0.000000,0.808219,0.489362,0.484375
0.000,0.014423,0.753165,0.566845,0.000000,0.000000,0.000000,0.852055,0.340426,0.492188
0.000,0.000000,0.253165,0.216578,0.000000,0.000000,0.000000,0.432877,0.446809,0.250000
0.000,0.000000,0.898734,0.786096,0.000000,0.000000,0.000000,0.643836,0.404255,0.933594
0.000,0.000000,0.708861,0.772727,0.000000,0.000000,0.000000,0.534247,0.638298,0.976562
0.000,0.000000,0.867089,0.909091,0.000000,0.000000,0.000000,0.468493,0.787234,0.976562
0.000,0.000000,0.658228,0.802139,0.000000,0.000000,0.000000,0.369863,0.702128,0.976562
0.000,0.000000,0.898734,0.919786,0.000000,0.000000,0.000000,0.342466,0.489362,0.976562
0.000,0.000000,0.670886,0.828877,0.000000,0.000000,0.000000,0.260274,0.872340,0.968750
0.000,0.000000,0.898734,0.909091,0.000000,0.000000,0.000000,0.254795,0.744681,0.937500
0.000,0.000000,0.658228,0.815508,0.039801,0.178571,0.000000,0.219178,0.702128,0.945312
0.000,0.000000,0.278481,0.315508,0.000000,0.000000,0.000000,0.161644,0.361702,0.140625
0.000,0.000000,0.000000,0.000000,0.000000,0.071429,0.000000,0.084932,0.234043,0.000000
0.000,0.000000,0.670886,0.556150,0.000000,0.000000,0.000000,0.112329,0.319149,0.535156
0.000,0.000000,0.360759,0.315508,0.000000,0.000000,0.000000,0.109589,0.191489,0.320312
0.000,0.000000,0.455696,0.470588,0.000000,0.000000,0.000000,0.128767,0.468085,0.449219
0.000,0.557692,0.126582,0.147059,0.000000,0.000000,0.000000,0.043836,0.425532,0.144531
0.000,0.000000,0.278481,0.192513,1.000000,0.000000,0.000000,0.076712,0.021277,0.132812
0.000,0.000000,0.018987,0.010695,0.000000,0.000000,0.000000,0.046575,0.000000,0.003906
0.000,0.000000,0.816456,0.748663,0.000000,0.000000,0.000000,0.112329,0.510638,0.816406
0.000,0.000000,0.094937,0.066845,0.000000,0.000000,0.000000,0.057534,0.021277,0.082031
0.000,0.000000,0.696203,0.508021,0.000000,0.000000,0.000000,0.084932,0.446809,0.515625
0.000,0.000000,0.481013,0.548128,0.000000,0.000000,0.000000,0.000000,0.234043,0.554688
0.000,0.000000,0.632911,0.497326,0.000000,0.000000,0.000000,0.079452,0.170213,0.347656
0.000,0.000000,0.632911,0.687166,0.000000,0.000000,0.000000,0.065753,0.446809,0.812500
0.000,0.000000,0.797468,0.871658,0.000000,0.000000,0.000000,0.123288,0.234043,0.894531
