time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.933333,0.964169,0.974958,0.000000,0.000000,0.795139,0.566667,0.969432
0.000,0.000000,0.677778,0.794788,0.816361,0.000000,0.000000,0.781250,0.566667,0.978166
0.000,0.000000,0.966667,0.964169,0.976628,0.000000,0.000000,0.815972,0.566667,0.973799
0.000,0.000000,0.677778,0.781759,0.787980,0.000000,0.000000,0.770833,0.566667,0.965066
0.000,0.000000,0.933333,0.977199,0.978297,0.000000,0.000000,0.805556,0.633333,0.969432
0.000,0.400000,0.655556,0.791531,0.819699,0.000000,0.000000,0.777778,0.900000,1.000000
0.000,0.000000,0.950000,0.986971,0.984975,0.000000,0.000000,0.826389,0.616667,0.956332
0.000,0.000000,0.677778,0.804560,0.819699,0.000000,0.000000,0.760417,0.866667,0.965066
0.000,0.000000,0.977778,0.964169,0.966611,0.000000,0.000000,0.815972,0.566667,0.965066
0.000,0.000000,0.677778,0.791531,0.819699,0.000000,0.000000,0.788194,0.866667,0.973799
0.000,0.000000,0.955556,0.986971,0.979967,0.000000,0.000000,0.819444,1.000000,0.956332
0.000,0.000000,0.666667,0.811075,0.823038,0.000000,0.000000,0.746528,0.550000,0.973799
0.000,0.000000,0.966667,0.990228,0.983306,0.000000,0.000000,0.791667,0.833333,0.969432
0.000,0.000000,0.711111,0.814332,0.818030,0.000000,0.000000,0.750000,0.916667,0.973799
0.000,0.000000,0.966667,0.964169,0.993322,0.000000,0.000000,0.788194,0.666667,0.973799
0.000,0.000000,0.655556,0.798046,0.819699,0.000000,0.000000,0.722222,0.616667,0.956332
0.000,0.000000,0.944444,0.964169,0.996661,0.000000,0.000000,0.774306,0.833333,0.973799
0.000,0.000000,0.666667,0.807818,0.839733,0.000000,0.000000,0.718750,0.633333,0.965066
0.000,0.000000,0.933333,0.973941,0.989983,0.000000,0.000000,0.791667,0.833333,0.969432
0.000,0.000000,0.655556,0.798046,0.833055,0.000000,0.000000,0.743056,0.616667,0.960699
0.000,0.000000,0.905556,0.990228,0.988314,0.000000,0.000000,0.791667,0.600000,0.982533
0.000,0.000000,0.638889,0.781759,0.821369,0.000000,0.000000,0.722222,0.566667,0.978166
0.000,0.000000,0.950000,0.986971,0.993322,0.000000,0.000000,0.798611,0.800000,0.965066
0.000,0.000000,0.688889,0.798046,0.829716,0.000000,0.000000,0.760417,0.550000,0.956332
0.000,0.000000,1.000000,0.964169,0.989983,0.000000,0.000000,0.784722,0.600000,0.973799
0.000,0.000000,0.644444,0.794788,0.823038,0.000000,0.000000,0.725694,0.600000,0.969432
