time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.295238,0.079545,0.063821,0.323077,0.326007,0.336752,1.000000,0.212628,0.038047
0.000,0.005617,0.959486,0.958516,0.000000,0.000000,0.000000,1.000000,0.958217,0.915663
0.000,1.000000,0.877964,0.931791,1.000000,1.000000,1.000000,1.000000,0.408542,0.343056
0.000,0.000000,0.994071,0.970084,0.000000,0.000000,0.000000,1.000000,0.909935,0.918833
0.000,1.000000,0.893775,0.928600,1.000000,1.000000,1.000000,1.000000,0.353760,0.438808
0.000,0.000000,0.896245,0.968089,0.000000,0.000000,0.000000,1.000000,0.538533,0.801522
0.000,1.000000,0.874012,0.915038,1.000000,1.000000,1.000000,1.000000,0.375116,0.444515
0.000,0.010012,0.990119,0.968488,0.000000,0.000000,0.000000,1.000000,0.922934,0.977172
0.000,1.000000,0.888340,0.931791,1.000000,1.000000,1.000000,1.000000,0.368617,0.474952
0.000,0.000000,0.977767,0.971679,0.000000,0.000000,0.000000,1.000000,0.876509,0.978440
0.000,0.000000,0.250494,0.471480,0.000000,0.000000,0.004151,1.000000,0.203343,0.085606
0.000,0.000000,0.028162,0.054248,0.000000,0.000000,0.000000,1.000000,0.142990,0.023462
0.000,0.186081,0.049407,0.043079,0.166789,0.186325,0.178999,1.000000,0.209842,0.036145
0.000,0.000000,0.065711,0.060630,0.017582,0.000000,0.000000,1.000000,0.169916,0.085606
0.000,1.000000,0.318182,0.212206,1.000000,1.000000,1.000000,1.000000,0.338904,0.088776
0.000,0.000000,0.033597,0.031113,0.001465,0.000000,0.000000,1.000000,0.130919,0.035510
0.000,0.054457,0.029644,0.031113,0.053480,0.072039,0.069597,1.000000,0.212628,0.045022
0.000,0.000733,0.089921,0.098125,0.000000,0.000000,0.000000,1.000000,0.190344,0.083069
0.000,0.005128,0.083004,0.121260,0.000000,0.000000,0.000000,0.260152,0.090065,0.138237
0.000,0.000000,0.146245,0.161149,0.013675,0.000000,0.000000,1.000000,0.183844,0.139505
0.000,0.018071,0.083992,0.137216,0.004396,0.000000,0.003907,0.868977,0.153203,0.129360
0.000,0.000000,1.000000,0.985241,0.000000,0.000000,0.000000,0.248511,0.502321,0.890298
0.000,0.628816,0.266798,0.435181,0.697436,0.724542,0.696215,0.250947,0.152275,0.057705
0.000,0.057631,0.983202,0.944954,0.032967,0.036630,0.011966,0.200866,0.613742,0.902980
0.000,1.000000,0.881917,0.917431,1.000000,1.000000,1.000000,0.382783,0.222841,0.413443
0.000,0.000000,0.160573,0.320702,0.000000,0.000000,0.000000,0.005956,0.014856,0.017121
0.000,0.079853,0.534091,0.701635,0.069597,0.073504,0.093040,0.092041,0.081708,0.345593
0.000,0.000000,0.099802,0.200638,0.000000,0.000000,0.000000,0.023552,0.033426,0.034876
0.000,0.062515,0.030632,0.033107,0.045665,0.054701,0.060317,0.042501,0.087279,0.037413
0.000,0.000000,0.075593,0.047068,0.000000,0.000000,0.000000,0.008121,0.020427,0.032340
0.000,0.160440,0.033103,0.027124,0.149451,0.138462,0.123077,0.045208,0.077994,0.033608
0.000,0.000000,0.038538,0.014360,0.000000,0.000000,0.000000,0.000000,0.003714,0.003171
0.000,0.000733,0.028656,0.035102,0.000000,0.002198,0.000000,0.034109,0.067781,0.056436
0.000,0.000000,0.087451,0.057439,0.000000,0.006838,0.003907,0.027071,0.035283,0.046290
0.000,0.367277,0.103755,0.071400,0.350427,0.365324,0.364347,0.115322,0.113278,0.039949
0.000,0.000000,0.063241,0.029517,0.000000,0.000000,0.000000,0.006768,0.022284,0.036779
0.000,0.000000,0.063735,0.081372,0.007082,0.000000,0.000488,0.052518,0.075209,0.103361
0.000,0.000000,0.165514,0.149980,0.000000,0.000000,0.011477,0.073633,0.063138,0.142042
0.000,0.164835,0.043972,0.038293,0.175580,0.192674,0.194872,0.063346,0.084494,0.022828
0.000,0.000000,0.073123,0.037495,0.000000,0.000000,0.000000,1.000000,0.162488,0.066582
0.000,0.000000,0.064229,0.094136,0.000000,0.003907,0.000000,1.000000,0.200557,0.123653
0.000,0.000000,0.120059,0.098923,0.000000,0.000000,0.000000,1.000000,0.172702,0.062777
0.000,0.000000,0.032609,0.049860,0.007326,0.000000,0.000000,1.000000,0.183844,0.050729
0.000,0.000000,0.103755,0.082968,0.000000,0.000000,0.000000,1.000000,0.181987,0.050095
0.000,0.000000,0.026680,0.049063,0.000000,0.015629,0.000000,0.237953,0.064995,0.038681
0.000,0.000000,0.081028,0.057439,0.001954,0.000000,0.000000,0.067677,0.055710,0.028535
0.000,0.000000,0.008399,0.033905,0.004151,0.000000,0.000000,0.034109,0.050139,0.023462
0.000,0.000000,0.072134,0.042282,0.000000,0.000000,0.000000,0.025176,0.017642,0.001902
0.000,0.058852,0.013340,0.022337,0.050061,0.054457,0.045177,1.000000,0.202414,0.015853
0.000,0.000000,0.091403,0.062226,0.000000,0.000000,0.000000,1.000000,0.176416,0.048827
0.000,0.128938,0.040020,0.038692,0.152625,0.141392,0.131136,1.000000,0.199629,0.025999
0.000,0.000000,0.037549,0.023933,0.000000,0.000000,0.000000,1.000000,0.146704,0.014585
0.000,0.097924,0.021739,0.024731,0.110379,0.104762,0.088645,1.000000,0.200557,0.023462
0.000,0.000000,0.117589,0.086957,0.000000,0.000000,0.003175,1.000000,0.175487,0.070387
0.000,0.000733,0.069170,0.111687,0.000977,0.000000,0.000000,1.000000,0.194986,0.151554
0.000,0.000000,0.170455,0.161947,0.007082,0.000000,0.001221,1.000000,0.185701,0.157895
0.000,0.090598,0.033597,0.052254,0.078388,0.084005,0.083028,1.000000,0.206128,0.028535
0.000,0.000000,0.093874,0.054647,0.000000,0.000000,0.000000,1.000000,0.155989,0.024731
0.000,0.037118,0.021739,0.025130,0.056410,0.048840,0.126740,1.000000,0.185701,0.028535
0.000,0.000000,0.099802,0.053450,0.000000,0.000000,0.000000,1.000000,0.150418,0.028535
0.000,0.136264,0.038538,0.031512,0.123077,0.120391,0.129670,1.000000,0.211699,0.020292
0.000,0.115018,0.965909,0.979657,0.083516,0.072039,0.057631,1.000000,0.922006,0.935320
0.000,0.919902,0.774704,0.911847,1.000000,1.000000,1.000000,1.000000,0.295265,0.367153
0.000,0.126740,0.981225,0.998006,0.085958,0.071062,0.062271,1.000000,0.989786,0.939759
0.000,0.968254,0.819170,0.903470,1.000000,1.000000,1.000000,1.000000,0.294336,0.369689
0.000,0.147741,0.967391,1.000000,0.085714,0.084249,0.084737,1.000000,0.824513,0.948637
0.000,0.000000,0.282115,0.566015,0.000733,0.000000,0.000000,1.000000,0.202414,0.214965
0.000,0.000000,0.119565,0.219386,0.000000,0.000000,0.000000,0.380888,0.057567,0.013316
0.000,0.152137,0.055336,0.048664,0.173626,0.189255,0.168254,1.000000,0.207057,0.038681
0.000,0.000000,0.102767,0.043877,0.000000,0.000000,0.000000,1.000000,0.146704,0.032340
0.000,0.052015,0.020751,0.022337,0.065446,0.067155,0.063248,0.902815,0.185701,0.028535
0.000,0.000000,0.126482,0.055046,0.000000,0.000000,0.008059,1.000000,0.160631,0.048193
0.000,0.011477,0.000000,0.000000,0.012454,0.006105,0.034432,1.000000,0.202414,0.015219
0.000,0.000000,0.516798,0.407260,0.000000,0.000000,0.000000,1.000000,0.212628,0.487001
0.000,0.000977,0.089921,0.142800,0.000000,0.000000,0.000000,1.000000,0.198700,0.154724
0.000,0.000733,0.117589,0.074591,0.000000,0.000000,0.000000,1.000000,0.185701,0.068484
0.000,0.003907,0.058300,0.078979,0.000000,0.000000,0.000000,1.000000,0.211699,0.116043
0.000,0.000000,0.170455,0.157958,0.000000,0.000000,0.000000,1.000000,0.194986,0.159163
0.000,0.003175,0.080040,0.126446,0.000000,0.000000,0.000000,1.000000,0.190344,0.157261
0.000,0.000000,0.085968,0.039489,0.000000,0.000000,0.000000,1.000000,0.141133,0.029169
0.000,0.439560,0.209486,0.209414,0.399267,0.399512,0.411966,1.000000,0.230269,0.083069
0.000,0.000000,0.078063,0.044675,0.000000,0.000000,0.000000,1.000000,0.128134,0.019658
0.000,0.162393,0.034091,0.030315,0.167521,0.158486,0.208791,1.000000,0.215413,0.028535
0.000,0.000733,0.101285,0.067012,0.000000,0.000000,0.000000,1.000000,0.175487,0.058339
0.000,0.022711,0.002470,0.005584,0.033455,0.019780,0.024176,1.000000,0.194986,0.017755
0.000,0.006838,0.061265,0.024731,0.000000,0.000000,0.000000,1.000000,0.143918,0.012048
0.000,0.099634,0.022233,0.016753,0.105006,0.115018,0.107448,1.000000,0.194058,0.022194
0.000,0.000000,0.083498,0.047068,0.000000,0.000000,0.000000,1.000000,0.165274,0.036145
0.000,0.084737,0.015810,0.023135,0.062515,0.052503,0.058608,1.000000,0.190344,0.025365
0.000,0.000000,0.077075,0.042680,0.000000,0.000000,0.000000,1.000000,0.141133,0.024731
0.000,0.045665,0.023221,0.027922,0.038339,0.040781,0.037851,1.000000,0.187558,0.037413
0.000,0.000000,0.078063,0.049462,0.000000,0.000000,0.000000,1.000000,0.145775,0.032974
0.000,0.006838,0.011858,0.013562,0.007570,0.010012,0.022955,1.000000,0.204271,0.019023
0.000,0.000000,0.116601,0.087355,0.000000,0.000000,0.000000,0.283703,0.066852,0.061509
0.000,0.000488,0.025692,0.038293,0.000000,0.000000,0.000000,0.092853,0.055710,0.047559
0.000,0.000000,0.072628,0.031911,0.000000,0.000000,0.000000,0.038982,0.000000,0.000000
0.000,0.000000,0.055830,0.074990,0.000000,0.000000,0.000000,0.064700,0.068709,0.128725
0.000,0.000000,0.106719,0.086159,0.000000,0.000000,0.000000,0.044126,0.003714,0.030438
0.000,0.008059,0.061759,0.092541,0.002442,0.001221,0.006105,1.000000,0.198700,0.114775
0.000,0.112576,0.940711,0.974471,0.064713,0.037363,0.027350,1.000000,1.000000,1.000000
0.000,0.319902,0.402174,0.656961,0.344567,0.346276,0.318437,1.000000,0.208914,0.212429
0.000,0.000000,0.075099,0.074192,0.000000,0.000000,0.000000,1.000000,0.140204,0.020926
0.000,0.148718,0.032609,0.026326,0.118193,0.151404,0.158974,1.000000,0.200557,0.025365
0.000,0.000000,0.075593,0.034304,0.000000,0.000000,0.000000,1.000000,0.141133,0.028535
0.000,0.099389,0.023715,0.024731,0.079365,0.088645,0.082784,1.000000,0.194986,0.031072
0.000,0.000000,0.084486,0.043478,0.000000,0.000000,0.000000,1.000000,0.160631,0.039315
0.000,0.041758,0.029150,0.040686,0.091087,0.058608,0.069109,1.000000,0.194986,0.050729
0.000,0.002930,0.074605,0.059035,0.000488,0.054457,0.000000,1.000000,0.150418,0.040583
