time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.881250,0.919060,0.000000,0.000000,0.000000,0.929471,0.720430,0.977419
0.000,0.000000,0.931250,0.989556,0.000000,0.000000,0.029316,0.924433,0.913978,0.980645
0.000,0.000000,0.850000,0.939948,0.000000,0.000000,0.000000,0.899244,0.860215,0.980645
0.000,0.000000,0.912500,0.986945,0.000000,0.000000,0.000000,0.899244,0.741935,0.980645
0.000,0.000000,0.840625,0.942559,0.000000,0.000000,0.000000,0.919395,0.784946,1.000000
0.000,0.000000,0.921875,0.992167,0.000000,0.000000,0.000000,0.904282,0.720430,0.990323
0.000,0.000000,0.846875,0.937337,0.000000,0.000000,0.000000,0.904282,0.688172,0.974194
0.000,0.000000,0.921875,0.994778,0.000000,0.000000,0.000000,0.919395,0.720430,0.980645
0.000,0.000000,0.862500,0.939948,0.000000,0.000000,0.052117,0.886650,0.677419,0.980645
0.000,0.000000,0.912500,0.981723,0.000000,0.000000,0.000000,0.924433,0.827957,0.980645
0.000,0.005926,0.887500,0.942559,0.000000,0.000000,0.000000,0.934509,0.741935,1.000000
0.000,0.000000,0.912500,0.976501,0.000000,0.000000,0.000000,0.924433,0.849462,0.980645
0.000,0.000000,0.846875,0.926893,0.000000,0.000000,0.000000,0.929471,0.913978,0.996774
0.000,0.000000,0.931250,0.992167,0.000000,0.000000,0.000000,0.914358,0.731183,0.977419
0.000,0.000000,0.831250,0.939948,0.000000,0.000000,0.078176,0.886650,0.677419,0.990323
0.000,0.000000,0.928125,0.994778,0.000000,0.000000,0.003257,0.939547,0.720430,0.983871
0.000,0.000000,0.868750,0.932115,0.000000,0.000000,0.000000,0.884131,0.720430,0.977419
0.000,0.000000,0.925000,1.000000,0.000000,0.000000,0.000000,0.929471,0.763441,0.990323
0.000,0.000000,0.856250,0.947781,0.000000,0.000000,0.000000,0.909320,0.763441,0.980645
0.000,0.000000,0.940625,1.000000,0.136364,0.003289,0.000000,0.874055,0.720430,0.980645
0.000,0.000000,0.865625,0.947781,0.000000,0.000000,0.000000,0.889169,0.903226,0.970968
0.000,0.000000,0.937500,0.994778,0.000000,0.000000,0.000000,0.906801,0.827957,0.977419
0.000,0.000000,0.853125,0.937337,0.000000,0.000000,0.000000,0.967254,0.935484,0.996774
0.000,0.035556,0.931250,0.989556,0.000000,0.000000,0.000000,0.876574,1.000000,0.983871
0.000,0.000000,0.868750,0.934726,0.000000,0.003289,0.000000,0.891688,0.741935,0.970968
0.000,0.000000,0.925000,0.989556,0.000000,0.000000,0.000000,0.884131,0.720430,0.990323
0.000,0.000000,0.871875,0.942559,0.000000,0.000000,0.000000,0.914358,0.860215,0.970968
0.000,0.000000,0.931250,0.989556,0.000000,0.000000,0.000000,0.949622,0.956989,0.983871
