time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.026458,0.072626,0.061487,0.021745,0.016364,0.031152,0.128431,0.019784,0.113981
0.000,0.000000,0.000000,0.000559,0.005240,0.004347,0.029058,0.026411,0.010791,0.000000
0.000,0.035705,0.071384,0.062046,0.010741,0.010483,0.005497,0.114448,0.035971,0.117350
0.000,0.016440,0.006828,0.005310,0.022269,0.011250,0.015707,0.024340,0.006295,0.004492
0.000,0.008990,0.075729,0.064282,0.004192,0.015341,0.000000,0.120145,0.029676,0.109489
0.000,0.024660,0.008690,0.007546,0.013885,0.017898,0.022251,0.026929,0.003597,0.008422
0.000,0.010532,0.072005,0.063164,0.017029,0.014063,0.028010,0.116520,0.027878,0.114542
0.000,0.019265,0.000310,0.002236,0.007074,0.012529,0.023037,0.025375,0.013489,0.004492
0.000,0.012073,0.075729,0.062884,0.030652,0.018410,0.019634,0.120663,0.018885,0.115104
0.000,0.000000,0.006207,0.008105,0.014671,0.015853,0.010471,0.029001,0.014388,0.006176
0.000,0.000514,0.070764,0.060648,0.013361,0.025058,0.003141,0.105645,0.022482,0.097698
0.000,0.005137,0.015518,0.015651,0.000000,0.006392,0.000000,0.049715,0.017986,0.020213
0.000,0.018495,0.073867,0.062325,0.015457,0.016364,0.000000,0.099430,0.018885,0.094329
0.000,0.016183,0.011794,0.010341,0.001048,0.002813,0.010209,0.035733,0.008094,0.013476
0.000,0.007192,0.071074,0.062605,0.006026,0.000000,0.000000,0.111341,0.018885,0.106682
0.000,0.006679,0.016449,0.017887,0.015719,0.005114,0.000000,0.054376,0.002698,0.018529
0.000,0.022348,0.072005,0.063723,0.014409,0.017643,0.021204,0.119627,0.033273,0.110051
0.000,0.000000,0.063315,0.059810,0.000786,0.001790,0.000000,0.112377,0.007194,0.117350
0.000,0.039815,0.075109,0.070710,0.010217,0.021222,0.011780,0.116002,0.027878,0.116227
0.000,0.012073,0.006518,0.008105,0.000000,0.002301,0.000000,0.026929,0.002698,0.010668
0.000,0.000000,0.071074,0.062605,0.006288,0.000511,0.000785,0.113413,0.020683,0.112296
0.000,0.000000,0.006828,0.004472,0.012313,0.006137,0.042147,0.036769,0.008094,0.014599
0.000,0.008990,0.070143,0.062605,0.003144,0.019688,0.010209,0.112377,0.020683,0.106120
0.000,0.009504,0.004966,0.010061,0.003144,0.000000,0.002618,0.000000,0.006295,0.010668
0.000,0.011045,0.071074,0.060928,0.008646,0.012529,0.006545,0.105127,0.013489,0.100505
0.000,0.008990,0.011484,0.010061,0.000000,0.011506,0.006283,0.049715,0.017086,0.019652
0.000,0.010275,0.074178,0.062884,0.020697,0.004858,0.002094,0.121699,0.020683,0.111735
0.000,0.015412,0.017381,0.023477,0.013885,0.006648,0.010995,0.047126,0.009892,0.028636
0.000,0.006422,0.081316,0.072107,0.024365,0.003068,0.017539,0.122734,0.018885,0.110051
0.000,0.024917,0.009001,0.011179,0.022007,0.011506,0.013089,0.047126,0.013489,0.019652
0.000,0.025944,0.074488,0.060369,0.013885,0.013552,0.007592,0.117556,0.015288,0.110051
0.000,0.000000,0.009932,0.009503,0.018863,0.021734,0.000000,0.036769,0.022482,0.023582
