time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.018272,0.014425,0.000000,0.000000,0.002930,0.018253,0.040142,0.018428
0.000,0.000000,0.030453,0.020463,0.000000,0.000244,0.010501,0.018905,0.021251,0.025799
0.000,0.000000,0.015607,0.008722,0.000000,0.000000,0.000000,0.018253,0.025974,0.019656
0.000,0.000488,0.024743,0.016437,0.000000,0.002198,0.000000,0.027379,0.023613,0.027027
0.000,0.000000,0.015988,0.009728,0.001954,0.008547,0.000000,0.029987,0.027155,0.020270
0.000,0.000000,0.027788,0.017108,0.000000,0.008791,0.008059,0.016949,0.020071,0.020270
0.000,0.003419,0.017130,0.007380,0.000000,0.000488,0.004151,0.008475,0.015348,0.012899
0.000,0.000000,0.026266,0.021805,0.000000,0.000000,0.000000,0.025424,0.010626,0.019656
0.000,0.000000,0.014085,0.007045,0.000000,0.000000,0.002930,0.011734,0.021251,0.012285
0.000,0.000000,0.033879,0.020798,0.000000,0.000000,0.000000,0.026076,0.014168,0.027641
0.000,0.000000,0.014465,0.009728,0.004884,0.000000,0.008547,0.018253,0.025974,0.019656
0.000,0.002198,0.038447,0.027508,0.000000,0.000000,0.000000,0.038462,0.023613,0.040541
0.000,0.022222,0.019414,0.004361,0.009524,0.012698,0.005372,0.022816,0.025974,0.007371
0.000,0.001221,0.037305,0.030527,0.000000,0.000000,0.000000,0.026076,0.030697,0.047912
0.000,0.000000,0.008375,0.000000,0.024420,0.033944,0.017827,0.007823,0.031877,0.000000
0.000,0.004396,0.040731,0.028514,0.000000,0.000000,0.000000,0.028031,0.034238,0.040541
0.000,0.009524,0.012181,0.009393,0.011722,0.007326,0.002686,0.018253,0.021251,0.011057
0.000,0.005128,0.028169,0.024824,0.000000,0.000000,0.000000,0.039113,0.018890,0.035012
0.000,0.033944,0.009517,0.006374,0.000000,0.004151,0.008059,0.022816,0.025974,0.012285
0.000,0.006349,0.030834,0.027172,0.000000,0.000000,0.000000,0.022816,0.021251,0.035627
0.000,0.004396,0.009136,0.005032,0.011722,0.006105,0.004151,0.015645,0.031877,0.013514
0.000,0.000488,0.028550,0.027843,0.000000,0.000000,0.000000,0.027379,0.021251,0.035012
0.000,0.021734,0.009517,0.005367,0.005861,0.021245,0.000000,0.000000,0.029516,0.009828
0.000,0.000000,0.027788,0.023147,0.000000,0.000000,0.000000,0.012386,0.033058,0.030098
0.000,0.000977,0.004949,0.002013,0.001954,0.008791,0.000977,0.022816,0.023613,0.009828
0.000,0.001465,0.028930,0.024488,0.005128,0.000000,0.001221,0.019557,0.012987,0.031941
0.000,0.002930,0.000000,0.006038,0.008791,0.011966,0.093773,0.023468,0.024793,0.012899
0.000,0.000000,0.034640,0.024488,0.000000,0.000000,0.004884,0.013690,0.025974,0.035012
0.000,0.009035,0.012562,0.003690,0.010989,0.015873,0.010012,0.019557,0.044864,0.012899
0.000,0.000000,0.024743,0.016437,0.000000,0.000000,0.004151,0.015645,0.028335,0.020270
0.000,0.000000,0.021317,0.029185,0.000488,0.000000,0.005861,0.039113,0.047226,0.056511
0.000,0.000000,0.066616,0.063402,0.000000,0.000000,0.000000,0.061278,0.009445,0.069410
0.000,0.000000,0.052912,0.039584,0.000000,0.000488,0.000000,0.069752,0.029516,0.064496
0.000,0.000000,0.087552,0.090909,0.000000,0.009768,0.000000,0.161669,0.044864,0.140049
0.000,0.000488,0.047202,0.046293,0.003419,0.000000,0.000488,0.098435,0.023613,0.049754
0.000,0.103541,0.099353,0.047300,0.096459,0.076435,0.080830,0.169492,0.000000,0.080467
0.000,0.302564,0.596498,0.700101,0.319414,0.338706,0.322344,0.410691,0.092090,0.526413
0.000,0.598535,0.961934,1.000000,0.571673,0.566789,0.552625,0.855280,0.956316,0.990172
0.000,0.333822,0.643700,0.729285,0.338217,0.351404,0.331868,0.415906,0.110980,0.529484
0.000,0.610256,0.966121,0.992284,0.561661,0.566789,0.543590,0.863103,1.000000,1.000000
0.000,0.388034,0.674914,0.731634,0.348962,0.323565,0.361172,0.401565,0.096812,0.541769
0.000,0.569719,0.957746,0.993291,0.565568,0.552625,0.552381,0.837027,0.798111,0.937346
0.000,0.338706,0.642177,0.734317,0.365568,0.379731,0.380220,0.415906,0.108619,0.538084
0.000,0.573138,0.945185,0.982556,0.555800,0.552137,0.538462,0.820078,0.768595,0.925061
0.000,0.353358,0.651313,0.739014,0.391453,0.380464,0.386081,0.432203,0.092090,0.578010
0.000,0.568498,0.990103,0.977860,0.519902,0.542613,0.535287,0.822686,0.793388,0.921990
0.000,0.325519,0.665017,0.741027,0.389499,0.383150,0.392430,0.426336,0.110980,0.575553
0.000,0.559707,0.936810,0.972157,0.537485,0.532601,0.542857,0.808344,0.840614,0.986486
0.000,0.363614,0.642177,0.724925,0.379731,0.393895,0.404640,0.438070,0.099174,0.561425
0.000,0.529182,0.981728,0.953707,0.538462,0.513065,0.526252,0.779661,0.775679,0.976044
0.000,0.349939,0.693567,0.740356,0.392918,0.400244,0.401954,0.429596,0.116883,0.560197
0.000,0.538462,0.999239,0.978531,0.521856,0.519414,0.526740,0.794654,0.835891,0.980958
0.000,0.425153,0.696231,0.747065,0.395360,0.407814,0.426618,0.423077,0.105077,0.574324
0.000,0.537485,1.000000,0.978866,0.528449,0.519414,0.492552,0.784224,0.824085,0.882064
0.000,0.402442,0.710697,0.750755,0.414896,0.435409,0.431990,0.448501,0.119244,0.503686
0.000,0.535531,0.995432,0.956055,0.521368,0.546276,0.506716,0.764668,0.763872,0.872236
0.000,0.398779,0.720594,0.746058,0.432967,0.435165,0.448107,0.471317,0.127509,0.577396
0.000,0.526252,0.993148,0.967125,0.506960,0.513553,0.485226,0.773142,0.710744,0.975430
0.000,0.433700,0.717549,0.743710,0.432723,0.443712,0.444444,0.458931,0.106257,0.568796
0.000,0.583394,1.000000,0.959074,0.575824,0.538217,0.593162,0.784224,0.656434,0.864865
0.000,0.420269,0.716026,0.742033,0.443223,0.449328,0.447619,0.465450,0.106257,0.495700
0.000,0.512576,0.986677,0.960416,0.484249,0.468132,0.478632,0.734029,0.641086,0.862408
0.000,0.426129,0.717168,0.757128,0.458852,0.445177,0.450061,0.483703,0.122786,0.508600
0.000,0.515018,0.970689,0.954713,0.490842,0.485470,0.462515,0.733377,0.650531,0.866093
0.000,0.409035,0.721355,0.753103,0.457143,0.461783,0.473993,0.500000,0.127509,0.508600
0.000,0.523810,0.980206,0.954378,0.471795,0.470818,0.451282,0.720339,0.619835,0.953931
0.000,0.443712,0.730872,0.765179,0.469841,0.483272,0.485226,0.507171,0.110980,0.508600
0.000,0.511844,0.972973,0.952030,0.446642,0.431746,0.447619,0.729465,0.613932,0.858108
0.000,0.548230,0.740388,0.764509,0.492063,0.463492,0.508913,0.515645,0.115702,0.581081
0.000,0.446154,0.955843,0.938947,0.448596,0.428571,0.419780,0.693611,0.586777,0.860565
0.000,0.451038,0.690902,0.744381,0.445421,0.463248,0.481319,0.458279,0.122786,0.447174
0.000,0.372405,0.931481,0.928212,0.394628,0.389499,0.368254,0.629726,0.463991,0.807125
0.000,0.486691,0.715265,0.758470,0.507937,0.506960,0.526252,0.496741,0.125148,0.488943
0.000,0.462027,0.963456,0.934250,0.422711,0.400488,0.408547,0.685789,0.613932,0.853194
0.000,0.519902,0.743053,0.770547,0.539194,0.545788,0.550427,0.547588,0.123967,0.514128
0.000,0.454457,0.960411,0.926199,0.417827,0.411477,0.405128,0.687093,0.606848,0.947789
0.000,0.549206,0.738866,0.763838,0.557998,0.555311,0.571184,0.549544,0.128689,0.506143
0.000,0.433700,0.949372,0.927877,0.414408,0.401954,0.400244,0.675359,0.604486,0.848894
0.000,0.559951,0.760183,0.777256,0.579487,0.580464,0.600488,0.587353,0.155844,0.509828
0.000,0.421490,0.955463,0.921503,0.384860,0.376801,0.362393,0.653194,0.582054,0.947174
0.000,0.566789,0.761325,0.777591,0.587057,0.592674,0.631746,0.572360,0.144038,0.514742
0.000,0.388523,0.948230,0.907414,0.362393,0.363126,0.371917,0.632986,0.576151,0.842752
0.046,0.585592,0.749524,0.766186,0.600733,0.609280,0.615629,0.595828,0.155844,0.568796
0.096,0.372405,0.938713,0.910097,0.345055,0.330891,0.321368,0.612125,0.545455,0.941032
0.146,0.590720,0.762847,0.782959,0.625885,0.587790,0.641514,0.614733,0.160567,0.504914
0.196,0.354335,0.934145,0.900704,0.321123,0.303541,0.300122,0.606258,0.557261,0.843980
0.246,0.628083,0.768557,0.785978,0.652015,0.569231,0.667155,0.623207,0.148760,0.565725
0.296,0.338217,0.926532,0.900704,0.315507,0.304518,0.321123,0.598435,0.563164,0.933661
0.346,0.644200,0.773887,0.786984,0.666911,0.680586,0.682784,0.634941,0.133412,0.501843
0.396,0.318193,0.920822,0.890641,0.289866,0.272039,0.274725,0.567145,0.597403,0.933661
0.446,0.659341,0.779596,0.778262,0.685714,0.705250,0.707448,0.659061,0.167651,0.567568
0.496,0.292796,0.908641,0.887286,0.271795,0.273748,0.243712,0.559974,0.539551,0.926904
0.546,0.680586,0.786829,0.781281,0.718193,0.702320,0.713065,0.674055,0.167651,0.573710
0.596,0.300611,0.910164,0.883261,0.276435,0.283028,0.243956,0.561930,0.502952,0.828010
0.646,0.757265,0.783403,0.790674,0.705983,0.744567,0.731868,0.681226,0.170012,0.406634
0.696,0.265690,0.896460,0.876887,0.262515,0.269109,0.263492,0.551499,0.479339,0.822482
