time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.069782,0.060185,0.000000,0.000000,0.000000,0.103407,0.012146,0.102941
0.000,0.009281,0.085787,0.071296,0.000543,0.000270,0.003270,0.107591,0.010526,0.102302
0.000,0.000000,0.069142,0.058333,0.000000,0.000809,0.000000,0.106396,0.026721,0.102941
0.000,0.000000,0.083867,0.068827,0.007335,0.000000,0.000000,0.112373,0.009717,0.101023
0.000,0.000000,0.067542,0.057716,0.000000,0.000000,0.000000,0.101614,0.007287,0.102941
0.000,0.000000,0.083867,0.067593,0.000000,0.000000,0.000000,0.123132,0.010526,0.105499
0.000,0.000000,0.065941,0.058025,0.000000,0.000000,0.000000,0.104603,0.008907,0.102302
0.000,0.000000,0.081306,0.069136,0.000000,0.000000,0.000000,0.110580,0.020243,0.102941
0.000,0.000000,0.069782,0.058951,0.000000,0.000000,0.000000,0.104005,0.006478,0.102302
0.000,0.009547,0.082266,0.068210,0.000000,0.000000,0.000000,0.107591,0.007287,0.101662
0.000,0.004508,0.069462,0.057099,0.000000,0.000000,0.000272,0.099821,0.006478,0.101662
0.000,0.000000,0.081306,0.068519,0.000000,0.000000,0.000000,0.112373,0.015385,0.102941
0.000,0.000000,0.068182,0.057407,0.000000,0.000000,0.003270,0.098027,0.023482,0.103581
0.000,0.000000,0.082266,0.070679,0.005705,0.000000,0.000000,0.107591,0.010526,0.102941
0.000,0.000000,0.068182,0.058333,0.000000,0.001078,0.000000,0.105200,0.017814,0.100384
0.000,0.000000,0.083547,0.070370,0.000000,0.000000,0.000000,0.105200,0.016194,0.104220
0.000,0.007690,0.069142,0.058025,0.002717,0.002427,0.000000,0.099223,0.008907,0.103581
0.000,0.000000,0.083867,0.070679,0.000000,0.000000,0.000000,0.111178,0.021862,0.104220
0.000,0.000000,0.066901,0.059568,0.000000,0.000000,0.000000,0.096832,0.012146,0.102302
0.000,0.004243,0.085147,0.067593,0.006792,0.000000,0.000000,0.102809,0.016194,0.102941
0.000,0.000000,0.072023,0.057099,0.000000,0.000000,0.000000,0.102809,0.017814,0.102941
0.000,0.000000,0.080666,0.067901,0.001087,0.000000,0.000000,0.109384,0.005668,0.102941
0.000,0.003182,0.069462,0.058025,0.015213,0.000000,0.000000,0.099223,0.017004,0.104220
0.000,0.000000,0.082586,0.069136,0.000000,0.009706,0.000000,0.105200,0.008907,0.102302
0.000,0.000000,0.066901,0.057099,0.000000,0.000000,0.000000,0.099223,0.010526,0.102941
0.000,0.000000,0.081946,0.073148,0.011682,0.000000,0.000000,0.105798,0.017814,0.099744
0.000,0.000000,0.067222,0.057716,0.000543,0.001078,0.000000,0.103407,0.028340,0.100384
0.000,0.000000,0.085147,0.067901,0.000000,0.000000,0.000000,0.114764,0.012146,0.102302
0.000,0.000265,0.065621,0.065741,0.000543,0.000000,0.000000,0.106396,0.006478,0.098465
0.000,0.002121,0.083227,0.071605,0.000000,0.000539,0.000000,0.105798,0.012146,0.099105
0.000,0.000000,0.065941,0.057099,0.000000,0.000000,0.000000,0.101614,0.008907,0.104220
0.000,0.014850,0.085787,0.074074,0.007063,0.001887,0.000000,0.104005,0.013765,0.091432
0.000,0.008751,0.030730,0.000000,0.000000,0.000000,0.016076,0.000000,0.000810,0.000000
0.000,0.439406,0.169014,0.094753,0.450693,0.433270,0.435967,0.331142,0.000000,0.065857
0.000,0.040042,0.468950,0.566358,0.051345,0.050418,0.050954,0.114764,0.025101,0.388747
0.000,1.000000,0.939501,0.992593,0.980168,0.950121,1.000000,0.973102,1.000000,0.994246
0.000,0.027844,0.407490,0.541975,0.041293,0.039364,0.054768,0.061566,0.007287,0.381074
0.000,0.973482,0.974392,0.997222,0.958979,1.000000,0.928883,1.000000,0.881781,0.996803
0.000,0.035004,0.512484,0.576235,0.063026,0.056349,0.065395,0.157800,0.019433,0.480179
0.000,0.974012,0.998720,1.000000,0.950014,1.000000,0.951226,0.949791,0.808907,1.000000
0.000,0.040838,0.500640,0.575309,0.041565,0.039903,0.053951,0.139271,0.012146,0.495524
0.000,0.998144,1.000000,0.989815,1.000000,0.941494,0.958311,0.942020,0.770040,0.982097
0.000,0.000000,0.505122,0.659259,0.000000,0.000000,0.000000,0.224148,0.028340,0.652813
0.000,0.000000,0.102753,0.410802,0.000000,0.000000,0.000000,0.086073,0.012146,0.150256
0.000,0.000265,0.036172,0.241975,0.000000,0.000000,0.000000,0.074716,0.010526,0.106777
0.000,0.000000,0.045455,0.154630,0.000000,0.000000,0.000000,0.084877,0.006478,0.108696
0.000,0.000000,0.030410,0.086111,0.000000,0.000000,0.000000,0.082487,0.006478,0.108696
0.000,0.000000,0.040973,0.080556,0.000000,0.000000,0.000000,0.086073,0.023482,0.108056
0.000,0.000000,0.029129,0.060494,0.000000,0.000000,0.000000,0.074118,0.021862,0.111893
0.000,0.000000,0.041293,0.061728,0.000000,0.000000,0.000000,0.089062,0.024291,0.109335
0.000,0.000000,0.032010,0.059568,0.000000,0.000000,0.000000,0.087268,0.006478,0.107417
0.000,0.000000,0.040333,0.070679,0.000000,0.000000,0.000000,0.093246,0.006478,0.109335
0.000,0.000000,0.028169,0.057099,0.000000,0.000000,0.000272,0.074716,0.006478,0.108696
0.000,0.000000,0.034571,0.067901,0.000000,0.000000,0.000000,0.084877,0.008907,0.111893
0.000,0.000000,0.025928,0.058951,0.010595,0.000000,0.000000,0.074118,0.013765,0.107417
0.000,0.000000,0.032010,0.067901,0.000000,0.000000,0.000000,0.084280,0.006478,0.104859
0.000,0.000000,0.021127,0.057099,0.000000,0.000000,0.000000,0.069934,0.012146,0.104220
0.000,0.000000,0.031370,0.068210,0.000000,0.000000,0.000000,0.069337,0.015385,0.105499
0.000,0.000000,0.026248,0.055556,0.000000,0.000000,0.000000,0.060371,0.004049,0.104220
0.000,0.000000,0.043534,0.068210,0.000000,0.000000,0.000000,0.077705,0.010526,0.104220
0.000,0.000000,0.031370,0.055247,0.000000,0.000000,0.000000,0.065750,0.018623,0.103581
