time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.643478,0.581152,0.000000,0.000000,0.000000,0.327842,0.548387,0.545161
0.000,0.021696,0.597101,0.583770,0.005178,0.000000,0.000000,0.321252,0.693548,0.570968
0.000,0.000000,0.628986,0.586387,0.015534,0.000000,0.000000,0.341021,0.475806,0.570968
0.000,0.000000,0.663768,0.685864,0.000000,0.011576,0.000000,0.380560,0.596774,0.632258
0.000,0.000000,0.701449,0.753927,0.000000,0.000000,0.018053,0.416804,0.588710,0.651613
0.000,0.000000,0.707246,0.714660,0.006472,0.002572,0.045132,0.416804,0.645161,0.664516
0.000,0.005260,0.742029,0.769634,0.000000,0.000000,0.000000,0.387150,0.596774,0.670968
0.000,0.071006,0.640580,0.649215,0.108091,0.117685,0.213411,0.449753,0.685484,0.609677
0.000,0.000000,0.608696,0.596859,0.028479,0.002572,0.001934,0.324547,0.532258,0.561290
0.000,0.000657,0.547826,0.554974,0.000000,0.000000,0.000000,0.339374,0.564516,0.545161
0.000,0.000000,0.562319,0.557592,0.000000,0.000000,0.000000,0.289951,0.532258,0.496774
0.000,0.000000,0.515942,0.541885,0.067961,0.000000,0.025145,0.354201,0.645161,0.564516
0.000,0.015122,0.597101,0.586387,0.000000,0.000000,0.000000,0.261944,0.500000,0.535484
0.000,0.005917,0.504348,0.518325,0.000000,0.030225,0.000000,0.321252,0.580645,0.516129
0.000,0.036818,0.510145,0.552356,0.000000,0.000000,0.000000,0.285008,0.532258,0.493548
0.000,0.000000,0.524638,0.518325,0.000000,0.000000,0.000000,0.311367,0.629032,0.509677
0.000,0.000000,0.547826,0.531414,0.000000,0.000000,0.000000,0.270181,0.500000,0.483871
0.000,0.012492,0.489855,0.471204,0.001942,0.024437,0.000000,0.347611,0.693548,0.503226
0.000,0.000000,0.513043,0.494764,0.000000,0.000000,0.000000,0.250412,0.548387,0.451613
0.000,0.000000,0.443478,0.450262,0.014887,0.054662,0.001289,0.275124,0.677419,0.451613
