time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.292929,0.607595,0.000000,0.116788,0.045977,0.171920,0.551724,0.448980
0.000,0.000000,0.242424,0.303797,0.000000,0.000000,0.000000,0.137536,0.068966,0.469388
0.000,0.000000,0.333333,0.734177,0.000000,0.313869,0.000000,0.194842,0.241379,0.387755
0.000,0.000000,0.151515,0.316456,0.000000,0.058394,0.000000,0.166189,0.448276,0.571429
0.000,0.055556,0.333333,0.734177,0.000000,0.000000,0.000000,0.200573,0.172414,0.571429
0.000,0.000000,0.232323,0.341772,0.000000,0.000000,0.000000,0.151862,0.000000,0.591837
0.000,0.000000,0.282828,0.683544,0.074766,0.000000,0.000000,0.246418,0.275862,0.795918
0.000,0.148148,0.292929,0.354430,0.345794,0.000000,0.000000,0.174785,0.862069,0.673469
0.000,0.000000,0.313131,0.746835,1.000000,0.000000,0.000000,0.120344,0.103448,0.653061
0.000,0.000000,0.171717,0.303797,0.971963,0.000000,0.000000,0.171920,0.172414,0.714286
0.000,0.000000,0.414141,0.746835,0.000000,0.000000,0.000000,0.240688,0.103448,0.714286
0.000,0.000000,0.242424,0.303797,0.000000,1.000000,0.000000,0.080229,0.379310,0.653061
0.000,0.000000,0.393939,0.670886,0.000000,0.021898,0.000000,0.504298,0.103448,0.714286
0.000,0.000000,0.171717,0.329114,0.000000,0.000000,0.000000,0.154728,1.000000,0.693878
0.000,0.000000,0.474747,0.797468,0.000000,0.000000,0.000000,0.229226,0.000000,0.734694
0.000,0.000000,0.181818,0.278481,0.000000,0.000000,0.701149,0.183381,0.172414,0.734694
0.000,0.000000,0.414141,0.835443,0.000000,0.000000,0.000000,0.232092,0.103448,0.857143
0.000,0.833333,0.151515,0.405063,0.000000,0.000000,0.000000,0.171920,0.068966,0.795918
0.000,0.000000,0.404040,0.759494,0.000000,0.000000,0.000000,0.255014,0.241379,0.795918
0.000,0.000000,0.303030,0.303797,0.000000,0.000000,0.022989,0.189112,0.551724,0.734694
0.000,0.000000,0.393939,0.708861,0.000000,0.000000,0.000000,0.243553,0.310345,0.755102
0.000,0.000000,0.252525,0.379747,0.000000,0.000000,0.000000,0.174785,0.379310,0.714286
0.000,0.314815,0.101010,0.734177,0.000000,0.000000,0.000000,0.246418,0.517241,0.775510
0.000,0.000000,0.202020,0.329114,0.000000,0.058394,0.000000,0.183381,0.448276,0.755102
0.000,0.000000,0.333333,0.784810,0.000000,0.000000,0.000000,0.240688,0.137931,0.734694
0.000,0.222222,0.333333,0.303797,0.000000,0.000000,0.000000,0.154728,0.241379,0.918367
0.000,0.444444,0.353535,0.746835,0.000000,0.036496,0.000000,0.260745,0.310345,0.795918
0.000,0.000000,0.252525,0.417722,0.000000,0.000000,0.000000,0.174785,0.379310,0.734694
0.000,0.000000,0.363636,0.734177,0.000000,0.000000,0.000000,0.234957,0.413793,0.714286
0.000,0.000000,0.313131,0.329114,0.000000,0.000000,0.000000,0.131805,0.275862,0.530612
0.000,0.111111,0.474747,0.759494,0.037383,0.000000,0.000000,0.148997,0.000000,0.816327
0.000,0.574074,0.373737,0.000000,0.000000,0.000000,0.000000,0.000000,0.275862,0.000000
0.000,0.000000,0.494949,0.746835,0.000000,0.000000,0.000000,0.200573,0.241379,0.877551
0.000,0.000000,0.171717,0.354430,0.000000,0.000000,0.000000,0.693410,0.344828,0.918367
0.000,0.000000,0.393939,0.759494,0.000000,0.000000,0.000000,1.000000,0.448276,0.877551
0.000,0.000000,0.272727,0.354430,0.000000,0.000000,0.000000,0.759312,0.172414,0.877551
0.000,0.000000,0.202020,0.734177,0.000000,0.000000,0.000000,0.578797,0.241379,0.959184
0.000,0.000000,0.131313,0.341772,0.000000,0.642336,0.000000,0.338109,0.379310,0.877551
0.000,0.000000,0.414141,0.810127,0.168224,0.000000,0.000000,0.338109,0.448276,0.959184
0.000,0.000000,0.313131,0.354430,0.000000,0.043796,0.000000,0.312321,0.310345,0.877551
0.000,0.000000,0.434343,0.797468,0.000000,0.029197,0.045977,0.355301,0.655172,0.795918
0.000,0.000000,0.000000,0.405063,0.000000,0.000000,0.000000,0.323782,0.137931,0.836735
0.000,0.000000,0.444444,0.683544,0.000000,0.007299,0.000000,0.381089,0.103448,0.795918
0.000,0.000000,0.414141,0.354430,0.000000,0.328467,0.000000,0.358166,0.448276,0.795918
0.000,0.000000,0.414141,0.822785,0.000000,0.000000,0.000000,0.418338,0.103448,0.877551
0.000,0.000000,0.414141,0.291139,0.000000,0.000000,0.000000,0.378223,0.379310,0.897959
0.000,0.000000,0.515152,0.746835,0.000000,0.000000,0.000000,0.395415,0.241379,0.897959
0.000,0.500000,0.333333,0.303797,0.000000,0.000000,0.000000,0.338109,0.275862,0.918367
0.000,0.000000,0.595960,0.797468,0.000000,0.000000,0.000000,0.389685,0.448276,0.857143
0.000,0.000000,0.555556,0.341772,0.000000,0.000000,0.287356,0.346705,0.379310,0.816327
0.000,0.000000,0.555556,0.822785,0.000000,0.000000,0.000000,0.375358,0.310345,0.918367
0.000,0.000000,0.454545,0.341772,0.000000,0.291971,0.000000,0.349570,0.241379,0.938776
0.000,0.000000,0.575758,0.784810,0.000000,0.000000,0.000000,0.424069,0.551724,0.877551
0.000,0.388889,0.494949,0.354430,0.000000,0.000000,0.000000,0.392550,0.862069,0.836735
0.000,0.000000,0.545455,0.759494,0.000000,0.000000,0.000000,0.446991,0.310345,0.816327
0.000,0.000000,0.565657,0.392405,0.000000,0.000000,0.000000,0.404011,0.103448,0.836735
0.000,0.000000,0.616162,0.784810,0.000000,0.000000,0.000000,0.429799,0.241379,0.938776
0.000,0.000000,0.555556,0.379747,0.000000,0.000000,0.000000,0.395415,0.241379,0.877551
0.000,0.314815,0.595960,0.721519,0.000000,0.000000,0.000000,0.504298,0.241379,0.857143
0.000,0.000000,0.565657,0.329114,0.000000,0.000000,0.000000,0.418338,0.137931,0.795918
0.000,0.000000,0.595960,0.746835,0.000000,0.000000,0.000000,0.475645,0.172414,0.897959
0.000,0.000000,0.474747,0.329114,0.000000,0.000000,0.000000,0.412607,0.655172,0.897959
0.000,0.000000,0.636364,0.734177,0.000000,0.000000,0.000000,0.501433,0.172414,0.938776
0.000,0.000000,0.494949,0.379747,0.000000,0.000000,0.000000,0.398281,0.103448,0.877551
0.000,0.000000,0.606061,0.784810,0.000000,0.000000,0.000000,0.455587,0.655172,1.000000
0.000,0.000000,0.545455,0.341772,0.000000,0.000000,0.000000,0.406877,0.241379,0.938776
0.000,0.000000,0.646465,0.835443,0.000000,0.000000,0.000000,0.429799,0.413793,0.918367
0.000,0.000000,0.545455,0.329114,0.000000,0.000000,0.000000,0.338109,0.241379,0.918367
0.000,0.000000,0.656566,0.810127,0.000000,0.000000,0.000000,0.415473,0.172414,0.836735
0.000,0.000000,0.595960,0.392405,0.000000,0.000000,0.000000,0.395415,0.172414,0.897959
0.000,0.000000,0.717172,0.746835,0.000000,0.350365,0.000000,0.424069,0.310345,0.897959
0.000,0.000000,0.525253,0.379747,0.000000,0.000000,0.000000,0.378223,0.172414,0.877551
0.000,0.000000,0.686869,0.911392,0.000000,0.000000,0.000000,0.429799,0.172414,0.857143
0.000,0.000000,0.555556,0.367089,0.000000,0.000000,0.000000,0.395415,0.275862,0.816327
0.000,0.000000,0.747475,0.860759,0.000000,0.000000,0.000000,0.452722,0.310345,1.000000
0.000,0.000000,0.515152,0.329114,0.000000,0.000000,0.000000,0.395415,0.655172,0.897959
0.000,0.000000,0.717172,0.784810,0.000000,0.000000,1.000000,0.478510,0.000000,0.836735
0.000,0.000000,0.656566,0.405063,0.000000,0.000000,0.000000,0.398281,0.137931,0.877551
0.000,0.000000,0.737374,0.848101,0.000000,0.000000,0.000000,0.478510,0.103448,0.918367
0.000,0.000000,0.595960,0.379747,0.112150,0.000000,0.000000,0.415473,0.000000,0.816327
0.000,0.000000,0.686869,0.810127,0.000000,0.000000,0.000000,0.481375,0.310345,0.877551
0.000,0.000000,0.696970,0.379747,0.000000,0.000000,0.000000,0.401146,0.310345,1.000000
0.043,0.000000,0.727273,0.759494,0.000000,0.000000,0.000000,0.469914,0.793103,1.000000
0.093,0.000000,0.676768,0.481013,0.000000,0.000000,0.000000,0.412607,0.379310,0.959184
0.143,0.000000,0.767677,0.860759,0.000000,0.058394,0.000000,0.464183,0.862069,0.938776
0.193,0.000000,0.737374,0.405063,0.000000,0.182482,0.402299,0.404011,0.310345,0.877551
0.243,0.000000,0.656566,0.772152,0.000000,0.000000,0.000000,0.481375,0.275862,0.877551
0.342,0.000000,0.595960,0.329114,0.000000,0.000000,0.000000,0.401146,0.000000,0.816327
0.343,0.000000,0.848485,0.759494,0.000000,0.000000,0.000000,0.507163,0.241379,0.918367
0.393,0.000000,0.656566,0.341772,0.000000,0.000000,0.000000,0.415473,0.103448,0.877551
0.443,0.000000,0.747475,0.784810,0.000000,0.000000,0.000000,0.492837,0.241379,0.959184
0.493,0.000000,0.646465,0.455696,0.000000,0.000000,0.000000,0.426934,0.793103,0.816327
0.543,0.000000,0.737374,0.810127,0.000000,0.000000,0.000000,0.504298,0.103448,0.836735
0.593,0.000000,0.636364,0.354430,0.000000,0.000000,0.000000,0.429799,0.172414,0.918367
0.643,0.000000,0.848485,0.873418,0.000000,0.000000,0.000000,0.510029,0.448276,0.959184
0.693,0.000000,0.626263,0.379747,0.000000,0.000000,0.000000,0.435530,0.172414,0.877551
0.743,0.000000,0.757576,0.810127,0.000000,0.000000,0.000000,0.484241,0.241379,0.897959
0.793,0.000000,0.757576,0.354430,0.000000,0.000000,0.000000,0.426934,0.310345,0.816327
0.843,0.000000,0.898990,0.949367,0.000000,0.000000,0.000000,0.524355,0.103448,0.918367
0.893,0.000000,0.757576,0.367089,0.000000,0.000000,0.000000,0.415473,0.586207,0.918367
0.943,0.092593,0.757576,1.000000,0.000000,0.000000,0.000000,0.510029,0.241379,0.897959
0.993,0.000000,0.737374,0.392405,0.000000,0.000000,0.000000,0.441261,0.172414,0.836735
1.043,0.000000,0.818182,0.797468,0.000000,0.000000,0.000000,0.521490,0.551724,0.836735
1.093,0.000000,0.565657,0.379747,0.000000,0.000000,0.000000,0.421203,0.103448,0.918367
1.143,0.000000,0.787879,0.860759,0.000000,0.000000,0.000000,0.510029,0.517241,0.959184
1.193,0.000000,0.656566,0.379747,0.000000,0.000000,0.000000,0.472779,0.275862,0.836735
1.243,0.000000,0.767677,0.835443,0.000000,0.000000,0.000000,0.498567,0.172414,0.918367
1.293,0.000000,0.666667,0.379747,0.000000,0.000000,0.000000,0.441261,0.241379,1.000000
1.343,0.000000,0.808081,0.886076,0.000000,0.000000,0.000000,0.515759,0.379310,0.897959
1.393,0.000000,0.676768,0.430380,0.000000,0.000000,0.000000,0.469914,0.551724,0.816327
1.443,0.000000,0.797980,0.784810,0.000000,0.000000,0.000000,0.512894,0.655172,0.897959
1.493,0.000000,0.696970,0.379747,0.000000,0.000000,0.000000,0.472779,0.172414,0.877551
1.543,0.000000,0.818182,0.835443,0.000000,0.000000,0.000000,0.527221,0.793103,0.877551
1.593,0.000000,0.646465,0.354430,0.000000,0.000000,0.000000,0.441261,0.137931,0.836735
1.643,0.000000,0.878788,0.835443,0.000000,0.000000,0.000000,0.472779,0.379310,0.918367
1.693,0.000000,0.686869,0.455696,0.000000,0.000000,0.000000,0.418338,0.379310,0.795918
1.743,0.000000,0.848485,0.911392,0.000000,0.000000,0.000000,0.475645,0.241379,0.959184
1.793,0.000000,0.666667,0.354430,0.000000,0.000000,0.000000,0.441261,0.862069,0.795918
1.843,0.000000,0.888889,0.797468,0.056075,0.000000,0.000000,0.495702,0.379310,0.877551
1.893,0.000000,0.717172,0.303797,0.000000,0.000000,0.000000,0.432665,0.103448,0.877551
1.943,0.000000,0.848485,0.886076,0.000000,0.000000,0.000000,0.487106,0.482759,0.938776
1.993,0.000000,0.767677,0.354430,0.000000,0.000000,0.000000,0.441261,0.517241,0.816327
2.043,0.000000,0.919192,0.810127,0.000000,0.000000,0.000000,0.527221,0.241379,0.897959
2.093,0.000000,0.838384,0.379747,0.000000,0.000000,0.000000,0.432665,0.344828,0.918367
2.143,0.000000,0.797980,0.759494,0.000000,0.000000,0.000000,0.518625,0.241379,0.897959
