time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.100000,0.030075,0.000000,0.000000,0.313131,0.259259,0.770833
0.000,0.000000,0.000000,0.412500,0.000000,0.070485,0.000000,0.262626,0.185185,0.812500
0.000,0.728477,0.849558,0.512500,0.759398,0.453744,0.960000,0.494949,0.111111,0.958333
0.000,0.735099,1.000000,0.887500,0.924812,0.519824,0.776000,0.838384,0.296296,0.895833
0.000,0.708609,0.823009,0.537500,0.819549,0.506608,0.792000,0.696970,0.555556,0.875000
0.000,0.933775,0.929204,0.900000,0.932331,0.515419,0.728000,0.919192,0.407407,0.875000
0.000,0.668874,0.929204,0.625000,1.000000,0.563877,0.856000,0.676768,0.296296,0.854167
0.000,0.788079,0.991150,1.000000,0.804511,0.533040,1.000000,0.848485,0.925926,0.833333
0.000,1.000000,0.920354,0.587500,0.879699,0.528634,0.976000,0.737374,0.296296,0.895833
0.000,0.748344,0.946903,0.900000,0.879699,0.612335,0.952000,0.949495,0.185185,0.833333
0.000,0.000000,0.000000,0.262500,0.000000,0.000000,0.000000,0.010101,0.481481,0.833333
0.000,0.112583,0.000000,0.562500,0.000000,0.000000,0.000000,0.212121,0.185185,0.916667
0.000,0.000000,0.000000,0.237500,0.000000,0.000000,0.000000,0.080808,0.629630,0.875000
0.000,0.000000,0.000000,0.612500,0.000000,0.000000,0.000000,0.292929,0.851852,0.875000
0.000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.111111,0.812500
0.000,0.000000,0.000000,0.562500,0.000000,0.000000,0.000000,0.191919,0.703704,0.812500
0.000,0.000000,0.000000,0.187500,0.000000,0.000000,0.000000,0.090909,0.111111,0.916667
0.000,0.000000,0.000000,0.587500,0.000000,0.110132,0.000000,0.181818,0.555556,0.895833
0.000,0.000000,0.000000,0.237500,0.000000,0.000000,0.000000,0.090909,0.629630,0.875000
0.000,0.000000,0.000000,0.587500,0.000000,0.000000,0.000000,0.242424,0.481481,0.791667
0.000,0.000000,0.000000,0.137500,0.000000,0.000000,0.000000,0.111111,0.777778,0.791667
0.000,0.000000,0.000000,0.537500,0.000000,0.000000,0.000000,0.313131,0.555556,0.916667
0.000,0.059603,0.000000,0.187500,0.000000,0.000000,0.000000,0.151515,0.000000,0.875000
0.000,0.000000,0.000000,0.612500,0.000000,0.000000,0.440000,0.282828,0.481481,0.958333
0.000,0.000000,0.000000,0.237500,0.000000,0.000000,0.000000,0.131313,0.185185,0.812500
0.000,0.000000,0.000000,0.537500,0.000000,0.000000,0.000000,0.181818,0.185185,0.812500
0.000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.111111,0.185185,0.916667
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.343434,0.925926,0.895833
0.000,0.000000,0.000000,0.187500,0.000000,0.000000,0.000000,0.070707,0.777778,0.916667
0.000,0.000000,0.000000,0.487500,0.060150,0.000000,0.000000,0.313131,0.703704,0.937500
0.000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.030303,0.629630,0.895833
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.373737,0.629630,0.854167
0.000,0.000000,0.000000,0.212500,0.000000,0.000000,0.000000,0.080808,0.407407,0.875000
0.000,0.000000,0.000000,0.450000,0.000000,0.000000,0.000000,0.313131,0.259259,0.895833
0.000,0.000000,0.000000,0.187500,0.000000,0.000000,0.000000,0.181818,0.037037,0.875000
0.000,0.000000,0.000000,0.537500,0.000000,0.000000,0.000000,0.333333,1.000000,0.916667
0.000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.171717,0.296296,0.770833
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.212121,0.481481,0.854167
0.000,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,0.050505,0.703704,0.833333
0.000,0.000000,0.000000,0.525000,0.000000,0.000000,0.000000,0.515152,0.777778,0.875000
0.000,0.000000,0.000000,0.112500,0.000000,0.312775,0.000000,0.555556,0.592593,0.000000
0.000,0.000000,0.000000,0.462500,0.000000,0.000000,0.000000,0.656566,0.407407,0.812500
0.000,0.000000,0.000000,0.287500,0.000000,0.000000,0.000000,0.646465,0.851852,0.875000
0.000,0.000000,0.000000,0.587500,0.000000,0.000000,0.440000,0.707071,0.703704,0.812500
0.000,0.105960,0.000000,0.300000,0.000000,0.000000,0.000000,0.606061,0.703704,0.812500
0.000,0.000000,0.000000,0.437500,0.000000,0.000000,0.000000,0.818182,0.481481,0.979167
0.000,0.000000,0.000000,0.237500,0.030075,0.035242,0.000000,0.212121,0.592593,0.833333
0.000,0.000000,0.000000,0.562500,0.000000,0.000000,0.000000,0.363636,0.407407,0.812500
0.000,0.000000,0.000000,0.225000,0.000000,0.000000,0.000000,0.020202,0.185185,0.812500
0.000,0.000000,0.026549,0.562500,0.000000,0.088106,0.000000,0.232323,0.703704,0.875000
0.000,0.529801,0.000000,0.237500,0.000000,0.000000,0.000000,0.171717,0.629630,0.916667
0.000,0.026490,0.000000,0.500000,0.000000,0.004405,0.000000,0.474747,0.185185,0.812500
0.000,0.000000,0.000000,0.337500,0.000000,0.000000,0.000000,0.383838,0.444444,0.916667
0.000,0.000000,0.000000,0.562500,0.000000,0.000000,0.000000,0.696970,0.259259,0.895833
0.000,0.000000,0.000000,0.212500,0.000000,0.096916,0.000000,0.474747,0.407407,0.958333
0.000,0.000000,0.000000,0.537500,0.000000,0.000000,0.000000,0.616162,0.703704,0.916667
0.000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.434343,0.481481,0.812500
0.000,0.000000,0.000000,0.562500,0.000000,0.000000,0.000000,0.666667,0.185185,0.791667
0.000,0.000000,0.000000,0.237500,0.000000,0.000000,0.000000,0.454545,1.000000,0.833333
0.000,0.000000,0.000000,0.600000,0.000000,0.004405,0.000000,0.797980,0.481481,1.000000
0.000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.535354,0.185185,0.812500
0.000,0.000000,0.000000,0.537500,0.000000,0.000000,0.000000,0.686869,0.222222,0.916667
0.000,0.000000,0.000000,0.287500,0.000000,0.000000,0.000000,0.474747,0.296296,0.729167
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.606061,0.222222,0.854167
0.000,0.000000,0.000000,0.212500,0.000000,0.000000,0.000000,0.373737,0.481481,0.916667
0.000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.676768,0.296296,0.875000
0.000,0.000000,0.000000,0.562500,0.000000,0.000000,0.000000,0.323232,0.185185,0.750000
0.000,0.000000,0.212389,0.325000,0.000000,0.000000,0.000000,0.686869,0.592593,0.791667
0.000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.373737,0.037037,0.750000
0.000,0.039735,0.000000,0.725000,0.000000,0.220264,0.000000,0.696970,0.333333,0.812500
0.000,0.000000,0.000000,0.237500,0.007519,0.000000,0.312000,0.404040,0.481481,0.833333
0.000,0.019868,0.000000,0.562500,0.135338,0.000000,0.000000,0.838384,0.296296,0.708333
0.000,0.000000,0.000000,0.212500,0.000000,0.105727,0.000000,0.656566,0.074074,0.708333
0.000,0.000000,0.150442,0.537500,0.000000,0.092511,0.000000,1.000000,0.555556,0.875000
0.000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.656566,0.185185,0.791667
0.000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.969697,0.259259,0.770833
0.000,0.000000,0.000000,0.162500,0.000000,0.000000,0.000000,0.676768,0.000000,0.541667
0.000,0.000000,0.159292,0.462500,0.000000,0.000000,0.000000,1.000000,0.148148,0.645833
0.000,0.000000,0.000000,0.362500,0.000000,0.735683,0.000000,0.676768,0.481481,0.625000
0.000,0.000000,0.115044,0.562500,0.000000,0.000000,0.408000,0.878788,0.555556,0.645833
0.000,0.000000,0.000000,0.262500,0.000000,0.000000,0.000000,0.676768,0.703704,0.583333
0.000,0.013245,0.265487,0.637500,0.000000,0.000000,0.000000,0.808081,0.555556,0.708333
0.043,0.039735,0.486726,0.287500,0.000000,0.000000,0.000000,0.636364,0.148148,0.666667
0.093,0.311258,0.017699,0.525000,0.000000,0.000000,0.000000,0.838384,0.185185,0.729167
0.143,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.767677,0.111111,0.625000
