time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.004237,0.022384,0.000000,0.000000,0.000000,0.119215,0.027060,0.069959
0.000,0.000000,0.007976,0.019026,0.000000,0.000000,0.000000,0.119215,0.028262,0.068930
0.000,0.001221,0.003240,0.022943,0.000000,0.000000,0.000000,0.120150,0.025256,0.073045
0.000,0.000000,0.009472,0.019586,0.000000,0.000000,0.000000,0.125760,0.027661,0.068930
0.000,0.002198,0.004985,0.022104,0.000000,0.000000,0.000000,0.119215,0.022850,0.070473
0.000,0.001954,0.007478,0.019866,0.000000,0.000000,0.000000,0.118747,0.022850,0.069444
0.000,0.000000,0.002991,0.021824,0.000000,0.000000,0.000000,0.120617,0.027060,0.068930
0.000,0.000000,0.007228,0.018467,0.000000,0.000000,0.000000,0.119215,0.024053,0.073045
0.000,0.000000,0.003988,0.022104,0.000000,0.000000,0.000000,0.119215,0.027060,0.070473
0.000,0.000000,0.006231,0.017907,0.000000,0.000000,0.000000,0.119215,0.029465,0.072016
0.000,0.000000,0.005234,0.022943,0.000000,0.000000,0.000000,0.117345,0.025256,0.069959
0.000,0.040781,0.005982,0.019026,0.000000,0.000000,0.000000,0.116877,0.020445,0.069959
0.000,0.001465,0.003988,0.022943,0.002198,0.000000,0.000000,0.119682,0.020445,0.071502
0.000,0.000000,0.005234,0.018467,0.000000,0.000000,0.000000,0.125292,0.025256,0.073045
0.000,0.000000,0.002493,0.022943,0.000000,0.000000,0.000000,0.123890,0.022249,0.070988
0.000,0.000000,0.005484,0.018467,0.000000,0.000000,0.000000,0.111267,0.026458,0.070473
0.000,0.000000,0.003739,0.022943,0.000000,0.000000,0.000000,0.123422,0.024053,0.069959
0.000,0.000000,0.005982,0.017907,0.000000,0.000000,0.000000,0.110799,0.026458,0.069444
0.000,0.000000,0.003988,0.024342,0.000000,0.000000,0.000000,0.122487,0.019844,0.070988
0.000,0.000000,0.005484,0.018747,0.000000,0.000000,0.000000,0.124825,0.025256,0.070473
0.000,0.000244,0.002493,0.022943,0.000000,0.000000,0.000000,0.122955,0.028863,0.068416
0.000,0.002198,0.006481,0.021265,0.000000,0.000000,0.000000,0.117812,0.024053,0.070988
0.000,0.000000,0.002243,0.021824,0.000488,0.000000,0.000000,0.125760,0.033674,0.067901
0.000,0.000000,0.006481,0.020145,0.000000,0.000000,0.000000,0.119215,0.026458,0.069959
0.000,0.000000,0.004487,0.022104,0.000000,0.000000,0.000000,0.116410,0.025256,0.069444
0.000,0.002686,0.005234,0.017907,0.000244,0.000000,0.000000,0.114540,0.022249,0.070988
