time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.004374,0.104318,0.000000,0.000000,0.000000,0.202778,0.033628,0.169291
0.000,0.000000,0.006432,0.105619,0.000000,0.000000,0.000000,0.204630,0.035988,0.167815
0.000,0.000000,0.002830,0.103278,0.000000,0.000000,0.000000,0.206019,0.035988,0.170768
0.000,0.000000,0.001286,0.106139,0.000000,0.000000,0.000000,0.214815,0.033038,0.169783
0.000,0.000000,0.004116,0.105619,0.000000,0.000000,0.000000,0.211574,0.034808,0.171752
0.000,0.000000,0.001801,0.105619,0.000000,0.000000,0.000000,0.209259,0.034218,0.170768
0.000,0.000000,0.002315,0.105619,0.000000,0.000000,0.000000,0.207870,0.038348,0.170768
0.000,0.000000,0.000000,0.107700,0.000000,0.000000,0.000000,0.218981,0.037168,0.166831
0.000,0.002442,0.004116,0.103278,0.000000,0.000000,0.000000,0.214352,0.032448,0.168799
0.000,0.000000,0.000000,0.105359,0.000000,0.000000,0.000000,0.207407,0.033628,0.169291
0.000,0.000000,0.000257,0.102497,0.008059,0.000000,0.000000,0.209259,0.040118,0.168307
0.000,0.000000,0.001544,0.107700,0.000000,0.000000,0.000000,0.217593,0.030678,0.170276
0.000,0.000000,0.005660,0.105099,0.000000,0.000000,0.000000,0.216667,0.035398,0.167815
0.000,0.000000,0.001029,0.106139,0.000000,0.000000,0.000000,0.213889,0.033038,0.167815
0.000,0.000000,0.004116,0.104058,0.000000,0.000000,0.000000,0.214352,0.033628,0.168799
0.000,0.000000,0.000772,0.105099,0.000000,0.000000,0.000000,0.211111,0.035988,0.171752
0.000,0.000000,0.002315,0.101457,0.000000,0.000000,0.000000,0.201852,0.041888,0.168799
0.000,0.000000,0.002058,0.106920,0.000000,0.000000,0.000000,0.211111,0.037168,0.168799
0.000,0.000000,0.000000,0.101717,0.000000,0.000000,0.000000,0.209259,0.044248,0.167323
0.000,0.000000,0.001801,0.106139,0.000000,0.000000,0.000000,0.209259,0.034808,0.171260
0.000,0.000000,0.003087,0.102497,0.000000,0.000000,0.003992,0.209259,0.035398,0.168799
0.000,0.004151,0.002573,0.106139,0.000000,0.018727,0.000000,0.220370,0.039528,0.169291
0.000,0.000000,0.006174,0.101977,0.000977,0.000000,0.000000,0.207870,0.039528,0.167323
0.000,0.000000,0.004116,0.105359,0.000000,0.000000,0.000000,0.217593,0.029499,0.167815
0.000,0.000000,0.002830,0.101457,0.000000,0.000000,0.000000,0.213426,0.044838,0.171752
0.000,0.000000,0.004374,0.105619,0.000000,0.000000,0.000000,0.219444,0.043068,0.171260
0.000,0.000000,0.004888,0.101197,0.000000,0.000000,0.000000,0.213889,0.034808,0.169291
0.000,0.000000,0.003344,0.105619,0.000000,0.000000,0.000000,0.222222,0.035988,0.168799
0.000,0.000000,0.005403,0.101977,0.000000,0.000000,0.000000,0.216667,0.037758,0.169783
0.000,0.000000,0.004888,0.106139,0.000000,0.000000,0.000000,0.217593,0.030678,0.168307
0.000,0.000000,0.005917,0.101457,0.000000,0.000000,0.000000,0.202778,0.034218,0.166831
0.000,0.000000,0.004374,0.106660,0.000000,0.000000,0.000000,0.215741,0.037758,0.168799
0.000,0.000000,0.004374,0.101457,0.000000,0.000000,0.000000,0.215741,0.034808,0.171752
0.000,0.000000,0.005403,0.107180,0.024176,0.000000,0.000000,0.230556,0.035988,0.169291
0.000,0.000977,0.004631,0.101197,0.000000,0.000000,0.000000,0.243519,0.039528,0.165354
0.000,0.000000,0.004888,0.106139,0.003907,0.000000,0.000000,0.246296,0.038938,0.168799
0.000,0.000000,0.015179,0.101197,0.000000,0.000000,0.000749,0.247222,0.041888,0.170768
0.000,0.010745,0.009519,0.109521,0.000000,0.000000,0.000000,0.230556,0.034808,0.169291
0.000,0.000000,0.013121,0.105619,0.000000,0.003246,0.000000,0.217130,0.033628,0.168799
0.000,0.000000,0.009004,0.109521,0.000000,0.000000,0.000000,0.220370,0.033628,0.169291
0.000,0.009035,0.012349,0.102497,0.007082,0.000000,0.000000,0.202778,0.034808,0.170768
0.000,0.000000,0.013121,0.107960,0.000000,0.000000,0.000000,0.193519,0.035398,0.161909
0.000,0.322589,0.257268,0.401925,0.347741,0.362297,0.378493,0.346296,0.070206,0.372539
0.000,0.472527,0.631078,0.817118,0.526740,0.541323,0.517715,0.678241,0.476696,0.721457
0.000,0.309402,0.249807,0.543184,0.325031,0.333583,0.343313,0.311111,0.073746,0.437008
0.000,0.000000,0.052740,0.448751,0.000000,0.000000,0.000000,0.148148,0.025369,0.360728
0.000,0.268376,0.229997,0.342872,0.323565,0.321848,0.327345,0.258333,0.068437,0.096457
0.000,0.000000,0.015693,0.703954,0.000000,0.000000,0.000000,0.317130,0.428319,0.843996
0.000,0.021734,0.043993,0.184964,0.015873,0.000000,0.008234,0.045370,0.028319,0.053642
0.000,0.000000,0.015436,0.065557,0.000000,0.000000,0.000000,0.108333,0.018289,0.111713
0.000,0.000000,0.018009,0.026015,0.000000,0.000000,0.000000,0.064815,0.037168,0.062500
0.000,0.000000,0.030872,0.061394,0.000000,0.000000,0.000000,0.125000,0.018879,0.115157
0.000,0.004396,0.022640,0.031217,0.010745,0.002497,0.014721,0.058796,0.026549,0.060531
0.000,0.000000,0.013121,0.063476,0.000000,0.000000,0.000000,0.097222,0.021239,0.088583
0.000,0.000000,0.062002,0.052549,0.065690,0.058177,0.071856,0.113426,0.033038,0.077756
0.000,0.011722,0.064060,0.068158,0.000000,0.000000,0.000000,0.126852,0.016519,0.120079
0.000,0.144567,0.114741,0.057752,0.179976,0.191011,0.189621,0.169444,0.052507,0.066929
0.000,0.000000,0.019810,0.062435,0.000000,0.000499,0.009980,0.103704,0.015929,0.097441
0.000,0.096459,0.077952,0.045005,0.090598,0.088889,0.087575,0.103704,0.037758,0.054626
0.000,0.000000,0.028042,0.072060,0.006838,0.000000,0.002246,0.124537,0.028319,0.120571
0.000,0.053236,0.054284,0.031478,0.093529,0.091885,0.101048,0.102315,0.042478,0.047736
0.000,0.034432,0.043478,0.067638,0.000000,0.000000,0.013723,0.125926,0.025959,0.116142
0.000,0.006105,0.018781,0.035900,0.005861,0.000000,0.005489,0.066667,0.016519,0.057579
0.000,0.000000,0.015436,0.054631,0.000000,0.000000,0.000000,0.098148,0.021239,0.074803
0.000,0.052015,0.064574,0.035380,0.089621,0.089139,0.097555,0.104630,0.044838,0.055118
0.000,0.032723,0.030100,0.065297,0.002930,0.003246,0.000000,0.127315,0.025369,0.120571
0.000,0.019292,0.032673,0.033559,0.030037,0.019725,0.027695,0.066667,0.028909,0.053150
0.000,0.208547,0.232313,0.113944,0.197558,0.193508,0.191118,0.281481,0.027139,0.126476
0.000,0.000000,0.014150,0.074142,0.000000,0.000000,0.000000,0.127315,0.033038,0.157972
0.000,0.868132,0.863391,0.911030,0.842491,0.867166,0.857285,0.868519,0.611209,0.852362
0.000,0.028571,0.070749,0.499220,0.012698,0.062921,0.062126,0.141204,0.041298,0.457185
0.000,0.805617,0.871623,0.916233,0.880586,0.857179,0.796657,0.871759,0.625959,0.900098
0.000,0.037851,0.063288,0.501561,0.046154,0.074157,0.062625,0.146296,0.036578,0.465059
0.000,0.875946,0.875740,0.926899,0.876190,0.883645,0.887226,0.885185,0.687316,0.922736
0.000,0.035897,0.057885,0.500520,0.042247,0.052934,0.046407,0.128704,0.035398,0.503937
0.000,0.881807,0.907126,0.928200,0.886203,0.896380,0.892216,0.894444,0.654277,0.925689
0.000,0.033944,0.062773,0.503642,0.046886,0.048689,0.058633,0.141667,0.026549,0.497539
0.000,0.908181,0.895292,0.931322,0.895726,0.875655,0.872505,0.898148,0.661357,0.930610
0.000,0.037851,0.060201,0.508845,0.042735,0.045194,0.045908,0.132870,0.034808,0.504429
0.000,0.927717,0.901466,0.933923,0.885958,0.885893,0.916417,0.906481,0.684956,0.877953
0.000,0.075946,0.057628,0.504683,0.043712,0.041199,0.068862,0.125463,0.035988,0.504921
0.000,0.893529,0.917932,0.938085,0.902564,0.892385,0.913922,0.915741,0.832448,0.949803
0.042,0.026129,0.022897,0.319719,0.000000,0.002247,0.005240,0.044907,0.018289,0.151083
0.093,0.888645,0.908413,0.750780,0.879365,0.922097,0.922904,0.912963,0.687316,0.848917
0.142,0.043223,0.055570,0.330385,0.042979,0.037203,0.037924,0.046296,0.030678,0.158465
0.193,0.427595,0.445588,0.219823,0.381929,0.427216,0.436876,0.430093,0.046608,0.134350
0.243,0.035409,0.048366,0.040062,0.031013,0.028714,0.036178,0.037963,0.030088,0.052657
0.293,0.944322,0.935426,0.957856,0.927473,0.945069,0.921407,0.946296,0.728614,0.900098
0.342,0.055433,0.058143,0.497399,0.051526,0.045693,0.051896,0.104630,0.037168,0.496063
0.393,0.882295,0.933625,0.950052,0.915263,0.917104,0.938373,0.930093,0.717994,0.900098
0.443,0.054945,0.052740,0.503382,0.037363,0.041199,0.027196,0.079167,0.035988,0.479823
0.493,0.954579,0.941086,0.961498,0.912332,0.944569,0.915918,0.963889,0.746313,0.906004
0.542,0.005617,0.050939,0.505203,0.034188,0.035955,0.024701,0.118519,0.028909,0.479823
0.593,0.917216,0.954978,0.963319,0.935775,0.945568,0.980289,0.969444,0.752212,0.911909
0.642,0.040781,0.056856,0.497399,0.040781,0.038951,0.052645,0.112963,0.028909,0.471949
0.693,0.939194,0.940571,0.958897,0.932845,0.938077,0.967066,0.950000,0.768142,0.914862
0.742,0.030037,0.049138,0.501041,0.000000,0.036954,0.039172,0.100463,0.027729,0.506398
0.793,0.971673,0.953177,0.979448,1.000000,0.980025,0.948852,0.962963,0.786431,0.922736
0.843,0.025397,0.045536,0.497399,0.027106,0.033208,0.028942,0.089815,0.028319,0.459646
0.893,0.947741,0.978904,0.974766,0.957509,0.948564,1.000000,0.976389,0.778171,0.926673
0.942,0.034188,0.044765,0.504162,0.027106,0.036205,0.019212,0.098148,0.025959,0.480315
0.993,0.974847,0.963725,0.973985,0.958242,0.947566,0.986277,0.980093,0.949263,0.931102
1.042,0.037851,0.047080,0.499480,0.014896,0.029713,0.030190,0.082407,0.023009,0.482776
1.093,1.000000,0.970414,0.991675,0.977534,1.000000,0.963323,0.971296,0.830088,0.944390
1.143,0.021490,0.050939,0.506504,0.035409,0.039201,0.029691,0.080556,0.028909,0.505413
1.193,0.971673,0.989967,0.987513,0.968742,0.987516,0.996008,1.000000,0.964012,1.000000
