time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.004396,0.051708,0.000000,0.000000,0.000000,0.201147,0.089032,0.120844
0.000,0.000000,0.001954,0.048382,0.000000,0.000000,0.000000,0.199382,0.082581,0.117008
0.000,0.013675,0.006593,0.050197,0.000000,0.000000,0.000000,0.203352,0.091613,0.117008
0.000,0.000000,0.005128,0.049289,0.000000,0.000000,0.000000,0.198059,0.095484,0.120205
0.000,0.000000,0.005861,0.048080,0.022222,0.000000,0.000000,0.204235,0.092903,0.122123
0.000,0.000000,0.001709,0.045661,0.001954,0.000000,0.000000,0.198941,0.091613,0.113171
0.000,0.000000,0.005128,0.049289,0.000000,0.000000,0.000000,0.202470,0.085161,0.118286
0.000,0.000000,0.002442,0.044451,0.000000,0.000000,0.000000,0.191001,0.081290,0.108056
0.000,0.000244,0.005128,0.045358,0.000000,0.000000,0.000000,0.190560,0.090323,0.109335
0.000,0.000000,0.001465,0.045661,0.000000,0.006349,0.009524,0.191884,0.082581,0.109335
0.000,0.000000,0.005372,0.048685,0.000000,0.000000,0.000000,0.201588,0.099355,0.112532
0.000,0.000000,0.002930,0.046265,0.000000,0.000000,0.000000,0.198059,0.095484,0.117008
0.000,0.000000,0.008059,0.045056,0.000000,0.000000,0.000000,0.198941,0.100645,0.109335
0.000,0.017094,0.002198,0.043846,0.000000,0.000000,0.005372,0.190119,0.092903,0.114450
0.000,0.002198,0.004640,0.046265,0.000000,0.003907,0.000000,0.196295,0.105806,0.114450
0.000,0.002442,0.000977,0.043846,0.000000,0.002442,0.000000,0.194530,0.087742,0.108056
0.000,0.000000,0.005372,0.049894,0.002198,0.004884,0.000000,0.204235,0.107097,0.117647
0.000,0.000000,0.000977,0.045963,0.000000,0.000977,0.000000,0.197177,0.098065,0.118286
0.000,0.000000,0.005861,0.045963,0.000000,0.000000,0.000977,0.195412,0.105806,0.107417
0.000,0.003907,0.000000,0.043544,0.000000,0.000000,0.000000,0.187914,0.085161,0.106777
0.000,0.000000,0.005861,0.043544,0.053968,0.000244,0.000000,0.196736,0.089032,0.105499
0.000,0.000000,0.001465,0.043242,0.000000,0.000000,0.000000,0.191442,0.085161,0.113171
0.000,0.020269,0.004640,0.048080,0.000000,0.000000,0.000000,0.201588,0.095484,0.120205
0.000,0.003907,0.002442,0.045661,0.000000,0.000000,0.000000,0.198059,0.092903,0.105499
0.000,0.008791,0.004396,0.041730,0.004396,0.000000,0.000000,0.182179,0.080000,0.102302
0.000,0.000244,0.000488,0.040218,0.000000,0.001954,0.000000,0.183944,0.080000,0.102302
0.000,0.000000,0.005861,0.044451,0.009524,0.004884,0.000000,0.185708,0.078710,0.101023
0.000,0.000000,0.001465,0.059571,0.000000,0.000000,0.000000,0.206440,0.098065,0.148977
0.000,0.000000,0.004396,0.074690,0.000000,0.000000,0.000000,0.238641,0.118710,0.174552
0.000,0.000000,0.001954,0.071666,0.007570,0.000000,0.000000,0.235112,0.108387,0.170077
0.000,0.000000,0.000000,0.086181,0.000000,0.000000,0.000000,0.265108,0.116129,0.235934
0.000,0.000000,0.000000,0.087995,0.000000,0.000000,0.000000,0.274813,0.122581,0.246803
0.000,0.000000,0.002442,0.094043,0.006838,0.000000,0.000000,0.287164,0.112258,0.246164
0.000,0.016361,0.000000,0.089809,0.000000,0.010501,0.000000,0.284076,0.139355,0.244885
0.000,0.000000,0.000977,0.093438,0.000000,0.000000,0.000000,0.285399,0.116129,0.248721
0.000,0.000000,0.000000,0.089205,0.000000,0.000000,0.000000,0.282311,0.120000,0.241049
0.000,0.010012,0.001465,0.089205,0.000000,0.000000,0.000000,0.294663,0.129032,0.216752
0.000,0.000000,0.000000,0.087088,0.000000,0.000000,0.000000,0.304367,0.105806,0.220588
0.000,0.000000,0.001221,0.093136,0.000000,0.000000,0.000000,0.342744,0.116129,0.237852
0.000,0.000000,0.000488,0.089507,0.000000,0.000000,0.000000,0.323776,0.112258,0.244885
0.000,0.000000,0.003175,0.097974,0.000244,0.000000,0.000000,0.296868,0.132903,0.243606
0.000,0.000000,0.000488,0.094648,0.000000,0.000000,0.000000,0.286281,0.129032,0.244885
0.000,0.000000,0.002442,0.094345,0.000000,0.000000,0.001954,0.280106,0.116129,0.247442
0.000,0.028571,0.000000,0.094648,0.000000,0.000000,0.000000,0.280988,0.134194,0.248721
0.000,0.000000,0.000000,0.098881,0.000000,0.000000,0.000000,0.283635,0.116129,0.245524
0.000,0.000000,0.000000,0.094648,0.000000,0.000000,0.000000,0.282753,0.112258,0.244885
0.000,0.000000,0.000000,0.097672,0.000000,0.000000,0.000000,0.275254,0.134194,0.245524
0.000,0.000488,0.000000,0.095252,0.012454,0.000000,0.000000,0.282311,0.129032,0.244885
0.000,0.000000,0.000000,0.097672,0.000488,0.000000,0.000000,0.269078,0.110968,0.248721
0.000,0.000000,0.000000,0.093741,0.000000,0.000000,0.000000,0.266873,0.113548,0.245524
0.000,0.005372,0.004396,0.096764,0.000000,0.000000,0.000000,0.274371,0.129032,0.247442
0.000,0.000000,0.000000,0.091624,0.016850,0.000000,0.000000,0.278783,0.122581,0.244246
0.000,0.000000,0.000000,0.097067,0.000000,0.000000,0.000000,0.284517,0.132903,0.243606
0.000,0.000000,0.000000,0.094345,0.000000,0.004884,0.010012,0.280988,0.129032,0.244246
0.000,0.001465,0.000244,0.097369,0.000000,0.000000,0.000000,0.287164,0.122581,0.244246
0.000,0.000000,0.000000,0.093438,0.000000,0.000000,0.000000,0.284517,0.113548,0.245524
0.000,0.000000,0.000488,0.097672,0.000488,0.000000,0.012698,0.281870,0.130323,0.246164
0.000,0.000000,0.000000,0.094648,0.000000,0.000000,0.000000,0.284076,0.113548,0.246164
