time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.035714,0.410256,0.000000,0.000000,0.000000,0.469697,0.500000,0.416667
0.000,0.000000,0.535714,0.282051,0.000000,0.000000,0.000000,0.469697,0.500000,0.333333
0.000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.636364,0.805556,0.416667
0.000,0.266667,0.142857,0.128205,0.000000,0.000000,0.000000,0.545455,0.861111,0.583333
0.000,0.000000,0.214286,0.307692,0.000000,0.000000,0.000000,0.606061,0.611111,0.666667
0.000,0.000000,0.464286,0.102564,0.000000,0.000000,0.000000,0.560606,0.611111,0.166667
0.000,0.000000,0.285714,0.435897,0.000000,0.000000,0.000000,0.651515,0.500000,0.833333
0.000,0.000000,0.410714,0.128205,0.000000,0.000000,0.000000,0.606061,0.527778,0.333333
0.000,0.000000,0.178571,0.384615,0.000000,0.000000,0.000000,0.681818,0.444444,0.333333
0.000,0.000000,0.464286,0.179487,0.450980,0.000000,0.000000,0.515152,0.888889,0.416667
0.000,0.000000,0.214286,0.538462,0.000000,0.000000,0.000000,0.681818,0.444444,0.666667
0.000,0.000000,0.464286,0.230769,0.000000,0.000000,0.000000,0.651515,0.944444,0.666667
0.000,0.000000,0.232143,0.435897,0.000000,0.000000,0.000000,0.893939,0.388889,0.500000
0.000,0.000000,0.535714,0.153846,0.000000,0.000000,0.000000,0.742424,0.583333,0.500000
0.000,0.000000,0.321429,0.410256,0.000000,0.000000,0.000000,0.939394,0.611111,0.583333
0.000,0.000000,0.464286,0.230769,0.000000,0.000000,0.000000,0.590909,0.638889,0.500000
0.000,0.000000,0.250000,0.487179,0.000000,0.000000,0.000000,0.606061,0.638889,0.666667
0.000,0.000000,0.500000,0.051282,0.000000,0.000000,0.000000,0.575758,0.666667,0.500000
0.000,0.000000,0.303571,0.589744,0.000000,0.000000,0.000000,0.651515,0.444444,0.666667
0.000,0.000000,0.321429,0.025641,0.000000,0.000000,0.000000,0.681818,0.305556,0.250000
0.000,0.000000,0.285714,0.384615,0.000000,0.000000,0.000000,0.681818,0.500000,0.416667
0.000,0.000000,0.517857,0.128205,0.000000,0.000000,0.000000,0.560606,0.444444,0.500000
0.000,0.000000,0.267857,0.358974,0.000000,0.000000,0.000000,0.712121,0.444444,0.750000
0.000,0.000000,0.500000,0.282051,0.000000,0.000000,0.000000,0.651515,0.555556,0.833333
0.000,1.000000,0.321429,0.358974,0.000000,0.000000,0.000000,0.787879,0.388889,0.166667
0.000,0.000000,0.339286,0.025641,0.000000,0.000000,0.000000,0.681818,0.555556,0.166667
0.000,0.000000,0.607143,0.384615,0.000000,0.000000,0.000000,0.772727,0.527778,0.166667
0.000,0.000000,0.535714,0.000000,0.000000,0.000000,0.000000,0.651515,0.500000,0.333333
0.000,0.000000,0.339286,0.307692,0.000000,0.000000,0.000000,0.606061,0.500000,0.333333
0.000,0.000000,0.500000,0.179487,0.000000,0.000000,0.000000,0.681818,0.611111,0.666667
0.000,0.000000,0.214286,0.461538,0.000000,0.000000,0.000000,0.757576,0.388889,0.166667
0.000,0.000000,0.607143,0.179487,0.000000,0.000000,0.000000,0.742424,0.722222,0.416667
0.000,0.000000,0.250000,0.589744,0.000000,0.000000,0.000000,0.742424,0.500000,1.000000
0.000,0.000000,0.428571,0.153846,0.000000,0.000000,0.000000,0.712121,0.555556,0.666667
0.000,0.000000,0.214286,0.589744,0.000000,0.000000,0.000000,0.712121,0.888889,0.750000
0.000,0.000000,0.375000,0.076923,0.000000,0.000000,0.000000,0.621212,0.472222,0.500000
0.000,0.000000,0.125000,0.512821,0.000000,0.000000,0.000000,0.696970,0.666667,0.333333
0.000,0.000000,0.500000,0.102564,0.000000,0.000000,0.000000,0.621212,0.388889,0.333333
0.000,0.000000,0.035714,0.487179,0.000000,0.000000,0.000000,0.757576,0.611111,0.500000
0.000,0.000000,0.571429,0.230769,0.000000,0.000000,0.000000,0.681818,0.694444,0.250000
0.000,0.000000,0.500000,0.512821,0.000000,0.000000,0.000000,0.696970,0.555556,0.500000
0.000,0.000000,0.571429,0.230769,0.000000,0.000000,0.000000,0.772727,0.527778,0.333333
0.000,0.000000,0.267857,0.384615,0.000000,0.000000,0.000000,0.712121,0.500000,0.666667
0.000,0.000000,0.428571,0.179487,0.000000,0.000000,0.000000,0.590909,0.500000,0.833333
0.000,0.000000,0.250000,0.743590,0.000000,0.000000,0.000000,0.757576,0.944444,0.333333
0.000,0.000000,0.500000,0.179487,0.000000,0.000000,0.000000,0.681818,0.750000,0.416667
0.000,0.000000,0.446429,0.692308,0.000000,0.000000,0.000000,0.681818,0.611111,0.083333
0.000,0.000000,0.446429,0.102564,0.000000,0.000000,0.000000,1.000000,0.388889,0.500000
0.000,0.000000,0.107143,0.589744,0.352941,0.000000,0.000000,0.439394,0.500000,0.750000
0.000,0.000000,0.375000,0.307692,0.000000,0.000000,0.000000,0.454545,0.416667,0.333333
0.000,0.000000,0.214286,0.435897,0.000000,0.000000,0.000000,0.227273,0.444444,0.416667
0.000,0.000000,0.410714,0.435897,0.000000,0.000000,0.000000,0.378788,0.611111,0.666667
0.000,0.000000,0.160714,0.589744,0.000000,0.000000,0.000000,0.515152,0.527778,0.750000
0.000,0.000000,0.428571,0.076923,0.000000,0.000000,0.000000,0.560606,0.694444,0.500000
0.000,0.000000,0.214286,0.589744,0.000000,0.000000,0.000000,0.742424,0.888889,0.500000
0.000,0.000000,0.375000,0.179487,0.000000,0.000000,0.000000,0.893939,0.305556,0.416667
0.000,0.000000,0.375000,0.538462,0.000000,0.000000,0.000000,0.651515,0.638889,0.333333
0.000,0.000000,0.535714,0.102564,0.000000,0.000000,0.000000,0.636364,0.833333,0.500000
0.000,0.000000,0.250000,0.538462,0.000000,0.000000,0.000000,0.696970,0.888889,0.333333
0.000,0.000000,0.160714,0.025641,0.000000,0.000000,0.000000,0.530303,0.638889,0.500000
0.000,0.000000,0.285714,0.435897,0.000000,0.000000,0.000000,0.742424,0.666667,1.000000
0.000,0.000000,1.000000,0.128205,0.000000,0.000000,0.000000,0.712121,0.000000,0.916667
0.000,0.000000,0.285714,0.589744,0.000000,0.000000,0.000000,0.742424,0.666667,0.250000
0.000,0.000000,0.357143,0.025641,0.000000,0.000000,0.000000,0.681818,0.833333,0.500000
0.000,0.000000,0.303571,0.589744,0.000000,0.000000,0.000000,0.772727,0.722222,0.250000
0.000,0.000000,0.339286,0.051282,0.000000,0.000000,0.000000,0.530303,0.666667,0.666667
0.000,0.000000,0.321429,0.589744,0.000000,0.000000,0.000000,0.893939,0.500000,0.416667
0.000,0.000000,0.428571,0.128205,0.000000,0.000000,0.000000,0.500000,0.666667,0.666667
0.000,0.000000,0.267857,0.589744,0.000000,0.000000,0.000000,0.696970,0.527778,0.083333
0.000,0.000000,0.464286,0.179487,0.000000,0.000000,0.000000,0.772727,0.527778,0.750000
0.000,0.000000,0.250000,0.641026,0.000000,0.000000,0.000000,0.893939,0.500000,0.250000
0.000,0.000000,0.446429,0.000000,0.000000,0.000000,0.000000,0.621212,0.500000,0.333333
0.000,0.000000,0.500000,0.589744,0.000000,0.000000,0.000000,0.696970,0.722222,0.416667
0.000,0.000000,0.500000,0.076923,0.000000,0.000000,0.000000,0.530303,0.527778,0.250000
0.000,0.000000,0.339286,0.384615,0.000000,0.000000,0.000000,0.712121,0.500000,0.750000
0.000,0.000000,0.428571,0.000000,0.000000,0.000000,0.000000,0.575758,0.944444,0.166667
0.000,0.000000,0.303571,0.435897,0.000000,0.000000,0.000000,0.712121,0.222222,0.583333
0.000,0.000000,0.642857,0.102564,0.000000,0.000000,0.000000,0.696970,0.611111,0.666667
0.000,0.000000,0.375000,0.589744,0.000000,0.000000,0.000000,0.621212,0.722222,0.083333
0.000,0.000000,0.571429,0.333333,0.000000,0.000000,0.000000,0.757576,0.500000,0.333333
0.000,0.200000,0.375000,0.589744,0.000000,1.000000,0.000000,0.681818,0.888889,0.666667
0.000,0.000000,0.517857,0.128205,0.000000,0.000000,0.000000,0.621212,0.888889,0.833333
0.043,0.000000,0.196429,0.589744,0.000000,0.000000,0.000000,0.696970,0.611111,0.250000
0.093,0.000000,0.571429,0.102564,0.000000,0.000000,0.000000,0.515152,0.611111,0.583333
0.143,0.000000,0.232143,0.615385,0.000000,0.000000,0.000000,0.606061,0.388889,0.166667
0.193,0.000000,0.642857,0.230769,0.000000,0.000000,0.000000,0.439394,0.888889,0.750000
0.243,0.000000,0.428571,0.487179,0.000000,0.000000,0.000000,0.636364,0.388889,0.583333
0.293,0.000000,0.500000,0.179487,0.000000,0.000000,0.000000,0.500000,0.611111,0.333333
0.343,0.000000,0.464286,0.512821,0.000000,0.000000,0.000000,0.621212,0.333333,0.416667
0.393,0.000000,0.464286,0.128205,0.000000,0.000000,0.000000,0.590909,0.500000,0.666667
