time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.983437,0.000000,0.000000,0.000000,0.970588,0.689655,0.979167
0.000,0.000000,0.000000,0.946170,0.024390,0.000000,0.000000,0.919786,0.862069,0.951389
0.000,0.000000,0.000000,0.991718,0.000000,0.000000,0.000000,0.934492,0.758621,0.975694
0.000,0.000000,0.011628,0.942029,0.000000,0.000000,0.000000,0.921123,0.534483,0.954861
0.000,0.000000,0.011628,1.000000,0.000000,0.000000,0.000000,0.942513,0.517241,0.972222
0.000,0.000000,0.000000,0.935818,0.000000,0.000000,0.000000,0.919786,0.603448,0.947917
0.000,0.000000,0.000000,0.991718,0.008130,0.000000,0.000000,0.926471,0.689655,0.954861
0.000,0.000000,0.000000,0.942029,0.000000,0.000000,0.000000,0.919786,0.758621,0.958333
0.000,0.000000,0.000000,0.991718,0.000000,0.000000,0.000000,0.941176,0.568966,0.965278
0.000,0.000000,0.000000,0.944099,0.000000,0.182692,0.000000,0.923797,0.689655,0.954861
0.000,0.000000,0.000000,0.991718,0.000000,0.000000,0.000000,0.953209,0.758621,0.965278
0.000,0.000000,0.000000,0.942029,0.000000,0.000000,0.000000,0.929144,0.758621,0.972222
0.000,0.000000,0.011628,0.985507,0.000000,0.875000,0.000000,0.946524,0.689655,0.972222
0.000,0.000000,0.000000,0.954451,0.284553,0.000000,0.000000,0.917112,0.586207,0.954861
0.000,0.000000,0.000000,0.993789,0.000000,0.000000,0.000000,0.941176,0.793103,0.954861
0.000,0.000000,0.000000,0.937888,0.000000,0.000000,0.000000,0.929144,0.827586,0.965278
0.000,0.000000,0.034884,0.975155,0.000000,0.000000,0.000000,0.935829,0.724138,0.972222
0.000,0.000000,0.000000,0.935818,0.000000,0.000000,0.000000,0.946524,0.862069,0.961806
0.000,0.000000,0.000000,0.983437,0.000000,0.000000,0.000000,0.943850,0.827586,0.986111
0.000,0.000000,0.000000,0.956522,0.000000,0.000000,0.000000,0.917112,0.603448,0.958333
0.000,0.000000,0.000000,0.979296,0.000000,0.000000,0.000000,0.925134,0.655172,0.972222
0.000,0.000000,0.000000,0.939959,0.000000,0.000000,0.000000,0.910428,0.482759,0.968750
0.000,0.000000,0.000000,0.991718,0.000000,0.000000,0.000000,0.925134,0.655172,0.968750
0.000,0.000000,0.000000,0.937888,0.000000,0.057692,0.000000,0.906417,0.655172,0.954861
0.000,0.000000,0.000000,0.981366,0.000000,0.000000,0.000000,0.938503,0.775862,0.965278
0.000,0.000000,0.000000,0.950311,0.000000,0.000000,0.000000,0.931818,0.655172,0.954861
0.000,0.000000,0.023256,0.985507,0.000000,0.000000,0.000000,0.963904,0.862069,0.954861
0.000,0.000000,0.000000,0.937888,0.000000,0.000000,0.000000,0.911765,0.758621,0.965278
0.000,0.000000,0.000000,0.975155,0.000000,0.000000,0.000000,0.942513,0.793103,0.968750
0.000,0.000000,0.000000,0.937888,0.000000,0.000000,0.000000,0.926471,0.741379,0.979167
0.000,0.000000,0.000000,0.983437,0.000000,0.000000,0.000000,0.946524,0.724138,0.972222
0.000,0.000000,0.000000,0.937888,0.000000,0.000000,0.000000,0.925134,0.758621,0.958333
0.000,0.000000,0.000000,0.987578,0.065041,0.076923,0.000000,0.946524,0.827586,0.965278
0.000,0.000000,0.000000,0.933747,0.000000,0.000000,0.000000,0.935829,0.827586,0.954861
0.000,0.000000,0.000000,0.983437,0.000000,0.000000,0.000000,0.967914,1.000000,0.965278
0.000,0.034014,0.000000,0.942029,0.000000,0.000000,0.000000,0.943850,0.827586,0.954861
0.000,0.000000,0.000000,0.991718,0.000000,0.000000,0.000000,0.985294,0.827586,0.954861
0.000,0.000000,0.000000,0.942029,0.000000,0.000000,0.000000,0.951872,0.689655,0.954861
0.000,0.000000,0.000000,0.993789,0.000000,0.000000,0.000000,0.938503,0.603448,0.954861
0.000,0.000000,0.000000,0.937888,0.000000,0.000000,0.000000,0.943850,0.793103,0.961806
0.000,0.000000,0.000000,0.979296,0.000000,0.000000,0.000000,0.951872,0.810345,0.958333
0.000,0.000000,0.000000,0.946170,0.081301,0.000000,0.000000,0.970588,0.551724,0.968750
0.000,0.000000,0.058140,0.985507,0.000000,0.000000,0.000000,1.000000,0.879310,0.958333
0.000,0.000000,0.000000,0.944099,0.000000,0.000000,0.000000,0.946524,0.810345,0.965278
0.000,0.000000,0.011628,0.987578,0.000000,0.000000,0.000000,0.953209,0.827586,0.965278
0.000,0.000000,0.000000,0.944099,0.000000,0.000000,0.000000,0.973262,0.758621,0.965278
0.000,0.000000,0.046512,1.000000,0.000000,0.000000,0.000000,0.991979,0.758621,0.975694
0.000,0.000000,0.000000,0.950311,0.048780,0.000000,0.000000,0.965241,0.862069,0.965278
0.000,0.000000,0.000000,0.991718,0.000000,0.000000,0.000000,0.983957,0.913793,0.954861
0.000,0.000000,0.000000,0.942029,0.000000,0.000000,0.000000,0.969251,0.655172,0.954861
0.000,0.000000,0.000000,0.995859,0.000000,0.000000,0.000000,0.983957,0.689655,0.972222
0.000,0.197279,0.000000,0.942029,0.000000,0.000000,0.000000,0.969251,0.689655,0.954861
0.000,0.000000,0.000000,0.989648,0.000000,0.000000,0.000000,0.965241,0.810345,0.965278
0.000,0.000000,0.000000,0.954451,0.000000,0.000000,0.000000,0.951872,0.896552,0.958333
0.000,0.000000,0.023256,0.979296,0.000000,0.000000,0.000000,0.985294,0.758621,0.968750
0.000,0.000000,0.000000,0.939959,0.000000,0.000000,0.000000,0.975936,0.827586,0.965278
0.000,0.000000,0.000000,0.991718,0.000000,0.000000,0.000000,0.967914,0.793103,0.961806
0.000,0.000000,0.000000,0.979296,0.000000,0.000000,0.000000,0.708556,0.551724,0.965278
0.000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.867647,0.896552,0.965278
0.000,0.000000,0.000000,0.937888,0.000000,0.000000,0.000000,0.852941,0.551724,0.954861
0.000,0.000000,0.000000,0.981366,0.000000,0.000000,0.000000,0.136364,0.310345,0.920139
0.000,0.000000,0.000000,0.925466,0.000000,0.000000,0.000000,0.708556,0.482759,0.965278
0.000,0.000000,0.000000,0.962733,0.000000,0.000000,0.000000,0.719251,0.482759,0.972222
0.000,0.000000,0.000000,0.904762,0.000000,0.000000,0.000000,0.681818,0.551724,0.975694
0.000,0.000000,0.000000,0.939959,0.000000,0.000000,0.000000,0.660428,0.793103,0.954861
0.000,0.000000,0.000000,0.902692,0.000000,0.000000,0.000000,0.125668,0.344828,0.965278
