time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.741573,0.000000,0.000000,0.000000,0.405983,0.568627,0.651376
0.000,0.000000,0.000000,0.814607,0.071749,0.000000,0.000000,0.461538,0.568627,0.761468
0.000,0.000000,0.033898,0.876404,0.000000,0.321799,0.037594,0.547009,0.823529,0.903670
0.000,0.000000,0.000000,0.932584,0.000000,0.000000,0.000000,0.581197,0.803922,0.894495
0.000,0.000000,0.000000,0.837079,0.000000,0.000000,0.000000,0.500000,0.588235,0.889908
0.000,0.823529,0.000000,0.921348,0.000000,0.352941,0.000000,0.547009,0.725490,0.880734
0.000,0.000000,0.000000,0.865169,0.000000,0.000000,0.000000,0.529915,0.529412,0.871560
0.000,0.000000,0.000000,0.966292,0.000000,0.000000,0.000000,0.581197,0.882353,0.866972
0.000,0.000000,0.000000,0.910112,0.000000,0.000000,0.323308,0.534188,0.764706,0.844037
0.000,0.000000,0.050847,0.837079,0.000000,0.031142,0.000000,0.576923,0.764706,0.871560
0.000,0.000000,0.000000,0.876404,0.000000,0.000000,0.000000,0.495726,0.568627,0.807339
0.000,0.000000,0.000000,0.820225,0.000000,0.000000,0.000000,0.568376,0.490196,0.816514
0.000,0.000000,0.000000,0.876404,0.000000,0.000000,0.000000,0.534188,0.607843,0.779817
0.000,0.134454,0.000000,0.921348,0.000000,0.000000,0.000000,0.606838,0.803922,0.793578
0.000,0.210084,0.000000,0.865169,0.000000,0.000000,0.000000,0.521368,0.490196,0.793578
0.000,0.000000,0.000000,0.932584,0.000000,0.000000,0.000000,0.576923,0.450980,0.802752
0.000,0.000000,0.000000,0.865169,0.000000,0.000000,0.000000,0.551282,0.470588,0.793578
0.000,0.000000,0.000000,0.876404,0.000000,0.000000,0.000000,0.559829,0.588235,0.811927
0.000,0.000000,0.000000,0.820225,0.000000,0.000000,0.000000,0.542735,0.607843,0.798165
0.000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.632479,0.725490,0.830275
0.000,0.000000,0.000000,0.898876,0.000000,0.000000,0.000000,0.517094,0.607843,0.811927
0.000,0.000000,0.203390,0.870787,0.000000,0.000000,0.000000,0.555556,0.490196,0.811927
0.000,0.000000,0.000000,0.814607,0.000000,0.000000,0.000000,0.521368,0.705882,0.793578
0.000,0.000000,0.169492,0.921348,0.174888,0.000000,0.000000,0.572650,0.764706,0.830275
0.000,0.000000,0.084746,0.887640,0.000000,0.000000,0.000000,0.709402,0.784314,0.908257
0.000,0.075630,0.000000,0.696629,0.000000,0.000000,0.000000,0.658120,0.666667,0.582569
0.000,0.000000,0.101695,0.797753,0.040359,0.000000,0.000000,0.794872,0.450980,0.761468
0.000,0.067227,0.067797,0.887640,0.000000,0.000000,0.000000,0.829060,0.529412,0.807339
0.000,0.000000,1.000000,0.820225,0.000000,0.000000,0.390977,1.000000,0.568627,0.811927
0.000,0.000000,0.033898,0.882022,0.000000,0.000000,0.000000,0.940171,1.000000,0.917431
0.000,0.000000,0.000000,0.797753,0.000000,0.000000,0.000000,0.764957,0.568627,0.981651
0.000,0.000000,0.067797,0.898876,0.017937,0.352941,0.593985,0.717949,0.627451,0.949541
0.000,0.000000,0.000000,0.696629,0.000000,0.000000,0.000000,0.589744,0.529412,0.981651
0.000,0.000000,0.067797,0.932584,0.000000,0.000000,0.000000,0.923077,0.686275,0.940367
0.000,0.000000,0.000000,0.898876,0.000000,0.000000,0.000000,0.474359,0.529412,0.917431
0.000,0.000000,0.372881,0.786517,0.000000,0.000000,0.000000,0.525641,0.490196,0.853211
0.000,0.000000,0.000000,0.865169,0.000000,0.000000,0.000000,0.572650,0.529412,0.935780
0.000,0.000000,0.152542,0.955056,0.112108,0.000000,0.000000,0.747863,0.509804,0.944954
0.000,0.000000,0.000000,0.898876,0.000000,0.000000,0.000000,0.700855,0.823529,0.926606
0.000,0.000000,0.271186,0.943820,0.000000,0.055363,0.000000,0.666667,0.803922,1.000000
0.000,0.000000,0.000000,0.887640,0.000000,0.000000,0.000000,0.632479,0.568627,1.000000
0.000,0.000000,0.000000,0.865169,0.000000,0.000000,0.000000,0.529915,0.509804,0.940367
0.000,0.000000,0.000000,0.870787,0.000000,0.000000,0.000000,0.307692,0.568627,0.935780
0.000,0.000000,0.152542,0.898876,0.000000,0.000000,0.000000,0.393162,0.549020,0.926606
0.000,0.000000,0.000000,0.853933,0.000000,0.044983,0.000000,0.457265,0.490196,0.926606
0.000,0.067227,0.000000,0.887640,0.000000,0.000000,0.000000,0.452991,0.529412,0.954128
0.000,0.016807,0.000000,0.853933,0.000000,0.000000,0.000000,0.508547,0.490196,0.967890
0.000,0.000000,0.169492,0.921348,0.000000,0.000000,0.015038,0.884615,0.607843,0.981651
0.000,0.000000,0.000000,0.876404,0.000000,0.024221,0.000000,0.692308,0.549020,0.954128
0.000,0.000000,0.000000,0.876404,0.000000,0.055363,0.000000,0.837607,0.823529,0.981651
0.000,0.000000,0.000000,0.786517,0.000000,0.000000,0.000000,0.820513,0.843137,0.935780
0.000,0.000000,0.000000,0.876404,0.000000,0.000000,0.000000,0.854701,0.568627,0.981651
0.000,0.000000,0.000000,0.825843,0.000000,0.044983,0.000000,0.876068,0.509804,1.000000
0.000,0.000000,0.000000,0.865169,0.000000,0.000000,0.000000,0.923077,0.823529,0.990826
0.000,0.000000,0.000000,0.808989,0.080717,0.086505,0.225564,0.863248,0.666667,0.949541
0.000,0.000000,0.000000,0.865169,0.000000,0.000000,0.000000,0.854701,0.568627,0.807339
0.000,0.000000,0.000000,0.674157,0.008969,0.000000,0.954887,0.829060,0.823529,0.642202
0.000,0.000000,0.000000,0.674157,0.000000,0.252595,0.218045,0.863248,0.529412,0.642202
0.000,0.000000,0.000000,0.674157,0.000000,0.000000,0.338346,0.846154,0.745098,0.614679
0.000,0.000000,0.033898,0.629213,0.000000,0.000000,0.000000,0.722222,0.392157,0.555046
0.000,0.000000,0.000000,0.741573,0.000000,0.000000,0.030075,0.760684,0.568627,0.683486
0.000,0.000000,0.084746,0.719101,0.000000,0.000000,0.000000,0.846154,0.803922,0.720183
0.000,0.042017,0.000000,0.696629,0.000000,0.000000,0.000000,0.846154,0.509804,0.711009
0.000,0.000000,0.271186,0.735955,0.000000,0.000000,0.000000,0.863248,0.509804,0.706422
0.000,0.000000,0.000000,0.719101,0.000000,0.086505,0.000000,0.824786,0.509804,0.678899
0.000,0.000000,0.152542,0.730337,0.000000,0.000000,0.015038,0.850427,0.568627,0.697248
0.000,0.084034,0.000000,0.651685,0.000000,0.000000,0.000000,0.803419,0.607843,0.678899
0.000,0.126050,0.372881,0.719101,0.031390,0.000000,0.000000,0.829060,0.470588,0.665138
0.000,0.403361,0.000000,0.674157,0.000000,0.000000,0.000000,0.863248,0.509804,0.646789
0.000,0.000000,0.084746,0.691011,0.017937,0.000000,0.000000,0.854701,0.568627,0.660550
0.000,0.000000,0.000000,0.584270,0.000000,0.000000,0.000000,0.790598,0.490196,0.642202
0.000,0.000000,0.000000,0.679775,0.000000,0.017301,0.000000,0.807692,0.529412,0.633028
0.000,0.000000,0.000000,0.606742,0.000000,0.089965,0.000000,0.735043,0.450980,0.573394
0.000,0.302521,0.203390,0.617978,0.000000,0.000000,0.000000,0.760684,0.764706,0.587156
0.000,0.000000,0.000000,0.589888,0.000000,0.000000,0.142857,0.726496,0.568627,0.536697
0.000,0.000000,0.033898,0.584270,0.000000,0.000000,0.007519,0.735043,0.450980,0.518349
0.000,0.008403,0.000000,0.539326,0.013453,0.190311,0.000000,0.653846,0.470588,0.481651
0.000,0.000000,0.000000,0.629213,0.000000,0.000000,0.000000,0.709402,0.568627,0.495413
0.000,0.168067,0.000000,0.561798,0.000000,0.048443,0.000000,0.662393,0.392157,0.541284
0.000,0.000000,0.169492,0.466292,0.000000,0.000000,0.000000,0.700855,0.450980,0.504587
0.000,0.000000,0.000000,0.505618,0.000000,0.034602,0.000000,0.641026,0.431373,0.435780
0.000,0.000000,0.203390,0.528090,0.000000,1.000000,0.000000,0.589744,0.372549,0.444954
0.043,0.000000,0.000000,0.539326,0.000000,0.000000,1.000000,0.598291,0.450980,0.467890
0.093,0.084034,0.440678,0.533708,0.000000,0.000000,0.000000,0.589744,0.450980,0.431193
0.143,0.193277,0.000000,0.460674,0.000000,0.000000,0.000000,0.589744,0.392157,0.422018
0.193,0.000000,0.135593,0.460674,0.000000,0.000000,0.000000,0.529915,0.411765,0.394495
0.243,0.000000,0.033898,0.348315,0.000000,0.017301,0.180451,0.482906,0.333333,0.376147
0.293,0.000000,0.118644,0.460674,0.000000,0.000000,0.000000,0.474359,0.215686,0.385321
0.343,0.000000,0.067797,0.370787,0.000000,0.000000,0.000000,0.495726,0.235294,0.357798
0.393,0.000000,0.271186,0.505618,0.000000,0.570934,0.300752,0.572650,0.431373,0.417431
0.443,0.058824,0.000000,0.376404,0.000000,0.000000,0.000000,0.508547,0.392157,0.353211
