time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.015385,0.056618,0.000000,0.000000,0.074237,0.112520,0.030600,0.093565
0.000,0.000000,0.019292,0.065667,0.000000,0.000000,0.000000,0.110935,0.029376,0.090826
0.000,0.000000,0.015140,0.054292,0.008547,0.000000,0.000000,0.114897,0.029376,0.094477
0.000,0.000000,0.018559,0.064116,0.000000,0.000000,0.000000,0.112520,0.033048,0.089000
0.000,0.000000,0.018315,0.055326,0.000000,0.000000,0.000000,0.110143,0.029376,0.093565
0.000,0.000000,0.017582,0.075491,0.000000,0.000000,0.000000,0.129952,0.034884,0.108626
0.000,0.000000,0.017582,0.059204,0.000000,0.000000,0.000000,0.112916,0.039168,0.096303
0.000,0.000000,0.021490,0.078077,0.003419,0.000000,0.000000,0.141838,0.034272,0.115929
0.000,0.000000,0.014408,0.075233,0.000000,0.000000,0.000000,0.149762,0.032436,0.128708
0.000,0.015629,0.020757,0.081437,0.000000,0.000000,0.000000,0.144612,0.036720,0.115016
0.000,0.000000,0.017827,0.064116,0.000000,0.000000,0.000000,0.129160,0.033048,0.104975
0.000,0.000000,0.017827,0.071613,0.000000,0.004396,0.000000,0.128368,0.029376,0.101780
0.000,0.000000,0.014408,0.062048,0.006838,0.000000,0.000244,0.116482,0.028764,0.100411
0.000,0.000000,0.020513,0.077559,0.002198,0.000000,0.000000,0.133914,0.031212,0.109539
0.000,0.001221,0.017338,0.076784,0.000000,0.002198,0.000000,0.141442,0.034272,0.123231
0.000,0.000000,0.021490,0.083764,0.000000,0.000000,0.000000,0.148177,0.037944,0.122775
0.000,0.000000,0.015629,0.076008,0.000000,0.000000,0.000000,0.137084,0.040392,0.123231
0.000,0.000000,0.018315,0.086867,0.003907,0.000000,0.000000,0.153328,0.033048,0.123231
0.000,0.000000,0.016361,0.080403,0.000733,0.000000,0.000000,0.152139,0.038556,0.127796
0.000,0.000000,0.019536,0.079628,0.000244,0.000000,0.001221,0.128368,0.031824,0.108626
0.000,0.000000,0.015629,0.070321,0.000733,0.000000,0.000000,0.142235,0.036720,0.113190
0.000,0.000000,0.020757,0.084023,0.000000,0.000244,0.000000,0.148574,0.037944,0.126426
0.000,0.000000,0.016850,0.078335,0.000000,0.000000,0.000000,0.154913,0.034272,0.130990
0.000,0.001954,0.019780,0.080662,0.000000,0.000000,0.000000,0.164025,0.037944,0.114103
0.000,0.000000,0.014896,0.069286,0.000000,0.000000,0.000000,0.129160,0.031824,0.111365
0.000,0.004396,0.018803,0.076008,0.000000,0.000000,0.000000,0.136292,0.033048,0.106801
0.000,0.000000,0.016361,0.072906,0.000000,0.000000,0.031990,0.132726,0.035496,0.116842
0.000,0.000000,0.019780,0.088935,0.000000,0.000000,0.000000,0.160856,0.037332,0.126426
0.000,0.000000,0.014164,0.076525,0.000000,0.000000,0.000488,0.152932,0.032436,0.122319
0.000,0.001221,0.023687,0.084023,0.017582,0.000244,0.000000,0.153328,0.031212,0.126883
0.000,0.000000,0.016361,0.085832,0.000000,0.000000,0.000000,0.164422,0.045288,0.141488
0.000,0.000000,0.017827,0.097466,0.000000,0.000000,0.004884,0.187401,0.040392,0.163396
0.000,0.003907,0.015385,0.076525,0.000000,0.000000,0.000000,0.152139,0.034272,0.115929
0.000,0.000000,0.019292,0.079111,0.000000,0.000000,0.000000,0.141838,0.038556,0.114560
0.000,0.000000,0.013431,0.077559,0.000000,0.000000,0.000000,0.149762,0.035496,0.140119
0.000,0.000000,0.018315,0.095140,0.000000,0.000000,0.000000,0.166799,0.047736,0.160201
0.000,0.000733,0.009035,0.088159,0.000000,0.000000,0.000000,0.155309,0.035496,0.158832
0.000,0.000000,0.018315,0.092037,0.000977,0.000000,0.000733,0.147385,0.033660,0.134185
0.000,0.000000,0.009768,0.082730,0.000000,0.000000,0.001221,0.133914,0.034272,0.136011
0.000,0.000000,0.016850,0.088159,0.000000,0.000000,0.000977,0.072108,0.036108,0.143314
0.000,0.000000,0.009768,0.080920,0.000000,0.000000,0.000000,0.128764,0.039168,0.151529
0.000,0.000000,0.013919,0.095140,0.000000,0.000000,0.000000,0.158479,0.041616,0.164309
0.000,0.000000,0.002198,0.034643,0.002442,0.000000,0.002198,0.080032,0.011016,0.037426
0.000,0.000000,0.014896,0.040589,0.000000,0.002198,0.000000,0.062995,0.028152,0.065723
0.000,0.000000,0.004884,0.063599,0.000000,0.000000,0.000000,0.110935,0.034272,0.115929
0.000,0.000000,0.013431,0.082989,0.000000,0.000488,0.002198,0.131933,0.032436,0.125057
0.000,0.000000,0.000733,0.080145,0.009768,0.000000,0.011722,0.152139,0.033660,0.128708
0.000,0.000000,0.000000,0.072130,0.000000,0.000000,0.004151,0.179081,0.023868,0.089000
0.000,0.038828,0.000000,0.000000,0.000488,0.009524,0.000000,0.083994,0.000000,0.000000
0.000,1.000000,1.000000,0.645036,1.000000,1.000000,1.000000,1.000000,0.973072,0.742127
0.000,0.000000,0.000000,0.509307,0.016850,0.000000,0.000000,0.123613,0.050184,0.519398
0.000,1.000000,0.998291,1.000000,1.000000,1.000000,1.000000,0.938986,1.000000,0.941579
0.000,0.000000,0.000000,0.504654,0.000000,0.000000,0.039316,0.087163,0.028152,0.550434
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.923534,0.952264,0.944318
0.000,0.000000,0.000000,0.512151,0.005861,0.000000,0.000000,0.103011,0.027540,0.552716
0.000,1.000000,0.971917,1.000000,1.000000,1.000000,1.000000,0.931458,0.978580,0.990415
0.000,0.005372,0.000000,0.513444,0.000000,0.000000,0.000000,0.108558,0.033660,0.558193
