time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.135135,0.000000,0.000000,0.000000,0.135484,0.625000,0.076923
0.000,0.000000,0.366972,0.891892,0.000000,0.000000,0.000000,0.264516,0.675000,0.538462
0.000,0.000000,0.036697,0.189189,0.000000,0.000000,0.000000,0.122581,0.400000,0.153846
0.000,0.000000,0.321101,0.864865,0.000000,0.000000,0.000000,0.238710,0.575000,0.384615
0.000,0.000000,0.064220,0.081081,0.000000,0.000000,0.000000,0.122581,0.675000,0.615385
0.000,0.000000,0.761468,0.783784,0.000000,0.000000,0.000000,0.264516,0.650000,0.692308
0.000,0.000000,0.073394,0.135135,0.000000,0.000000,0.000000,0.187097,0.775000,0.384615
0.000,0.000000,0.376147,0.756757,0.000000,0.000000,0.000000,0.251613,0.725000,0.230769
0.000,0.000000,0.036697,0.135135,0.000000,1.000000,0.000000,0.212903,0.700000,0.076923
0.000,0.000000,0.467890,0.837838,0.000000,0.000000,0.000000,0.219355,0.750000,0.615385
0.000,0.000000,0.000000,0.216216,0.000000,0.000000,0.000000,0.122581,0.000000,0.384615
0.000,0.009524,0.376147,0.675676,0.000000,0.000000,0.000000,0.251613,0.575000,0.384615
0.000,0.152381,0.036697,0.000000,0.000000,0.016807,0.000000,0.116129,0.325000,0.307692
0.000,0.161905,0.376147,0.783784,0.000000,0.000000,0.000000,0.238710,0.625000,0.307692
0.000,0.000000,0.000000,0.297297,0.000000,0.000000,0.000000,0.122581,0.625000,0.307692
0.000,0.000000,0.403670,0.729730,0.000000,0.000000,0.000000,0.341935,0.575000,0.615385
0.000,0.000000,0.036697,0.189189,0.093023,0.000000,0.000000,0.174194,0.725000,0.615385
0.000,0.000000,0.467890,1.000000,0.000000,0.000000,0.000000,0.251613,0.575000,0.769231
0.000,0.000000,0.091743,0.000000,0.000000,0.000000,0.000000,0.161290,0.475000,0.384615
0.000,0.000000,0.357798,0.864865,0.000000,0.000000,0.000000,0.245161,0.675000,0.461538
0.000,1.000000,0.000000,0.189189,0.000000,0.000000,0.000000,0.129032,0.375000,0.461538
0.000,0.000000,0.348624,0.891892,0.000000,0.000000,0.000000,0.264516,0.475000,0.461538
0.000,0.000000,0.045872,0.081081,0.000000,0.000000,0.000000,0.161290,0.575000,0.000000
0.000,0.000000,0.366972,0.729730,0.000000,0.000000,0.000000,0.264516,0.625000,0.692308
0.000,0.000000,0.000000,0.243243,0.000000,0.000000,0.000000,0.277419,0.575000,0.615385
0.000,0.000000,0.532110,0.675676,0.000000,0.000000,0.000000,0.238710,0.925000,0.307692
0.000,0.000000,0.000000,0.216216,0.000000,0.000000,0.000000,0.109677,0.625000,0.307692
0.000,0.000000,0.376147,0.729730,0.000000,0.000000,0.000000,0.367742,0.575000,0.153846
0.000,0.000000,0.064220,0.243243,0.162791,0.445378,0.000000,0.122581,0.550000,0.615385
0.000,0.000000,0.366972,0.621622,0.000000,0.000000,0.000000,0.238710,0.600000,0.692308
0.000,0.000000,0.036697,0.135135,0.000000,0.000000,0.000000,0.122581,0.575000,0.384615
0.000,0.000000,0.100917,0.756757,0.000000,0.000000,0.000000,0.116129,0.475000,0.384615
0.000,0.000000,0.220183,0.000000,0.000000,0.000000,0.000000,0.000000,0.475000,0.461538
0.000,0.000000,0.467890,0.729730,0.000000,0.000000,0.000000,0.116129,0.700000,0.461538
0.000,0.000000,0.082569,0.135135,0.000000,0.000000,0.000000,0.200000,0.525000,0.615385
0.000,0.000000,0.504587,0.729730,0.000000,0.000000,0.000000,0.290323,0.500000,0.461538
0.000,0.104762,0.165138,0.189189,0.000000,0.000000,0.000000,0.238710,0.400000,0.076923
0.000,0.047619,0.477064,0.567568,0.000000,0.000000,0.000000,0.245161,0.975000,0.769231
0.000,0.076190,0.284404,0.189189,0.000000,0.000000,0.000000,0.032258,0.750000,0.307692
0.000,0.161905,0.541284,0.567568,0.000000,0.000000,0.000000,0.200000,0.875000,0.384615
0.000,0.000000,0.229358,0.216216,0.000000,0.000000,0.000000,0.212903,0.725000,0.384615
0.000,0.000000,0.504587,0.648649,0.000000,0.000000,0.000000,0.451613,0.575000,0.615385
0.000,0.000000,0.119266,0.243243,0.000000,0.000000,0.000000,0.393548,0.525000,0.769231
0.000,0.000000,0.577982,0.675676,0.000000,0.000000,0.014925,0.445161,0.650000,0.538462
0.000,0.000000,0.229358,0.216216,0.000000,0.000000,0.000000,0.464516,0.975000,0.461538
0.000,0.000000,0.513761,0.675676,0.000000,0.000000,0.000000,0.574194,0.575000,0.923077
0.000,0.000000,0.321101,0.405405,0.000000,0.000000,0.000000,0.309677,0.575000,0.384615
0.000,0.000000,0.577982,0.243243,0.000000,0.000000,0.000000,0.393548,0.500000,0.461538
0.000,0.000000,0.376147,0.378378,0.000000,0.000000,0.000000,0.419355,0.675000,0.384615
0.000,0.000000,0.568807,0.621622,0.000000,0.000000,0.000000,0.445161,0.625000,0.615385
0.000,0.000000,0.339450,0.351351,0.209302,0.000000,0.000000,0.477419,0.675000,0.307692
0.000,0.000000,0.532110,0.621622,0.000000,0.000000,0.000000,0.470968,0.625000,1.000000
0.000,0.000000,0.284404,0.567568,0.000000,0.000000,0.000000,0.754839,0.600000,0.769231
0.000,0.000000,0.522936,0.459459,0.000000,0.000000,0.000000,1.000000,0.600000,0.461538
0.000,0.000000,0.440367,0.351351,0.000000,0.000000,0.000000,0.864516,0.800000,0.000000
0.000,0.000000,0.541284,0.621622,0.000000,0.000000,0.000000,0.580645,0.875000,0.153846
0.000,0.000000,0.357798,0.351351,0.000000,0.000000,0.000000,0.529032,0.450000,0.307692
0.000,0.000000,0.522936,0.621622,0.000000,0.000000,0.000000,0.612903,0.600000,0.923077
0.000,0.000000,0.403670,0.297297,0.000000,0.000000,0.000000,0.625806,0.550000,0.461538
0.000,0.000000,0.651376,0.648649,0.000000,0.000000,0.000000,0.683871,0.525000,0.461538
0.000,0.000000,0.541284,0.351351,0.000000,0.000000,0.000000,0.638710,0.875000,0.615385
0.000,0.000000,0.761468,0.729730,0.000000,0.000000,0.000000,0.664516,0.800000,0.307692
0.000,0.000000,0.577982,0.513514,0.000000,0.000000,0.000000,0.612903,0.675000,0.615385
0.000,0.076190,0.733945,0.729730,0.000000,0.000000,0.000000,0.658065,0.850000,0.692308
0.000,0.000000,0.587156,0.351351,0.000000,0.000000,0.000000,0.529032,0.675000,0.076923
0.000,0.000000,0.853211,0.648649,0.000000,0.000000,0.000000,0.187097,0.525000,0.384615
0.000,0.000000,0.522936,0.351351,0.000000,0.000000,0.000000,0.038710,0.625000,0.076923
0.000,0.000000,0.651376,0.702703,0.000000,0.000000,0.000000,0.122581,0.750000,0.230769
0.000,0.000000,0.504587,0.351351,0.000000,0.000000,0.000000,0.116129,0.525000,0.538462
0.000,0.000000,0.688073,0.567568,0.000000,0.000000,0.000000,0.264516,0.525000,0.461538
0.000,0.000000,0.587156,0.297297,0.000000,0.000000,0.000000,0.225806,0.675000,0.615385
0.000,0.000000,0.733945,0.891892,0.000000,0.000000,0.000000,0.225806,0.575000,0.692308
0.000,0.000000,0.559633,0.594595,0.000000,0.000000,0.000000,0.200000,0.500000,0.615385
0.000,0.000000,0.779817,0.405405,0.000000,0.000000,0.000000,0.419355,0.625000,0.615385
0.000,0.000000,0.504587,0.513514,0.000000,0.000000,0.000000,0.445161,0.575000,0.461538
0.000,0.000000,0.669725,0.675676,0.000000,0.000000,0.059701,0.496774,0.925000,0.461538
0.000,0.000000,0.568807,0.351351,0.000000,0.000000,0.000000,0.503226,0.925000,0.461538
0.000,0.000000,0.706422,0.621622,0.000000,0.000000,0.000000,0.580645,0.975000,0.461538
0.000,0.000000,0.541284,0.513514,0.000000,0.000000,0.000000,0.496774,0.575000,0.230769
0.000,0.057143,0.761468,0.648649,0.000000,0.000000,0.000000,0.554839,0.650000,0.307692
0.000,0.000000,0.623853,0.513514,0.093023,0.000000,0.000000,0.580645,1.000000,0.153846
0.000,0.000000,0.816514,0.648649,0.000000,0.075630,0.000000,0.651613,0.575000,0.384615
0.042,0.000000,0.669725,0.621622,0.000000,0.000000,0.000000,0.612903,0.475000,0.384615
0.092,0.038095,0.807339,0.729730,0.000000,0.000000,0.000000,0.296774,0.675000,0.384615
0.142,0.000000,0.669725,0.351351,0.046512,0.000000,0.000000,0.329032,0.275000,0.384615
0.192,0.000000,0.733945,0.567568,0.000000,0.000000,0.000000,0.509677,0.925000,0.769231
0.242,0.000000,0.633028,0.513514,0.000000,0.000000,0.000000,0.535484,0.575000,0.384615
