time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.257944,0.000000,0.000000,0.000000,0.096639,0.696970,0.969136
0.000,0.000000,0.000000,0.282243,0.000000,0.000000,0.000000,0.142857,0.666667,0.972222
0.000,0.087379,0.000000,0.259813,0.000000,0.000000,0.000000,0.098739,0.606061,0.981481
0.000,0.000000,0.000000,0.285981,0.269231,0.000000,0.512821,0.126050,0.939394,0.981481
0.000,0.000000,0.000000,0.250467,0.000000,0.000000,0.000000,0.100840,0.651515,0.978395
0.000,0.000000,0.000000,0.289720,0.000000,0.000000,0.000000,0.134454,0.727273,0.981481
0.000,0.000000,0.000000,0.256075,0.000000,0.000000,0.000000,0.088235,0.772727,0.972222
0.000,0.000000,0.000000,0.269159,0.000000,0.000000,0.000000,0.126050,0.696970,0.978395
0.000,0.000000,0.000000,0.226168,0.000000,0.000000,0.000000,0.100840,0.666667,0.987654
0.000,0.000000,0.000000,0.278505,0.000000,0.000000,0.000000,0.134454,0.878788,0.975309
0.000,0.000000,0.000000,0.250467,0.000000,0.000000,0.000000,0.084034,0.878788,0.981481
0.000,0.038835,0.000000,0.285981,0.000000,0.000000,0.000000,0.126050,0.696970,0.972222
0.000,0.000000,0.000000,0.244860,0.000000,0.000000,0.000000,0.109244,0.606061,0.981481
0.000,0.000000,0.000000,0.289720,0.000000,0.046512,0.000000,0.134454,0.696970,0.972222
0.000,0.000000,0.000000,0.229907,0.000000,0.000000,0.000000,0.109244,0.560606,0.972222
0.000,0.000000,0.000000,0.278505,0.000000,0.000000,0.000000,0.142857,0.606061,0.972222
0.000,0.000000,0.000000,0.254206,0.000000,0.000000,0.000000,0.100840,0.666667,0.966049
0.000,0.000000,0.000000,0.282243,0.000000,0.000000,0.000000,0.134454,0.742424,0.981481
0.000,0.000000,0.000000,0.259813,0.000000,0.000000,0.000000,0.098739,0.727273,0.972222
0.000,0.000000,0.000000,0.285981,0.000000,0.000000,0.000000,0.142857,0.787879,0.975309
0.000,0.000000,0.000000,0.254206,0.000000,0.000000,0.000000,0.090336,0.681818,0.972222
0.000,0.000000,0.000000,0.293458,0.000000,0.000000,0.000000,0.130252,0.863636,0.972222
0.000,0.000000,0.000000,0.246729,0.000000,0.000000,0.000000,0.084034,0.803030,0.978395
0.000,0.000000,0.000000,0.285981,0.000000,0.046512,0.000000,0.130252,0.681818,0.984568
0.000,0.000000,0.000000,0.259813,0.000000,0.000000,0.000000,0.113445,0.727273,0.993827
0.000,0.000000,0.000000,0.285981,0.000000,0.000000,0.000000,0.130252,0.803030,0.978395
0.000,0.000000,0.000000,0.257944,0.000000,0.000000,0.000000,0.092437,0.787879,0.969136
0.000,0.000000,0.000000,0.282243,0.000000,0.000000,0.000000,0.134454,0.924242,0.978395
0.000,0.000000,0.000000,0.263551,0.000000,0.000000,0.000000,0.098739,0.636364,0.975309
0.000,0.058252,0.000000,0.289720,0.000000,0.000000,0.000000,0.121849,0.696970,0.972222
0.000,0.000000,0.000000,0.261682,0.000000,0.000000,0.256410,0.084034,0.727273,0.966049
0.000,0.000000,0.000000,0.280374,0.000000,0.000000,0.000000,0.132353,0.909091,1.000000
0.000,0.000000,0.000000,0.256075,0.000000,0.186047,0.000000,0.094538,0.757576,0.984568
0.000,0.000000,0.000000,0.278505,0.000000,0.000000,0.000000,0.130252,0.878788,0.981481
0.000,0.000000,0.000000,0.274766,0.000000,0.000000,0.000000,0.081933,0.848485,0.975309
0.000,0.000000,0.000000,0.390654,0.000000,0.000000,0.000000,0.134454,0.757576,0.993827
0.000,0.000000,0.000000,0.641121,0.000000,0.000000,0.000000,0.081933,0.636364,0.981481
0.000,0.000000,0.000000,0.738318,0.000000,0.000000,0.000000,0.073529,0.909091,1.000000
0.000,0.000000,0.000000,0.710280,0.000000,0.000000,0.000000,0.050420,0.742424,0.975309
0.000,0.019417,0.000000,0.768224,1.000000,1.000000,0.000000,0.670168,0.878788,0.987654
0.000,0.000000,0.000000,0.734579,0.500000,0.000000,0.000000,0.735294,0.848485,1.000000
0.000,0.000000,0.000000,0.755140,0.000000,0.000000,0.000000,0.760504,0.909091,0.984568
0.000,0.000000,0.000000,0.734579,0.423077,0.000000,0.000000,0.794118,0.757576,0.975309
0.000,0.000000,0.000000,0.747664,0.000000,0.000000,0.000000,0.810924,0.924242,0.972222
0.000,0.000000,0.000000,0.715888,0.000000,0.767442,0.410256,0.752101,0.939394,0.972222
0.000,0.000000,0.000000,0.760748,0.000000,0.000000,0.000000,0.810924,0.727273,0.972222
0.000,0.000000,0.000000,0.734579,0.000000,0.000000,0.000000,0.644958,0.681818,0.981481
0.000,0.000000,0.000000,0.760748,0.000000,0.000000,0.000000,0.588235,0.909091,0.972222
0.000,0.000000,0.000000,0.734579,0.000000,0.000000,0.000000,0.630252,0.757576,0.962963
0.000,0.000000,0.000000,0.762617,0.000000,0.000000,0.000000,0.630252,0.727273,0.972222
0.000,0.000000,0.000000,0.723364,0.000000,0.000000,0.000000,0.592437,0.727273,0.990741
0.000,0.000000,0.000000,0.678505,0.000000,0.000000,0.000000,0.647059,0.863636,0.987654
0.000,0.000000,0.000000,0.714019,0.000000,0.000000,0.000000,0.632353,0.666667,0.984568
0.000,0.000000,0.000000,0.674766,0.000000,0.000000,0.000000,0.634454,0.727273,0.972222
0.000,0.000000,0.000000,0.706542,0.000000,0.000000,0.000000,0.626050,0.727273,0.984568
0.000,0.000000,0.000000,0.757009,0.000000,0.000000,0.000000,0.663866,0.878788,0.972222
0.000,0.000000,0.000000,0.715888,0.000000,0.000000,0.000000,0.642857,0.757576,0.975309
0.000,0.000000,0.000000,0.749533,0.000000,0.000000,0.000000,0.676471,0.787879,0.990741
0.000,0.000000,0.000000,0.712150,0.000000,0.000000,0.000000,0.668067,0.803030,0.972222
0.000,0.000000,0.000000,0.745794,0.000000,0.000000,0.000000,0.678571,0.757576,0.984568
0.000,0.000000,0.000000,0.706542,0.000000,0.000000,0.000000,0.672269,0.893939,0.975309
0.000,0.000000,0.000000,0.738318,0.000000,0.000000,0.000000,0.693277,0.909091,0.987654
0.000,0.000000,0.000000,0.717757,0.000000,0.000000,0.000000,0.676471,0.772727,0.975309
0.000,0.106796,0.000000,0.736449,0.000000,0.000000,0.000000,0.712185,0.878788,0.972222
0.000,0.000000,0.000000,0.734579,0.000000,0.000000,0.000000,0.705882,0.909091,0.972222
0.000,0.000000,0.000000,0.730841,0.000000,0.000000,0.000000,0.718487,0.696970,0.987654
0.000,0.029126,0.000000,0.704673,0.000000,0.000000,0.000000,0.676471,0.712121,0.981481
0.000,0.000000,0.000000,0.738318,0.000000,0.000000,0.000000,0.726891,0.757576,0.996914
0.000,0.000000,0.000000,0.708411,0.000000,0.000000,0.000000,0.703782,0.606061,0.981481
0.000,0.000000,0.000000,0.734579,0.000000,0.000000,0.000000,0.737395,0.727273,0.972222
0.000,0.000000,0.000000,0.708411,0.000000,0.000000,0.000000,0.703782,1.000000,0.962963
0.000,0.000000,0.000000,0.738318,0.000000,0.000000,0.000000,0.733193,0.939394,0.984568
0.000,0.000000,0.000000,0.704673,0.000000,0.000000,0.000000,0.710084,0.939394,0.993827
0.000,0.000000,0.000000,0.742056,0.000000,0.000000,0.000000,0.731092,0.969697,0.975309
0.000,0.000000,0.000000,0.697196,0.000000,0.000000,0.000000,0.735294,0.863636,0.975309
0.000,0.000000,0.000000,0.738318,0.000000,0.000000,0.000000,0.737395,0.727273,0.981481
0.000,0.000000,0.000000,0.708411,0.000000,0.000000,0.000000,0.722689,0.939394,0.981481
0.000,0.000000,0.000000,0.734579,0.000000,0.000000,0.000000,0.739496,0.757576,0.975309
0.000,0.000000,0.000000,0.708411,0.000000,0.000000,0.000000,0.720588,0.848485,0.975309
0.000,0.000000,0.000000,0.730841,0.000000,0.000000,0.000000,0.728992,0.727273,0.972222
