time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.324138,0.006352,0.105428,0.000000,0.000000,0.263918,0.166043,0.038314,0.139172
0.000,0.334052,0.005445,0.110647,0.000000,0.000000,0.267743,0.175019,0.039272,0.143371
0.000,0.322845,0.006352,0.105776,0.000000,0.000000,0.261368,0.177263,0.040230,0.139772
0.000,0.334914,0.009074,0.110995,0.000000,0.000000,0.268168,0.175019,0.038314,0.136773
0.000,0.326293,0.005898,0.108212,0.000000,0.000000,0.263068,0.179506,0.048851,0.138572
0.000,0.334052,0.006352,0.112387,0.000000,0.000000,0.268168,0.172775,0.032567,0.138572
0.000,0.325431,0.007260,0.107864,0.001987,0.000000,0.261793,0.170531,0.038314,0.141572
0.000,0.337931,0.004537,0.109951,0.000000,0.000000,0.268168,0.158564,0.040230,0.139172
0.000,0.325862,0.005445,0.105776,0.000000,0.000000,0.263068,0.173523,0.031609,0.138572
0.000,0.335776,0.011797,0.110299,0.000000,0.000000,0.268168,0.169035,0.031609,0.139772
0.000,0.279741,0.007713,0.105428,0.000000,0.000000,0.263918,0.173523,0.058429,0.139772
0.000,0.322845,0.006806,0.110647,0.000000,0.000000,0.270718,0.165295,0.042146,0.137373
0.000,0.321983,0.009074,0.107864,0.000000,0.000000,0.261793,0.173523,0.050766,0.139772
0.000,0.332328,0.007260,0.112039,0.000000,0.000000,0.273693,0.173523,0.050766,0.140372
0.000,0.000000,0.003630,0.105776,0.000000,0.000000,0.261793,0.178010,0.051724,0.140972
0.000,0.000000,0.003630,0.111343,0.000000,0.000000,0.263493,0.179506,0.054598,0.140372
0.000,0.000000,0.001815,0.107864,0.000000,0.000000,0.262643,0.175019,0.039272,0.138572
0.000,0.003448,0.004083,0.114127,0.000000,0.000000,0.268593,0.194465,0.035441,0.139772
0.000,0.000431,0.006352,0.105776,0.000000,0.000000,0.261368,0.181002,0.038314,0.139172
0.000,0.003448,0.006352,0.110995,0.000000,0.000000,0.260518,0.183246,0.038314,0.134973
0.000,0.000000,0.004991,0.092554,0.046502,0.000000,0.235019,0.154076,0.040230,0.122975
0.000,0.000000,0.000454,0.110647,0.000000,0.000000,0.262218,0.172027,0.036398,0.138572
0.000,0.000862,0.001361,0.107864,0.000000,0.000000,0.261793,0.178010,0.040230,0.136773
0.000,0.000000,0.003630,0.112039,0.000000,0.000000,0.266468,0.175019,0.044061,0.134973
0.000,0.000000,0.009074,0.105776,0.000000,0.000000,0.260518,0.171279,0.032567,0.138572
0.000,0.000000,0.005898,0.111343,0.000000,0.000000,0.269868,0.176515,0.036398,0.136773
