time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.002697,0.022703,0.000000,0.000488,0.095971,0.054795,0.017338,0.017241
0.000,0.000000,0.002942,0.005676,0.000000,0.000000,0.085226,0.032877,0.017848,0.005898
0.000,0.000000,0.011032,0.010811,0.018315,0.000000,0.091819,0.043836,0.011219,0.008167
0.000,0.000000,0.007355,0.000000,0.000000,0.000000,0.082295,0.042009,0.011729,0.000000
0.000,0.000000,0.010787,0.016757,0.000000,0.000000,0.094994,0.046119,0.014788,0.013612
0.000,0.000000,0.008090,0.013514,0.000000,0.000000,0.095726,0.065753,0.010709,0.018603
0.000,0.000000,0.011032,0.035405,0.000000,0.010501,0.108181,0.070776,0.013768,0.036751
0.000,0.000000,0.009071,0.036757,0.024664,0.000000,0.109402,0.078539,0.015808,0.043557
0.000,0.000000,0.011522,0.045946,0.000000,0.000000,0.118193,0.086301,0.015298,0.045826
0.000,0.000000,0.009561,0.043243,0.000000,0.001709,0.114042,0.080822,0.019888,0.043557
0.000,0.000000,0.010542,0.042973,0.000000,0.000000,0.112576,0.079452,0.012749,0.040381
0.000,0.000000,0.008826,0.021622,0.000000,0.000000,0.098657,0.054795,0.010199,0.019964
0.000,0.000000,0.013729,0.019459,0.000000,0.000000,0.099634,0.059361,0.011219,0.016334
0.000,0.000000,0.008581,0.005135,0.000000,0.000000,0.087668,0.042922,0.010709,0.009982
0.000,0.000000,0.009071,0.018378,0.000000,0.000000,0.101343,0.049315,0.014788,0.018603
0.000,0.000000,0.009806,0.011081,0.000244,0.000000,0.088645,0.046575,0.009689,0.012704
0.000,0.000000,0.010542,0.020541,0.000000,0.000000,0.107448,0.054795,0.012239,0.017241
0.000,0.000000,0.008581,0.021081,0.000000,0.000000,0.098413,0.059817,0.020908,0.028131
0.000,0.000000,0.010542,0.033514,0.000000,0.007570,0.107448,0.073973,0.015298,0.033575
0.000,0.000000,0.008581,0.035676,0.000000,0.000000,0.106716,0.078995,0.014788,0.036298
0.000,0.000000,0.009071,0.046757,0.000000,0.000000,0.119658,0.085845,0.016828,0.049909
0.000,0.000000,0.010051,0.050000,0.000000,0.000000,0.120879,0.088584,0.021418,0.057169
0.000,0.000000,0.008581,0.057568,0.000000,0.054457,0.123321,0.096347,0.014788,0.060799
0.000,0.000000,0.010051,0.060270,0.000000,0.000000,0.130891,0.109589,0.021418,0.073049
0.000,0.000000,0.013484,0.072703,0.000000,0.000000,0.146764,0.123288,0.025497,0.088475
0.000,0.000000,0.009561,0.072703,0.000000,0.000000,0.144322,0.115982,0.029577,0.091198
0.000,0.000000,0.016426,0.076216,0.000000,0.000000,0.145543,0.121461,0.019888,0.086207
0.000,0.000488,0.005884,0.071351,0.000000,0.000000,0.139927,0.129680,0.020398,0.088022
0.000,0.000000,0.010051,0.075676,0.000000,0.000000,0.146520,0.145205,0.022947,0.077586
0.000,0.000000,0.012503,0.056216,0.000000,0.009035,0.126984,0.109589,0.020908,0.062160
0.000,0.000000,0.012748,0.055405,0.000000,0.000000,0.123810,0.105023,0.026007,0.051270
0.000,0.000000,0.008090,0.033514,0.000000,0.000000,0.107204,0.000000,0.009179,0.032214
0.000,0.000000,0.009806,0.018919,0.000000,0.000000,0.097924,0.058447,0.005099,0.004537
0.000,0.000000,0.008581,0.017297,0.000000,0.000000,0.092552,0.065753,0.014788,0.007260
0.000,0.000000,0.020348,0.039459,0.021245,0.000000,0.110623,0.087671,0.015298,0.049456
0.000,0.000000,0.000000,0.451892,0.000000,0.000000,0.168010,0.086758,0.010709,0.357532
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.536996,1.000000,0.893932,0.922414
0.000,0.000000,0.009806,0.519459,0.014896,0.000000,0.179731,0.105023,0.004589,0.388838
0.000,0.994628,0.978671,1.000000,1.000000,1.000000,0.538217,0.985388,0.894442,0.997731
0.000,0.005372,0.010542,0.510270,0.006349,0.005861,0.182662,0.132420,0.025497,0.387024
0.000,0.986569,0.973523,1.000000,1.000000,0.920147,0.536996,0.994064,1.000000,0.887477
0.000,0.012210,0.028684,0.518649,0.014896,0.000000,0.185348,0.115525,0.014788,0.394737
0.000,0.998291,0.957097,1.000000,1.000000,0.997802,0.531380,0.982648,0.874044,0.995009
0.000,0.000000,0.014464,0.509730,0.021490,0.003907,0.179731,0.093151,0.000510,0.414247
0.000,1.000000,0.974994,1.000000,1.000000,1.000000,0.539927,0.983105,0.872514,1.000000
0.000,0.001221,0.017406,0.503243,0.001954,0.000000,0.000000,0.078539,0.000000,0.416062
0.000,1.000000,0.959059,1.000000,0.981441,1.000000,0.637118,0.977626,0.856196,0.999093
0.000,0.002930,0.014955,0.503243,0.014408,0.023932,0.076923,0.095434,0.012749,0.416062
0.000,1.000000,0.975484,1.000000,1.000000,0.949939,0.647619,0.993607,0.850076,0.994555
0.000,0.000000,0.014709,0.512432,0.014896,0.000000,0.074481,0.090411,0.011729,0.403358
0.000,1.000000,0.959059,1.000000,1.000000,1.000000,0.650549,0.977169,0.871494,0.882940
0.000,0.012943,0.017897,0.513784,0.000000,0.000000,0.023199,0.124201,0.011729,0.328494
0.000,1.000000,0.974994,1.000000,1.000000,1.000000,0.570208,0.964840,0.850076,0.882940
0.000,0.000000,0.008581,0.508108,0.006349,0.016850,0.029548,0.092694,0.005099,0.416062
0.000,1.000000,0.958813,1.000000,0.910379,0.991697,0.994383,0.978082,0.920449,0.999093
0.000,0.000000,0.015445,0.500541,0.019536,0.020757,0.038339,0.092237,0.012749,0.370236
0.000,1.000000,0.952194,1.000000,1.000000,0.987302,1.000000,0.971233,0.943906,0.864791
0.000,0.029304,0.019858,0.502162,0.004396,0.048107,0.042247,0.092237,0.009689,0.363884
0.000,1.000000,0.963471,1.000000,1.000000,0.967033,0.989744,0.961644,0.803162,0.945554
0.000,0.000000,0.009806,0.492432,0.037118,0.016850,0.018803,0.084932,0.007649,0.392468
0.000,0.983883,0.945330,1.000000,1.000000,0.978999,0.995116,0.939726,0.808261,0.862523
0.000,0.014896,0.015200,0.485946,0.003175,0.000000,0.085714,0.092237,0.005609,0.366606
0.000,0.981929,0.954401,1.000000,1.000000,0.990720,1.000000,0.953425,0.820500,0.860708
0.000,0.000000,0.006129,0.492162,0.005861,0.000000,0.019780,0.111872,0.007649,0.370236
0.000,1.000000,0.975975,1.000000,1.000000,0.987302,0.950916,0.959817,0.796022,0.962341
0.000,0.010501,0.013484,0.493514,0.020513,0.006838,0.011477,0.086758,0.008669,0.367060
0.000,0.959951,0.941162,1.000000,0.974603,1.000000,0.951160,0.957534,0.804182,0.994555
0.000,0.021490,0.023290,0.505946,0.017827,0.008059,0.030525,0.094521,0.009689,0.402450
0.000,0.990720,0.959794,1.000000,1.000000,1.000000,0.932112,0.965297,0.800612,0.970962
