time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.037851,0.000000,0.045477,0.037851,0.042979,0.086043,0.075094,0.031447,0.066724
0.000,0.000000,0.000000,0.032130,0.000000,0.027595,0.057494,0.050943,0.009434,0.026518
0.000,0.034188,0.000000,0.044488,0.055433,0.063248,0.085646,0.078113,0.035639,0.062447
0.000,0.000000,0.000000,0.036826,0.006349,0.016361,0.067803,0.036226,0.007862,0.029512
0.000,0.041270,0.000000,0.043253,0.064713,0.052747,0.086836,0.076604,0.030398,0.065013
0.000,0.009280,0.000000,0.037321,0.000000,0.000000,0.059873,0.038868,0.011530,0.027374
0.000,0.062271,0.000000,0.045477,0.075458,0.000000,0.092387,0.087170,0.035639,0.068435
0.000,0.000000,0.000000,0.037568,0.017338,0.000488,0.073354,0.043774,0.006289,0.032079
0.000,0.073016,0.000000,0.051409,0.069109,0.073504,0.097938,0.085283,0.040881,0.076133
0.000,0.000000,0.000000,0.018537,0.052503,0.030037,0.038462,0.024906,0.012579,0.011976
0.000,0.017338,0.000000,0.019525,0.013431,0.024420,0.045599,0.028302,0.012055,0.026946
0.000,0.014652,0.000000,0.000000,0.000000,0.000000,0.012292,0.000000,0.003669,0.000000
0.000,0.227839,0.056899,0.087741,0.228327,0.227839,0.149485,0.175849,0.059748,0.105646
0.000,0.000000,0.000000,0.055363,0.012454,0.034432,0.095559,0.070943,0.009434,0.073567
0.000,0.068864,0.000000,0.059318,0.064225,0.055922,0.114592,0.100377,0.042453,0.090248
0.000,0.006105,0.000000,0.052892,0.000000,0.045177,0.076130,0.073208,0.007862,0.052181
0.000,1.000000,0.770940,0.268660,0.926252,1.000000,0.436558,0.616981,0.273585,0.238666
0.000,0.011722,0.000000,0.633218,0.013431,0.003907,0.420301,0.186415,0.291929,0.576133
0.000,0.342125,0.193651,0.327731,0.382173,0.399023,0.206582,0.260755,0.071279,0.115483
0.000,0.000000,0.000000,0.136925,0.016850,0.000000,0.146312,0.090189,0.008386,0.106074
0.000,0.000000,0.000000,0.036085,0.000000,0.000000,0.070975,0.046792,0.023061,0.051326
0.000,0.000000,0.000000,0.033861,0.000000,0.007326,0.064631,0.047547,0.017820,0.052181
0.000,0.000000,0.000000,0.038557,0.000000,0.000000,0.070579,0.054340,0.018344,0.049615
0.000,0.000000,0.000000,0.013841,0.000000,0.000000,0.031721,0.015849,0.000000,0.011121
