time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.553881,0.521327,0.702770,0.588197,0.650305,0.579929,0.498696,0.116477,0.554661
0.000,0.683590,0.727488,0.906941,0.683482,0.716231,0.645545,0.831160,0.748106,0.972957
0.000,0.513921,0.502370,0.713974,0.579294,0.655321,0.570280,0.569752,0.115530,0.579402
0.000,0.705536,0.735951,0.910364,0.670953,0.721963,0.665487,0.833116,0.754735,0.976985
0.000,0.492630,0.484766,0.704637,0.562809,0.605876,0.558701,0.486310,0.107008,0.562716
0.000,0.727481,0.754909,0.920635,0.695351,0.742028,0.629784,0.842243,0.750000,0.965478
0.000,0.488700,0.483412,0.689076,0.547643,0.634898,0.563847,0.483051,0.106061,0.566168
0.000,0.730429,0.759309,0.913788,0.706891,0.746327,0.665487,0.844198,0.861742,0.976410
0.000,0.492630,0.461070,0.687208,0.535114,0.593694,0.514957,0.490222,0.093750,0.556387
0.000,0.727481,0.766757,0.920946,0.704913,0.764242,0.644902,0.812256,0.758523,0.898734
0.000,0.464134,0.453284,0.692188,0.535114,0.579362,0.516886,0.483051,0.107955,0.559839
0.000,0.753685,0.781652,0.924370,0.720409,0.771408,0.672242,0.885267,0.744318,0.978136
0.000,0.614805,0.442451,0.699658,0.514013,0.572196,0.517530,0.490222,0.115530,0.565017
0.000,0.705536,0.772512,0.928727,0.717112,0.739162,0.692506,0.859192,0.846591,0.905639
0.000,0.485752,0.436696,0.705260,0.522585,0.564672,0.527822,0.478488,0.107955,0.521289
0.000,0.740255,0.784699,0.930594,0.667656,0.754568,0.672564,0.904824,0.775568,0.905063
0.000,0.484442,0.458700,0.707127,0.530168,0.600143,0.562560,0.498044,0.113636,0.574223
0.000,0.781854,0.824306,0.939309,0.822948,0.808671,0.706980,0.902216,0.948864,0.988493
0.000,0.433999,0.413676,0.696857,0.503792,0.561089,0.511097,0.468057,0.093750,0.542002
0.000,0.790370,0.843263,0.945534,0.776459,0.817986,0.743326,0.903520,0.799242,0.991945
0.000,0.421553,0.392349,0.689076,0.490603,0.502329,0.484078,0.459583,0.106061,0.579977
0.000,0.788732,0.838186,0.945223,0.761952,0.806879,0.716307,0.908083,0.795455,0.904488
0.000,0.449722,0.425186,0.692188,0.512694,0.560373,0.525571,0.491525,0.099432,0.533947
0.000,0.805765,0.855789,0.947712,0.783053,0.828377,0.724027,0.901565,0.772727,0.969505
0.000,0.378972,0.363575,0.684096,0.442796,0.515228,0.464458,0.441330,0.098485,0.583429
0.000,0.787750,0.843602,0.951758,0.856248,0.833035,0.733676,0.908735,0.784091,0.805524
0.000,0.372093,0.354773,0.687519,0.439499,0.513078,0.432615,0.436767,0.101326,0.535673
0.000,0.822470,0.870684,0.962652,0.786350,0.864923,0.789643,0.938722,0.828598,1.000000
0.000,0.361939,0.343263,0.678182,0.426311,0.510211,0.428755,0.431551,0.100379,0.530495
0.000,0.852604,0.890318,0.966698,0.799209,0.848441,0.754905,0.941982,0.814394,0.988493
0.000,0.354078,0.334123,0.680984,0.425981,0.491580,0.477002,0.430248,0.098485,0.577675
