time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.023687,0.042762,0.049515,0.029548,0.009280,0.013187,0.077089,0.032895,0.060953
0.000,0.000000,0.014991,0.047473,0.000000,0.000000,0.000000,0.058140,0.028708,0.052246
0.000,0.064713,0.081101,0.068402,0.102808,0.107448,0.061050,0.106374,0.045455,0.080660
0.000,0.005617,0.022364,0.069168,0.019292,0.000000,0.000000,0.095607,0.027512,0.099908
0.000,0.175580,0.139838,0.101838,0.153602,0.147497,0.173626,0.180879,0.056220,0.108158
0.000,0.000000,0.016466,0.120725,0.000000,0.000000,0.004151,0.159776,0.038278,0.166819
0.000,0.000000,0.020398,0.063808,0.000488,0.000000,0.000000,0.099914,0.042464,0.085243
0.000,0.000000,0.023347,0.065850,0.003419,0.000000,0.000488,0.099053,0.022727,0.086159
0.000,0.116484,0.118211,0.080398,0.055433,0.057387,0.046154,0.103359,0.043062,0.071952
0.000,0.000000,0.022856,0.091373,0.000000,0.000000,0.028571,0.114556,0.023923,0.108616
0.000,0.000000,0.016957,0.105156,0.000000,0.000000,0.000000,0.155900,0.040072,0.160403
0.000,0.000000,0.015237,0.059724,0.000000,0.000000,0.000000,0.074074,0.013756,0.054995
0.000,0.000000,0.018432,0.068147,0.000000,0.000244,0.000000,0.105082,0.041866,0.095325
0.000,0.000000,0.017941,0.084737,0.000000,0.000000,0.000000,0.114556,0.041866,0.130614
0.000,0.010501,0.051364,0.059980,0.018803,0.026374,0.025885,0.099053,0.032297,0.074702
0.000,0.022222,0.030229,0.064063,0.000000,0.004151,0.000000,0.074935,0.018541,0.077452
0.000,0.021245,0.045957,0.091628,0.028327,0.000000,0.016850,0.136090,0.047249,0.119615
0.000,0.000000,0.020398,0.043134,0.000000,0.002686,0.000000,0.055986,0.014952,0.043080
0.000,0.032967,0.032932,0.038795,0.013675,0.000000,0.006105,0.058570,0.025718,0.046746
0.000,0.000000,0.017203,0.041858,0.000000,0.005128,0.000000,0.047804,0.015550,0.043996
0.000,0.000000,0.016220,0.069423,0.000000,0.000000,0.000000,0.091301,0.041268,0.116407
0.000,0.000733,0.011551,0.049770,0.000000,0.020269,0.004640,0.058570,0.015550,0.048121
0.000,0.000000,0.019661,0.057938,0.000000,0.000000,0.000000,0.082687,0.028110,0.075619
0.000,0.000000,0.017449,0.083716,0.000000,0.000000,0.001954,0.121447,0.047249,0.133364
