time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.960928,1.000000,0.970109,1.000000,1.000000,1.000000,1.000000,0.577700,0.769060
0.000,0.000000,0.031754,0.703759,0.000000,0.000000,0.000000,0.299678,0.322212,0.828047
0.000,0.925031,1.000000,0.941995,1.000000,1.000000,1.000000,0.957573,0.531168,0.711185
0.000,0.000000,0.029521,0.695768,0.000000,0.004884,0.010012,0.292696,0.294118,0.771842
0.000,1.000000,1.000000,0.918023,1.000000,1.000000,1.000000,0.968851,0.490781,0.707846
0.000,0.005617,0.033490,0.706422,0.000000,0.000000,0.000000,0.261010,0.318701,0.781302
0.000,1.000000,1.000000,0.926014,1.000000,1.000000,1.000000,0.967777,0.482002,0.708403
0.000,0.087668,0.047383,0.712045,0.009524,0.054457,0.010989,0.282492,0.494293,0.837507
0.000,1.000000,1.000000,0.901450,1.000000,1.000000,1.000000,0.955961,0.452151,0.723984
0.000,0.000000,0.034483,0.696064,0.019292,0.038584,0.002686,0.270677,0.311677,0.854201
0.000,1.000000,1.000000,0.899083,1.000000,1.000000,1.000000,0.930183,0.368745,0.696160
0.000,0.000488,0.042917,0.709973,0.000000,0.000000,0.000000,0.287325,0.343284,0.864775
0.000,0.994139,0.987596,0.881622,0.989744,1.000000,1.000000,0.909774,0.418788,0.656093
0.000,0.000000,0.038948,0.706126,0.001954,0.000000,0.006349,0.281955,0.355575,0.797440
0.000,1.000000,1.000000,0.870968,1.000000,1.000000,1.000000,0.899033,0.364355,0.636617
0.000,0.000000,0.049367,0.692513,0.021245,0.000000,0.000000,0.275510,0.346795,0.847524
0.000,1.000000,0.997271,0.873927,1.000000,1.000000,1.000000,0.881847,0.341528,0.668336
0.000,0.013675,0.059787,0.709677,0.000000,0.000000,0.000000,0.277121,0.347673,0.868670
0.000,1.000000,0.974944,0.861202,1.000000,1.000000,0.905739,0.871643,0.316067,0.643294
0.000,0.000000,0.064748,0.713229,0.000000,0.014896,0.000000,0.309882,0.371378,0.875348
0.000,1.000000,0.969983,0.842261,1.000000,1.000000,1.000000,0.846402,0.318701,0.642738
0.000,0.000000,0.069710,0.715892,0.010012,0.000000,0.000000,0.286788,0.509219,0.874235
0.000,1.000000,0.949640,0.838710,1.000000,1.000000,1.000000,0.866273,0.278314,0.612131
0.000,0.002686,0.078144,0.712637,0.000000,0.014164,0.002442,0.288400,0.355575,0.742905
0.000,1.000000,0.936740,0.825096,1.000000,1.000000,1.000000,0.868958,0.255487,0.439065
0.000,0.019536,0.099975,0.709381,0.017338,0.008303,0.000000,0.289474,0.496049,0.778520
0.000,0.979731,0.911188,0.812666,1.000000,1.000000,1.000000,0.772288,0.206321,0.515860
0.000,0.030769,0.104441,0.712341,0.000000,0.000000,0.000488,0.283029,0.355575,0.777407
0.000,1.000000,0.906723,0.811779,1.000000,1.000000,1.000000,0.817401,0.200176,0.393990
0.000,0.033944,0.120566,0.729210,0.020024,0.012454,0.006105,0.297530,0.380158,0.686144
0.000,0.963126,0.840238,0.807635,0.997558,0.999512,0.970452,0.832438,0.224759,0.442960
0.000,0.052747,0.140908,0.727434,0.001709,0.026129,0.013675,0.305585,0.414399,0.784641
0.000,0.993162,0.856363,0.794318,1.000000,1.000000,1.000000,0.816864,0.178227,0.494713
0.000,0.081074,0.152071,0.733649,0.049573,0.000000,0.052015,0.359291,0.422300,0.784085
0.000,1.000000,0.875961,0.591003,0.998535,1.000000,0.227839,0.659506,0.207199,0.187535
0.000,0.106227,0.184570,0.743415,0.042979,0.051038,0.323321,0.404941,0.433714,0.792988
0.000,0.479121,0.379310,0.706422,0.512576,0.532601,0.559707,0.538131,0.092186,0.528102
0.000,0.005372,0.012652,0.543060,0.008547,0.009768,0.006105,0.163802,0.034241,0.374513
0.000,0.580464,0.758125,0.809115,1.000000,0.991209,1.000000,0.752417,0.154522,0.557040
0.000,0.022222,0.007690,0.510210,0.013919,0.001954,0.033211,0.139098,0.010536,0.333890
0.000,0.898901,0.782684,0.780112,0.980952,0.971429,0.982906,0.748120,0.164179,0.474680
0.000,0.154823,0.211362,0.749926,0.084737,0.123321,0.097924,0.461869,0.621598,0.803005
0.000,0.000000,0.005706,0.538621,0.001465,0.000000,0.000000,0.180988,0.043020,0.387869
0.000,0.003907,0.013148,0.268719,0.000000,0.000000,0.000000,0.111708,0.002634,0.087368
0.000,0.018071,0.033490,0.339450,0.030525,0.033455,0.031013,0.114930,0.046532,0.090707
0.000,0.000000,0.003721,0.073099,0.002198,0.036630,0.003907,0.094522,0.011414,0.069004
0.000,0.056899,0.071198,0.034330,0.070330,0.066178,0.054701,0.057465,0.049166,0.056761
0.000,0.000000,0.003969,0.045576,0.000000,0.000000,0.000000,0.086466,0.011414,0.082916
0.000,0.726007,0.668321,0.765611,0.815873,0.807570,0.834432,0.666488,0.136962,0.489149
0.000,0.000000,0.008683,0.545132,0.000000,0.000000,0.000000,0.195489,0.020193,0.322204
0.000,0.727473,0.646242,0.745191,0.748474,0.755311,0.767766,0.640172,0.127305,0.360045
0.000,0.000000,0.003473,0.277597,0.005861,0.002686,0.002930,0.069817,0.012291,0.082916
0.000,0.244200,0.239395,0.094703,0.247863,0.282540,0.255678,0.196026,0.067603,0.072899
0.000,0.004396,0.039940,0.051790,0.039316,0.020024,0.024664,0.098818,0.009658,0.104619
0.000,0.539438,0.539816,0.412548,0.572405,0.581441,0.582173,0.407089,0.091308,0.157485
0.000,0.225885,0.273133,0.779817,0.194139,0.189499,0.188278,0.526853,0.474978,0.813022
0.000,0.606838,0.565865,0.728914,0.645421,0.678877,0.683028,0.582170,0.127305,0.531441
0.000,0.279121,0.307864,0.791950,0.201465,0.244933,0.217582,0.555317,0.504829,0.902615
0.000,0.632479,0.586207,0.752294,0.700122,0.739438,0.668376,0.617078,0.132572,0.574847
0.000,0.283028,0.324237,0.790175,0.267399,0.240049,0.241514,0.542965,0.484636,0.843628
0.000,0.643956,0.597370,0.817402,0.691331,0.704274,0.728449,0.728249,0.143108,0.493600
0.000,0.000000,0.002729,0.443326,0.000000,0.000000,0.000000,0.195489,0.041264,0.180301
0.000,0.001465,0.008683,0.192661,0.003907,0.000000,0.000000,0.098818,0.014925,0.015025
0.000,0.003907,0.020590,0.059189,0.000000,0.017094,0.000000,0.107411,0.018437,0.097385
0.000,0.458120,0.435872,0.127257,0.439560,0.465690,0.442247,0.286788,0.086918,0.085142
0.000,0.003907,0.025552,0.040249,0.008059,0.007082,0.020757,0.090763,0.014925,0.101836
0.000,0.102320,0.109154,0.052086,0.130891,0.117949,0.118437,0.113856,0.053556,0.067334
0.000,0.019780,0.022575,0.044984,0.025641,0.015385,0.012698,0.103652,0.011414,0.105175
0.000,0.405128,0.393203,0.116898,0.307937,0.426862,0.421490,0.282492,0.069359,0.084029
0.000,0.013919,0.020590,0.038769,0.000000,0.006105,0.020269,0.077873,0.014925,0.101836
0.000,0.530891,0.486976,0.146789,0.571184,0.568498,0.592186,0.378625,0.100966,0.092933
0.000,0.326252,0.380799,0.593667,0.337729,0.321368,0.323810,0.564447,0.532924,0.792988
0.000,0.540415,0.508063,0.168097,0.601465,0.589011,0.601709,0.367347,0.119403,0.084585
0.000,0.000000,0.003721,0.513761,0.011233,0.002686,0.000000,0.138024,0.013169,0.279911
0.000,0.494505,0.461672,0.261616,0.531136,0.564591,0.591697,0.374866,0.109745,0.091820
0.000,0.075458,0.110891,0.560817,0.053968,0.054701,0.023199,0.238453,0.009658,0.420145
0.000,0.509158,0.445795,0.263392,0.521368,0.541880,0.538462,0.327068,0.100966,0.089037
0.000,0.000000,0.002729,0.448358,0.000000,0.000000,0.000000,0.060150,0.000878,0.171397
0.000,0.000000,0.003721,0.278485,0.000977,0.000000,0.000000,0.181525,0.041264,0.279911
0.000,0.000000,0.004713,0.189405,0.003907,0.000000,0.000000,0.197637,0.042142,0.173623
0.000,0.000000,0.003473,0.143238,0.000000,0.000000,0.005861,0.200859,0.057068,0.171953
0.000,0.000000,0.005706,0.135543,0.000244,0.000000,0.000000,0.204082,0.039508,0.169727
0.044,0.452259,0.409080,0.142054,0.498168,0.487179,0.513065,0.356606,0.111501,0.077908
0.094,0.002930,0.013644,0.657887,0.000000,0.005128,0.002198,0.284103,0.059701,0.641625
0.144,0.433944,0.406103,0.312814,0.479365,0.498901,0.487912,0.336735,0.115013,0.084029
0.194,0.461294,0.498884,0.870672,0.470574,0.452503,0.457875,0.687970,0.635645,0.873122
0.244,0.428083,0.388241,0.694288,0.459341,0.417582,0.474969,0.451665,0.099210,0.530328
0.294,0.000000,0.003225,0.318141,0.000000,0.000000,0.000000,0.022019,0.006146,0.022259
0.344,0.415140,0.380799,0.694880,0.461050,0.462271,0.456410,0.485499,0.109745,0.534224
0.394,0.494994,0.518234,0.876295,0.489377,0.474725,0.458120,0.703008,0.665496,0.882026
0.444,0.000000,0.004713,0.578869,0.000000,0.000000,0.000000,0.228786,0.039508,0.486923
0.494,0.000000,0.004217,0.403078,0.001465,0.000000,0.000000,0.194952,0.051800,0.190874
0.544,0.107204,0.109898,0.093519,0.076190,0.101832,0.091331,0.110097,0.042142,0.052866
0.594,0.012698,0.013892,0.056230,0.012698,0.002442,0.003907,0.079484,0.016681,0.110184
0.644,0.000000,0.005954,0.009174,0.005617,0.000000,0.085714,0.009130,0.000878,0.009460
0.694,0.000000,0.002233,0.003551,0.000000,0.000000,0.004396,0.000000,0.002634,0.002782
0.744,0.000000,0.005706,0.092335,0.000000,0.000000,0.000000,0.156821,0.055312,0.158041
0.794,0.000000,0.004713,0.122521,0.000000,0.000000,0.000977,0.201933,0.049166,0.162493
0.844,0.078877,0.090548,0.046463,0.099634,0.099389,0.090842,0.107411,0.049166,0.046745
0.894,0.000000,0.000000,0.058301,0.000000,0.000000,0.000000,0.100967,0.011414,0.095159
0.944,0.091575,0.100968,0.047943,0.107204,0.092796,0.104274,0.102041,0.048288,0.048971
0.994,0.000000,0.003969,0.012430,0.000000,0.000000,0.014896,0.021482,0.013169,0.006121
1.044,0.000000,0.005706,0.000000,0.000733,0.000000,0.000000,0.005371,0.002634,0.000000
1.094,0.000000,0.002729,0.013022,0.000000,0.005372,0.032479,0.015038,0.000000,0.005008
1.144,0.214896,0.212106,0.072211,0.244933,0.244444,0.240049,0.172395,0.072871,0.058431
1.194,0.000000,0.009675,0.050903,0.035165,0.016117,0.018559,0.088077,0.015803,0.084029
1.244,0.301099,0.280576,0.087304,0.365079,0.380220,0.378755,0.254565,0.097454,0.068447
1.294,0.621245,0.631357,0.915064,0.583639,0.618559,0.572161,0.795918,0.887621,0.904285
1.344,0.289377,0.261970,0.666469,0.329182,0.351404,0.342125,0.401719,0.097454,0.518086
1.394,0.605372,0.628132,0.918615,0.557509,0.552137,0.550183,0.786251,0.940299,0.903728
1.444,0.308669,0.270652,0.666469,0.350916,0.361661,0.376801,0.409237,0.096576,0.418475
1.494,0.621001,0.636815,0.926310,0.604396,0.565812,0.562637,0.778733,0.792801,0.903728
1.544,0.262027,0.231456,0.657591,0.301832,0.306716,0.331868,0.378625,0.083406,0.529215
1.594,0.717460,0.727115,0.971885,0.676679,0.683761,0.661538,0.839420,0.935031,0.911519
1.644,0.243468,0.229968,0.652856,0.288400,0.318437,0.314042,0.383459,0.093942,0.449638
1.694,0.606838,0.631853,0.932228,0.575092,0.576801,0.552625,0.794844,0.935031,0.835281
1.744,0.248352,0.217316,0.659071,0.223932,0.298657,0.319658,0.397959,0.083406,0.528102
1.794,0.589744,0.655172,0.945842,0.615140,0.597558,0.568742,0.799141,0.768218,0.988870
1.844,0.220757,0.203672,0.641018,0.254457,0.315263,0.297680,0.365199,0.086040,0.562604
1.894,0.674969,0.697346,0.958272,0.653236,0.631990,0.627839,0.844253,0.762950,0.981636
1.944,0.227839,0.199454,0.655815,0.229792,0.276679,0.324054,0.367347,0.088674,0.573734
1.994,0.654701,0.681469,0.954720,0.631013,0.658120,0.591941,0.819549,0.765584,0.912632
2.044,0.202442,0.180352,0.650784,0.250061,0.256654,0.259341,0.366273,0.084284,0.536450
2.094,0.669353,0.694617,0.955016,0.654457,0.626862,0.623199,0.837272,0.793679,0.988314
