time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.031345,0.012036,0.000000,0.000000,0.124418,0.025600,0.016166,0.012436
0.000,0.000000,0.147624,0.070211,0.000000,0.030142,0.204258,0.103200,0.035412,0.095830
0.000,0.000000,0.030334,0.006018,0.000000,0.000000,0.117764,0.000000,0.013857,0.000000
0.000,0.000000,0.054601,0.046640,0.000000,0.000000,0.176314,0.066400,0.041570,0.051939
0.000,0.110465,0.040445,0.034604,0.078324,0.000000,0.149701,0.056000,0.015396,0.025604
0.000,0.000000,0.066734,0.037111,0.000000,0.000000,0.163007,0.055200,0.021555,0.032187
0.000,0.000000,0.046512,0.145436,0.000000,0.000000,0.316700,0.211200,0.064665,0.215069
0.000,0.000000,0.051567,0.225176,0.000000,0.000000,0.409847,0.299200,0.064665,0.260424
0.000,0.000000,0.041456,0.229689,0.000000,0.000000,0.409847,0.305600,0.053118,0.256035
0.000,0.000000,0.047523,0.235707,0.000000,0.000000,0.408516,0.300800,0.045420,0.242136
0.000,0.000000,0.037412,0.216650,0.000000,0.000000,0.363273,0.276800,0.049269,0.220190
0.000,0.000000,0.046512,0.226680,0.000000,0.000000,0.367931,0.284800,0.049269,0.216533
0.000,0.000000,0.041456,0.214644,0.000000,0.000000,0.354624,0.267200,0.050038,0.209949
0.000,0.000000,0.047523,0.213641,0.000000,0.000000,0.365269,0.273600,0.046189,0.214338
0.000,0.000000,0.046512,0.211133,0.000000,0.000000,0.354624,0.276800,0.060046,0.209217
0.000,0.000000,0.048534,0.203611,0.000000,0.000000,0.337325,0.252000,0.044650,0.185077
0.000,0.000000,0.036400,0.152457,0.000000,0.000000,0.287425,0.200000,0.037721,0.144111
0.000,0.000000,0.041456,0.024072,0.000000,0.000000,0.137725,0.046400,0.029253,0.021214
0.000,0.000000,0.040445,0.199599,0.000000,0.000000,0.369261,0.268000,0.050038,0.245062
0.000,0.000000,0.053589,0.233701,0.000000,0.000000,0.414504,0.315200,0.055427,0.258961
0.000,0.000000,0.041456,0.228686,0.000000,0.000000,0.407851,0.308800,0.055427,0.255304
0.000,0.000000,0.044489,0.239719,0.000000,0.000000,0.423819,0.318400,0.050808,0.260424
0.000,0.000000,0.033367,0.222668,0.000000,0.000000,0.410512,0.308000,0.047729,0.256767
0.000,0.000000,0.068756,0.071214,0.000000,0.000000,0.185629,0.112800,0.013857,0.038771
0.000,0.000000,0.038423,0.008024,0.014572,0.000000,0.117764,0.040000,0.030023,0.022677
0.000,0.038760,0.045501,0.110331,0.000000,0.000000,0.230872,0.144000,0.036952,0.102414
0.000,0.000000,0.050556,0.135406,0.000000,0.000000,0.262808,0.169600,0.053888,0.137527
0.000,0.000000,0.048534,0.213641,0.000000,0.000000,0.365269,0.268000,0.047729,0.221653
0.000,0.000000,0.048534,0.222668,0.000000,0.000000,0.375915,0.289600,0.057737,0.239941
0.000,0.000000,0.056623,0.212638,0.000000,0.000000,0.359947,0.273600,0.063125,0.205560
0.000,0.000000,0.040445,0.135908,0.000000,0.000000,0.270792,0.191200,0.041570,0.161668
0.000,0.000000,0.042467,0.220160,0.000000,0.000000,0.398536,0.315200,0.055427,0.251646
0.000,0.000000,0.032356,0.118857,0.000000,0.000000,0.237525,0.179200,0.050808,0.122897
0.000,0.000000,0.031345,0.183049,0.000000,0.000000,0.330007,0.261600,0.044650,0.183614
0.000,0.001938,0.026289,0.047141,0.000000,0.000000,0.144378,0.054400,0.013087,0.011704
0.000,0.038760,0.049545,0.050652,0.132969,0.000000,0.158350,0.126400,0.016166,0.029993
0.000,0.000000,0.034378,0.088766,0.029144,0.000000,0.241517,0.147200,0.059276,0.155816
0.000,0.000000,0.032356,0.138917,0.000000,0.000000,0.272788,0.175200,0.029253,0.113387
0.000,0.000000,0.025278,0.037111,0.021858,0.000000,0.151031,0.043200,0.018476,0.035845
0.000,0.056202,0.093023,0.082748,0.395264,0.040780,0.216900,0.127200,0.029253,0.081200
0.000,0.000000,0.020222,0.042628,0.012750,0.037234,0.159681,0.069600,0.017706,0.038771
0.000,0.606589,0.319515,0.118857,0.526412,0.515957,0.258150,0.184800,0.050808,0.137527
0.000,0.000000,0.020222,0.030592,0.000000,0.065603,0.140386,0.033600,0.000000,0.015362
0.000,0.141473,0.208291,0.064193,0.326047,0.505319,0.180306,0.144000,0.041570,0.082663
0.000,0.000000,0.030334,0.157974,0.000000,0.000000,0.302728,0.228800,0.050808,0.192392
0.000,0.000000,0.033367,0.147442,0.000000,0.021277,0.274784,0.216800,0.041570,0.137527
0.000,0.050388,0.024267,0.056169,0.000000,0.000000,0.168330,0.094400,0.035412,0.063643
0.000,0.000000,0.031345,0.137412,0.000000,0.000000,0.270126,0.208000,0.055427,0.160936
0.000,0.000000,0.028311,0.165998,0.001821,0.000000,0.314039,0.240800,0.053118,0.197513
0.000,0.000000,0.026289,0.227683,0.000000,0.000000,0.405190,0.335200,0.059276,0.255304
0.000,0.000000,0.028311,0.230692,0.000000,0.000000,0.407186,0.344000,0.063125,0.257498
0.000,0.000000,0.032356,0.239218,0.000000,0.000000,0.414504,0.332800,0.050808,0.245794
0.000,0.000000,0.020222,0.212638,0.000000,0.000000,0.365269,0.304000,0.044650,0.211412
0.000,0.310078,0.135490,0.152457,0.386157,0.260638,0.286760,0.232000,0.046189,0.125091
0.000,0.000000,0.016178,0.064193,0.000000,0.000000,0.180306,0.105600,0.023095,0.081931
0.000,0.184109,0.913043,0.744233,0.615665,0.817376,1.000000,1.000000,1.000000,1.000000
0.000,0.000000,0.009100,0.783350,0.000000,0.000000,0.366600,0.261600,0.034642,0.213606
0.000,0.000000,1.000000,1.000000,0.173042,0.218085,0.093812,0.501600,0.030793,0.435260
0.000,0.145349,0.033367,0.554162,0.384335,0.099291,0.116434,0.161600,0.006159,0.089978
0.000,0.970930,0.489383,0.441324,0.981785,0.847518,0.350632,0.318400,0.053888,0.262619
0.000,0.000000,0.002022,0.019057,0.000000,0.000000,0.003992,0.067200,0.015396,0.031456
