time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.000000,0.002712,0.002926,0.005647,0.000000,0.000000,0.005159,0.004058
0.000,0.109479,0.000000,0.007119,0.106649,0.119867,0.088849,0.101594,0.061909,0.040000
0.000,0.009146,0.000000,0.000000,0.000000,0.005133,0.010044,0.047809,0.000000,0.000000
0.000,0.114191,0.000000,0.008475,0.101330,0.088552,0.097090,0.098938,0.061909,0.040000
0.000,0.000000,0.000000,0.001695,0.012500,0.028491,0.026011,0.023904,0.010318,0.009275
0.000,0.100055,0.000000,0.015254,0.118085,0.122947,0.109709,0.102258,0.065348,0.046377
0.000,0.016353,0.000000,0.011186,0.041223,0.003080,0.000000,0.025232,0.018917,0.019130
0.000,0.104490,0.000000,0.017627,0.119415,0.093686,0.125934,0.110890,0.067068,0.048116
0.000,0.003326,0.000000,0.015593,0.002128,0.008727,0.011847,0.045153,0.008598,0.031884
0.000,0.170455,0.051315,0.037966,0.156649,0.148614,0.135720,0.175299,0.066208,0.059710
0.000,0.000000,0.000000,0.026780,0.018883,0.005133,0.006438,0.054449,0.023216,0.059130
0.000,1.000000,0.914047,0.690508,0.995213,0.978696,1.000000,1.000000,0.179708,0.441739
0.000,0.000000,0.000000,0.138305,0.000000,0.000000,0.000000,0.073041,0.037833,0.051594
0.000,0.000000,0.000000,0.064068,0.000000,0.000000,0.000000,0.090305,0.048151,0.059710
0.000,0.188193,0.096216,0.851525,0.171277,0.153747,0.147566,0.490040,0.426483,0.910145
0.000,0.978659,0.918538,0.880339,0.963564,0.933265,0.983518,0.982736,0.173689,0.549565
0.000,0.212029,0.143682,0.853220,0.164894,0.161448,0.127479,0.475432,0.428203,0.917101
0.000,0.266907,0.205260,0.711525,0.278723,0.276437,0.287664,0.399070,0.080825,0.493913
0.000,0.206208,0.211674,0.833559,0.148138,0.137320,0.118208,0.476096,0.449699,0.817971
0.000,0.000000,0.013791,0.643729,0.000000,0.000000,0.000000,0.157371,0.031814,0.412754
0.000,0.000000,0.000000,0.251186,0.004255,0.000000,0.007726,0.116866,0.067068,0.116522
0.000,0.000000,0.000000,0.248814,0.000000,0.000000,0.038372,0.090305,0.046432,0.100870
0.000,0.206208,0.224182,0.279322,0.143883,0.126283,0.140355,0.394422,0.060189,0.281159
0.000,0.909645,0.990058,0.932881,0.954521,0.914528,0.942313,0.950863,0.174549,0.571014
0.000,0.209812,0.251764,0.857288,0.166223,0.145021,0.125418,0.617530,0.522786,0.859710
0.000,0.915743,0.992944,0.915932,0.887500,1.000000,0.943343,0.937583,0.171969,0.485217
0.000,0.222838,0.265876,0.857627,0.189628,0.170175,0.114087,0.585657,0.466036,0.860870
0.000,0.928215,1.000000,0.904746,0.944415,0.917608,0.966521,0.926959,0.171969,0.557101
0.000,0.228104,0.262668,0.870169,0.167819,0.146304,0.149112,0.565737,0.464316,0.865507
0.000,0.911031,0.970173,0.906102,0.917021,0.901181,0.928921,0.928287,0.163371,0.570435
0.000,0.223947,0.270686,0.867458,0.171543,0.161448,0.145506,0.569721,0.472915,0.860870
0.000,0.878880,0.954458,0.895254,0.919947,0.917608,0.924800,0.923639,0.171969,0.560000
0.000,0.250277,0.315587,0.870169,0.202128,0.182495,0.167396,0.610890,0.472915,0.940290
0.000,0.881929,0.939384,0.890508,0.903989,0.848306,0.927376,0.907039,0.180567,0.604638
0.000,0.231430,0.297627,0.864068,0.213298,0.179415,0.138295,0.604250,0.490112,0.940290
0.000,0.868902,0.927838,0.885424,0.892819,0.852156,0.929436,0.990704,0.174549,0.610435
0.000,0.222561,0.311738,0.873559,0.178191,0.183522,0.159413,0.585657,0.539983,0.943768
0.000,0.881652,0.933932,0.883729,0.947606,0.873717,0.910379,0.920319,0.171969,0.595942
0.000,0.242794,0.314625,0.877627,0.184309,0.182495,0.210147,0.589641,0.477214,0.939710
0.000,0.836752,0.923028,0.888136,1.000000,0.860113,0.836209,0.908367,0.182287,0.601159
0.000,0.243071,0.315266,0.876610,0.191755,0.184035,0.165079,0.596946,0.502150,0.942029
0.000,0.842849,0.911802,0.871525,0.866755,0.853439,0.900592,0.877822,0.171969,0.586087
0.000,0.244734,0.324888,0.877627,0.203191,0.171715,0.159670,0.575033,0.463457,0.864928
0.000,0.805710,0.903143,0.877627,0.870479,0.849846,0.891836,0.883134,0.173689,0.550145
0.000,0.256375,0.323284,0.872881,0.209574,0.196099,0.176152,0.618858,0.576096,0.864928
0.000,0.790188,0.909237,0.866780,0.878723,0.844199,0.884110,0.883134,0.170249,0.540290
0.000,0.265798,0.324888,0.879322,0.213564,0.186858,0.177440,0.620186,0.621668,0.868986
0.000,0.817905,0.890314,0.871525,0.857713,0.848306,0.875869,0.865870,0.170249,0.534493
0.000,0.272727,0.341565,0.880339,0.219415,0.209702,0.191089,0.598938,0.620808,0.930435
0.000,0.860033,0.897049,0.871186,0.862500,0.844969,0.849858,0.890438,0.173689,0.573913
0.000,0.275776,0.354394,0.885424,0.231117,0.221509,0.185681,0.610890,0.495271,0.937971
0.000,0.784645,0.891918,0.887119,0.798936,0.822639,0.868916,0.881142,0.171969,0.615072
0.000,0.268293,0.349904,0.889831,0.226330,0.211499,0.185681,0.625498,0.514187,0.944348
0.000,0.807650,0.878448,0.882712,0.853989,0.834446,0.851146,0.863878,0.173689,0.612174
0.000,0.276330,0.359525,0.885085,0.241223,0.225103,0.209374,0.667995,0.500430,0.873623
0.000,0.821231,0.896408,0.888475,0.854255,0.826745,0.881535,0.883798,0.173689,0.601159
0.000,0.291851,0.364336,0.879661,0.253457,0.222536,0.195467,0.632138,0.492691,0.947246
0.000,0.837029,0.912765,0.893220,0.867553,0.840862,0.881020,0.897742,0.175408,0.601159
0.000,0.290743,0.355356,0.890508,0.244415,0.223819,0.229977,0.654050,0.490112,0.944348
0.000,0.797395,0.871071,0.885763,0.815691,0.810318,0.833119,0.865870,0.165950,0.611594
0.000,0.282982,0.366902,0.886780,0.220479,0.223049,0.209374,0.646746,0.521926,0.953623
0.000,0.787417,0.859205,0.876949,0.800798,0.786704,0.826938,0.856574,0.164230,0.569855
0.000,0.303769,0.383900,0.891186,0.267287,0.247690,0.237703,0.630810,0.539123,0.791304
0.000,0.777993,0.863374,0.885424,0.808777,0.832649,0.806850,0.858566,0.177128,0.580870
0.000,0.302938,0.384862,0.894576,0.244415,0.241016,0.234612,0.641434,0.527945,0.870725
0.000,0.767184,0.848942,0.880339,0.810372,0.803131,0.822817,0.865870,0.164230,0.549565
0.000,0.299058,0.386466,0.887119,0.261436,0.232803,0.259593,0.622842,0.518487,0.875362
0.000,0.768570,0.840282,0.873559,0.781915,0.765657,0.805563,0.843293,0.167670,0.506087
0.000,0.314856,0.398974,0.888475,0.285372,0.241273,0.240793,0.652058,0.536543,0.870145
0.000,0.752772,0.818153,0.875254,0.776862,0.750770,0.741180,0.802125,0.167670,0.605797
0.000,0.321508,0.414047,0.897627,0.274468,0.278234,0.267577,0.641434,0.519347,0.954203
0.000,0.760255,0.839320,0.866780,0.798404,0.766427,0.796034,0.847942,0.156492,0.615652
0.000,0.337029,0.423028,0.893559,0.296543,0.260780,0.269637,0.669323,0.526225,0.874203
0.000,0.742517,0.826171,0.872203,0.760372,0.746663,0.777492,0.842629,0.165950,0.558841
0.000,0.344789,0.429442,0.899322,0.304255,0.272844,0.269637,0.662683,0.689596,0.870725
0.000,0.738636,0.822001,0.857288,0.758245,0.762834,0.932526,0.833997,0.168530,0.566957
0.000,0.343681,0.427518,0.890847,0.311968,0.265657,0.270409,0.662683,0.650903,0.874203
0.000,0.733093,0.805645,0.866780,0.744681,0.725103,0.755859,0.818061,0.158212,0.564058
0.000,0.364745,0.442591,0.904746,0.325798,0.281057,0.280196,0.664011,0.661221,0.805797
0.000,0.722561,0.798910,0.857966,0.736436,0.733060,0.752253,0.815405,0.159071,0.557681
0.000,0.357262,0.449006,0.910169,0.317287,0.286191,0.334535,0.653386,0.668960,0.951884
0.000,0.720344,0.792816,0.854576,0.675266,0.661961,0.749936,0.775564,0.163371,0.601159
0.045,0.348392,0.442912,0.911186,0.307447,0.281828,0.291270,0.660027,0.651763,0.953623
0.095,0.725887,0.807248,0.851525,0.755585,0.727926,0.740407,0.791501,0.158212,0.593623
0.145,0.371674,0.464721,0.913220,0.336436,0.313142,0.296420,0.695883,0.504729,0.942029
0.195,0.703160,0.782553,0.855254,0.725532,0.683008,0.731136,0.786189,0.153912,0.601159
0.245,0.348392,0.444195,0.916610,0.312766,0.247177,0.275303,0.686587,0.546862,0.952464
0.295,0.689856,0.771007,0.856610,0.710638,0.724076,0.710791,0.780876,0.152193,0.608116
0.345,0.370565,0.466645,0.916610,0.335372,0.314938,0.305176,0.710491,0.542562,0.879420
0.395,0.705377,0.788005,0.852542,0.739096,0.694815,0.719804,0.786189,0.149613,0.568116
0.445,0.383315,0.479474,0.929153,0.343351,0.323152,0.297965,0.765604,0.555460,0.947246
0.495,0.679324,0.762348,0.846441,0.709309,0.714579,0.711563,0.770252,0.153052,0.605217
0.545,0.386086,0.481398,0.913220,0.329787,0.310832,0.319598,0.702523,0.532244,0.771014
0.595,0.668792,0.754330,0.834237,0.698670,0.683008,0.682720,0.764940,0.154772,0.575072
0.645,0.389967,0.484606,0.909831,0.356649,0.332392,0.323461,0.722444,0.566638,0.957681
0.695,0.694845,0.783836,0.855932,0.707447,0.694815,0.719032,0.782205,0.140155,0.586087
0.745,0.403825,0.505131,0.924407,0.376862,0.337782,0.501416,0.730412,0.545142,0.887536
0.795,0.655488,0.734766,0.846102,0.673138,0.678645,0.671903,0.759628,0.142734,0.566957
0.845,0.394956,0.486530,0.916610,0.355053,0.315965,0.323719,0.706507,0.717971,0.888696
0.895,0.648836,0.727069,0.842373,0.673138,0.655031,0.663662,0.741036,0.144454,0.565797
0.945,0.411863,0.514112,0.943729,0.368883,0.437372,0.356168,0.744356,0.608770,0.899710
0.995,0.673226,0.755292,0.847458,0.696809,0.681725,0.711563,0.755644,0.149613,0.566377
1.045,0.420455,0.524375,0.941356,0.375798,0.350103,0.339943,0.742364,0.557180,0.953623
1.095,0.631652,0.707184,0.837627,0.663032,0.648614,0.642029,0.715803,0.147034,0.605217
1.145,0.428215,0.523412,0.933559,0.385106,0.352926,0.344064,0.750332,0.573517,0.891594
1.195,0.626663,0.695318,0.830847,0.671543,0.678388,0.648725,0.705843,0.141015,0.568116
1.245,0.442073,0.542335,0.952203,0.403457,0.379107,0.343806,0.779548,0.615649,0.903188
1.295,0.618902,0.693072,0.830169,0.643085,0.600103,0.626320,0.713147,0.151333,0.591304
1.345,0.443459,0.546825,0.932203,0.415691,0.374487,0.370075,0.765604,0.587274,0.973913
1.395,0.608370,0.680244,0.829492,0.625798,0.612680,0.631986,0.699867,0.145314,0.584348
1.445,0.489191,0.634702,0.969153,0.469681,0.362166,0.431367,0.822045,0.603611,0.977391
1.495,0.596175,0.672226,0.833559,0.621277,0.593172,0.616276,0.715139,0.144454,0.568696
1.545,0.456208,0.561578,0.945424,0.430585,0.382187,0.399948,0.768924,0.755804,0.892174
1.595,0.588692,0.668056,0.824407,0.560372,0.577259,0.592583,0.690571,0.147034,0.548406
1.645,0.460920,0.567030,0.952203,0.414096,0.405544,0.374710,0.784197,0.595013,0.963478
1.695,0.580654,0.650738,0.801356,0.589628,0.594199,0.599536,0.682603,0.140155,0.608116
1.745,0.459534,0.567672,0.954915,0.425266,0.399641,0.375225,0.771580,0.613070,0.982029
1.795,0.564579,0.636305,0.825424,0.606649,0.568018,0.592068,0.681939,0.142734,0.597681
1.845,0.470898,0.580500,0.945424,0.436968,0.401181,0.376255,0.791501,0.619089,0.969275
1.895,0.568459,0.639513,0.808475,0.581649,0.539271,0.606490,0.688579,0.142734,0.594203
1.945,0.488082,0.598461,0.960339,0.440426,0.429415,0.410507,0.778884,0.601892,0.895072
1.995,0.576497,0.655228,0.819322,0.585372,0.590862,0.611898,0.695219,0.140155,0.573333
2.045,0.504157,0.616742,0.966780,0.466223,0.434548,0.435746,0.770252,0.687876,0.904928
2.095,0.544346,0.629891,0.821695,0.571011,0.569559,0.583827,0.682603,0.147034,0.569855
2.145,0.485310,0.592688,0.969831,0.446809,0.429928,0.411537,0.811421,0.653482,0.908986
2.195,0.533537,0.606479,0.812881,0.555319,0.546201,0.552923,0.656042,0.144454,0.568116
2.245,0.522450,0.624439,0.978644,0.474734,0.430441,0.453258,0.815405,0.649183,0.903768
2.295,0.529656,0.601347,0.800678,0.554787,0.542094,0.545712,0.654714,0.135856,0.570435
2.345,0.511918,0.625080,0.973898,0.474202,0.384754,0.448365,0.832669,0.636285,0.913623
2.395,0.508592,0.580180,0.808136,0.532713,0.531828,0.537729,0.619522,0.138435,0.571014
2.445,0.518293,0.639833,0.981017,0.515691,0.478183,0.469997,0.833333,0.801376,0.912464
2.495,0.495843,0.571199,0.793559,0.522606,0.504877,0.504764,0.630146,0.146174,0.561159
2.545,0.518847,0.637909,0.973220,0.452926,0.446099,0.461499,0.880478,1.000000,0.906087
2.595,0.491962,0.573765,0.808136,0.529787,0.530544,0.518156,0.625498,0.141874,0.562899
2.645,0.530765,0.653303,0.988136,0.445213,0.488450,0.439093,0.855246,0.835770,0.911304
2.695,0.480322,0.551636,0.803051,0.513298,0.496920,0.513778,0.579681,0.142734,0.598261
2.745,0.535477,0.668056,0.989831,0.499734,0.484600,0.472058,0.858566,0.656922,0.912464
2.795,0.476441,0.541693,0.788136,0.513032,0.497690,0.496523,0.587649,0.126397,0.559420
2.845,0.548226,0.675112,0.986780,0.522074,0.491016,0.482101,0.863878,0.664660,0.914203
2.895,0.473115,0.532072,0.798983,0.514362,0.486396,0.513778,0.607570,0.134136,0.562319
2.945,0.553769,0.679602,0.993220,0.507713,0.481006,0.471543,0.877822,0.694755,0.995362
2.995,0.452051,0.518281,0.796949,0.471277,0.466119,0.481071,0.585657,0.134136,0.594783
3.045,0.574279,0.698845,1.000000,0.550798,0.514630,0.496266,0.873838,0.686156,1.000000
