time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.131373,0.034245,0.511590,0.033455,0.036630,0.028782,0.021337,0.011501,0.422888
0.000,0.875735,0.948633,0.968367,0.944811,0.968987,0.919256,0.939308,0.751006,0.936149
0.000,0.146078,0.036545,0.505045,0.034676,0.032723,0.025726,0.022285,0.012651,0.459725
0.000,0.879167,0.943777,0.968094,0.960195,0.967766,0.931992,0.940730,0.771133,0.950884
0.000,0.104657,0.037056,0.517862,0.036386,0.032967,0.034386,0.030820,0.013801,0.462672
0.000,0.871814,0.949399,0.963458,0.922100,0.927717,0.924605,0.945946,0.774583,0.958251
0.000,0.164706,0.036034,0.516226,0.040293,0.045177,0.030820,0.022760,0.012076,0.456287
0.000,0.873775,0.959622,0.973275,0.950672,0.986813,0.939633,0.949265,0.768258,0.959725
0.000,0.461029,0.039612,0.514317,0.041758,0.030281,0.026745,0.017070,0.027027,0.455796
0.000,0.879657,0.963966,0.967276,0.961905,0.989744,0.945746,0.948317,0.921794,0.961690
0.000,0.227941,0.039867,0.515135,0.043712,0.034921,0.029801,0.036036,0.014951,0.425344
0.000,0.882108,0.945566,0.972730,0.937729,0.951160,0.933775,0.943575,0.772858,0.938114
0.000,0.161520,0.033734,0.504227,0.034921,0.029060,0.026745,0.009483,0.017826,0.461690
0.000,0.883824,0.948377,0.973002,0.944322,0.941148,0.938360,0.950688,0.815411,0.962672
0.000,0.122794,0.032456,0.514590,0.023932,0.009768,0.029292,0.015173,0.012076,0.422888
0.000,0.884804,0.948377,0.964276,0.970696,0.955311,0.934539,0.949265,0.765957,0.953831
0.000,0.118627,0.034500,0.517044,0.025153,0.033211,0.022669,0.022760,0.013801,0.467092
0.000,0.861029,0.948633,0.964003,0.960684,0.900366,0.935813,0.945472,0.782634,0.960707
0.000,0.097304,0.032967,0.516226,0.038095,0.022466,0.025217,0.007587,0.016101,0.422888
0.000,0.881127,0.951444,0.969730,0.970208,0.990232,0.942690,0.950688,0.771708,0.863458
0.000,0.138725,0.032967,0.511044,0.060806,0.029792,0.032858,0.006164,0.014951,0.427308
0.000,0.879167,0.953999,0.968367,0.982662,0.881563,0.942180,0.948317,0.783209,0.963163
0.000,0.150980,0.032711,0.507227,0.033211,0.117216,0.026999,0.000948,0.012651,0.463654
0.000,0.881127,0.952977,0.965094,0.960440,0.930159,0.930464,0.947368,0.792984,0.971022
0.000,0.131373,0.030923,0.514317,0.044689,0.023199,0.033877,0.002371,0.013801,0.418468
0.000,0.881127,0.953233,0.968367,0.942613,0.956044,0.942180,0.941204,0.918919,0.869352
0.000,0.180147,0.033478,0.512953,0.036874,0.035897,0.025726,0.006164,0.011501,0.422888
0.000,0.878431,0.948377,0.974093,0.964347,0.930647,0.945746,0.939308,0.769408,0.865914
0.000,0.124510,0.034500,0.506681,0.029548,0.044933,0.034641,0.009957,0.011501,0.430747
0.000,0.884314,0.947611,0.970003,0.936752,1.000000,0.935558,0.946420,0.772858,0.869352
0.000,0.085049,0.032711,0.504772,0.039072,0.027595,0.032094,0.006638,0.009201,0.423870
0.000,0.875735,0.960644,0.968912,0.977045,1.000000,0.960265,0.944523,0.767108,0.867387
0.000,0.199755,0.031434,0.513771,0.035897,0.030281,0.030056,0.000000,0.013801,0.424853
0.000,0.884069,0.924610,0.971094,0.940659,0.950183,0.963321,0.876719,0.771133,0.968566
0.000,0.492402,0.050345,0.521134,0.043956,0.041758,0.027254,0.032243,0.009201,0.463654
0.000,0.076225,0.078712,0.727570,0.064469,0.055922,0.034131,0.421053,0.365152,0.738212
0.000,0.052206,0.045234,0.515135,0.057631,0.139927,0.033877,0.167852,0.012651,0.383104
0.000,0.877206,0.936110,0.970548,0.964835,0.857875,1.000000,0.913229,0.756182,0.865914
0.000,0.045098,0.039612,0.509408,0.034188,0.008059,0.026235,0.176861,0.012651,0.361493
0.000,0.394118,0.346282,0.469866,0.314530,0.339683,0.186704,0.277857,0.005750,0.157171
0.000,0.037990,0.036034,0.338151,0.038828,0.042002,0.038716,0.146515,0.013801,0.257367
0.000,0.928186,0.932788,0.974093,0.932357,0.935775,0.959501,0.911332,0.776308,0.937623
0.000,0.035539,0.033223,0.503954,0.040049,0.036874,0.028018,0.181128,0.008051,0.410118
0.000,0.885294,0.932533,0.963185,0.944811,0.886203,0.838512,0.892366,0.733180,0.858546
0.000,0.033824,0.035523,0.242705,0.044933,0.045177,0.076414,0.026553,0.007476,0.000982
0.000,0.011029,0.012778,0.064085,0.000000,0.000000,0.046103,0.051209,0.014951,0.040766
0.000,0.000000,0.001278,0.055359,0.000000,0.000000,0.007387,0.108108,0.012651,0.101179
0.000,0.000000,0.001278,0.011181,0.000000,0.046154,0.010443,0.040303,0.004025,0.000000
0.000,0.000000,0.000256,0.021543,0.000000,0.001954,0.004330,0.078236,0.017251,0.065324
0.000,0.000000,0.001022,0.012817,0.000000,0.005128,0.009424,0.064486,0.002300,0.014735
0.000,0.000490,0.001278,0.020725,0.000000,0.068376,0.010443,0.077288,0.000000,0.032417
0.000,0.000000,0.002300,0.063540,0.000000,0.000000,0.000000,0.146515,0.017251,0.104126
0.000,0.002206,0.000000,0.061358,0.000000,0.000000,0.004840,0.150308,0.016101,0.109037
0.000,0.000000,0.002300,0.050995,0.000000,0.000000,0.001019,0.115695,0.009201,0.054028
0.000,0.000000,0.001278,0.000000,0.000000,0.000000,0.004840,0.056425,0.014951,0.027014
0.000,0.037990,0.051367,0.019907,0.065201,0.081319,0.057310,0.097202,0.017251,0.055010
0.000,0.040931,0.039867,0.516771,0.042735,0.041758,0.034386,0.182551,0.012651,0.434185
0.000,0.947304,0.964222,0.971094,0.945299,0.931136,0.805909,0.905642,0.792984,0.880648
0.000,0.120098,0.032967,0.511590,0.029792,0.038828,0.029292,0.161688,0.017251,0.432220
0.000,0.987010,0.956811,0.988274,0.944567,0.976313,0.783749,0.914177,0.900518,0.946955
0.000,0.034314,0.032456,0.517862,0.028083,0.028083,0.018085,0.164059,0.014951,0.472495
0.000,0.968137,0.987733,0.985274,0.947741,0.970208,0.776363,0.918919,0.805060,0.876228
0.000,0.027696,0.030411,0.478047,0.033944,0.029060,0.025217,0.134661,0.009201,0.328094
0.000,0.322304,0.334270,0.264249,0.315263,0.302808,0.352267,0.226648,0.010351,0.072200
0.000,0.035539,0.035012,0.321516,0.042735,0.041758,0.032348,0.034139,0.009201,0.103143
0.000,0.995833,0.960388,0.985274,0.957509,1.000000,0.775599,0.925557,0.802760,0.885069
0.000,0.040441,0.036034,0.519498,0.036142,0.000000,0.037188,0.177335,0.029327,0.433694
0.000,0.946324,0.961155,0.979547,0.992430,0.934799,0.745288,0.936937,0.825187,0.886542
0.000,0.038725,0.028111,0.519226,0.035653,0.036142,0.036933,0.159791,0.018401,0.433694
0.000,0.903922,0.918221,0.974093,0.916972,0.925763,0.744524,0.920341,0.824612,0.889980
0.000,0.038725,0.037056,0.517862,0.025641,0.026129,0.036424,0.165955,0.014951,0.436149
0.000,0.969363,0.974189,0.975729,0.992430,0.947253,0.759552,0.927454,0.834388,0.881139
0.000,0.036520,0.036034,0.524407,0.035409,0.029060,0.033877,0.160266,0.017826,0.443026
0.000,0.955147,0.973422,0.980365,0.966545,1.000000,0.739939,0.947368,0.822312,0.883104
0.000,0.085049,0.032200,0.518407,0.032479,0.039316,0.041773,0.155524,0.016676,0.433202
0.000,0.914461,0.949655,0.971094,0.926007,0.927228,0.754457,1.000000,0.822887,0.893910
0.000,0.040931,0.028878,0.517044,0.030525,0.028571,0.051707,0.147937,0.016101,0.432220
0.000,0.975735,0.975211,0.977093,0.988767,0.985836,0.759297,0.936937,0.802185,0.880157
0.000,0.029902,0.027600,0.517862,0.018803,0.010989,0.050178,0.155998,0.014951,0.436149
0.000,0.987745,0.967033,0.982002,0.960928,0.936020,0.768976,0.925557,0.799310,0.984774
0.000,0.034314,0.027345,0.520589,0.006838,0.032479,0.055273,0.151731,0.021852,0.474460
0.000,0.958088,0.958600,0.987728,0.944811,1.000000,0.758278,0.931247,0.838413,0.888998
0.045,0.027206,0.028367,0.509408,0.011966,0.027106,0.055273,0.153627,0.024152,0.458743
0.095,0.975735,0.964988,0.982002,0.957998,0.990232,0.758278,0.918919,0.834388,0.988212
0.145,0.041176,0.027856,0.514044,0.036874,0.016361,0.065716,0.148886,0.021277,0.430255
0.195,0.956863,0.964222,0.993182,0.966300,0.916728,0.749109,0.938834,0.817711,0.934185
0.245,0.037255,0.031178,0.519498,0.035165,0.038339,0.062659,0.158369,0.015526,0.474951
0.295,0.984069,0.975466,0.984183,0.962882,0.974115,0.770504,0.932195,0.806210,0.886051
0.345,0.030147,0.026067,0.507499,0.030281,0.016361,0.060621,0.150308,0.017251,0.476916
0.395,0.929657,1.000000,0.979547,0.963858,0.977045,0.776617,0.923661,0.806786,0.984774
0.445,0.020833,0.031689,0.515135,0.027106,0.023199,0.066735,0.152679,0.009201,0.468566
0.495,0.981127,0.960133,0.985274,0.958974,0.976557,0.757005,0.943101,0.843013,0.885069
0.545,0.033333,0.029900,0.504772,0.025153,0.082295,0.070046,0.150782,0.013801,0.431238
0.595,0.897794,0.972911,0.984729,0.964347,0.952381,0.741467,0.927928,0.822887,0.935167
0.645,0.036275,0.032711,0.514862,0.038339,0.044444,0.070810,0.150308,0.017251,0.467583
0.695,1.000000,0.965244,0.978729,0.973626,0.802198,0.728732,0.916074,0.820012,0.986248
0.745,0.030392,0.024789,0.510772,0.070085,0.036386,0.068008,0.160266,0.009201,0.478880
0.795,0.937010,0.967800,0.985001,0.955067,0.944322,0.727713,0.931247,0.833813,0.890963
0.845,0.031127,0.029645,0.514862,0.167766,0.032967,0.079470,0.147937,0.011501,0.378193
0.895,0.966667,0.965244,0.989365,0.913553,0.982662,0.735354,0.937411,0.832662,0.889980
0.945,0.041422,0.030156,0.517862,0.007570,0.041758,0.068772,0.151731,0.016101,0.427308
0.995,0.958578,0.963200,0.968367,0.967277,0.924786,0.723128,0.932195,0.841288,0.889489
1.045,0.029167,0.026578,0.516226,0.025397,0.030525,0.075650,0.152679,0.014951,0.428291
1.095,0.908088,0.963966,0.993728,0.921368,0.975824,0.725420,0.931721,0.845888,0.891945
1.145,0.032598,0.034245,0.516771,0.051526,0.035897,0.071574,0.166430,0.013801,0.477407
1.195,0.896078,0.959111,0.998909,0.978022,0.973138,0.740703,0.916548,0.813111,0.886051
1.245,0.030637,0.030667,0.521407,0.069353,0.030037,0.069027,0.185870,0.015526,0.446955
1.295,0.887255,0.960133,0.980911,0.966056,0.922833,0.741977,0.896159,0.809661,0.883595
1.345,0.032598,0.027856,0.509681,0.045177,0.035897,0.075650,0.171645,0.024727,0.408644
1.395,0.988235,0.970866,0.979002,0.968254,0.939927,0.744014,0.938834,1.000000,1.000000
1.445,0.035539,0.037056,0.519498,0.036630,0.028571,0.072848,0.152679,0.025877,0.471513
1.495,0.896078,0.951955,0.989092,0.986325,0.945299,0.775599,0.929825,0.815411,0.993615
1.545,0.033578,0.032456,0.520044,0.027106,0.034921,0.072084,0.165955,0.016101,0.468566
1.595,0.897794,0.963200,0.979820,0.978022,0.931624,0.753184,0.924135,0.803335,0.992141
1.645,0.029657,0.031434,0.518407,0.062027,0.042247,0.067244,0.157421,0.014376,0.475442
1.695,0.871078,0.940966,0.970821,0.933822,0.916239,0.735099,0.932195,0.820587,0.929764
1.745,0.033088,0.035523,0.518953,0.037851,0.037118,0.075650,0.153153,0.018401,0.472004
1.795,0.889461,0.951955,0.980365,0.955067,0.968742,0.744014,0.919393,0.801610,0.991159
1.845,0.026716,0.035523,0.519498,0.040781,0.050061,0.079215,0.159791,0.014951,0.477407
1.895,0.871078,0.936110,0.977366,0.915263,0.925031,0.747071,0.938834,0.857964,0.985265
1.945,0.031373,0.030923,0.521407,0.055433,0.052747,0.070046,0.161214,0.018401,0.480354
1.995,0.905637,0.955533,0.987183,1.000000,0.900611,0.760316,0.936937,0.844163,0.892927
2.045,0.037010,0.037056,0.518953,0.036874,0.032479,0.079215,0.165007,0.018401,0.434185
2.095,0.892402,0.960133,0.977093,0.965079,0.939683,0.742231,0.925557,0.991374,0.889980
2.145,0.038480,0.039612,0.523861,0.072039,0.081319,0.083800,0.189663,0.031052,0.440079
2.195,0.887255,0.956555,0.979275,0.943834,0.923810,0.752165,0.933144,0.811386,0.818762
2.245,0.042892,0.039612,0.526588,0.023199,0.019292,0.084819,0.169749,0.017251,0.423379
2.295,0.911765,0.963455,0.979547,0.968254,0.972161,0.758023,0.917971,0.800460,0.932711
2.345,0.040196,0.035523,0.514317,0.036874,0.044933,0.078451,0.161688,0.018976,0.480354
2.395,0.893873,0.965244,1.000000,0.951893,0.955311,0.758788,0.921764,0.805060,0.883104
2.445,0.039461,0.035778,0.523861,0.000000,0.056410,0.074631,0.174490,0.017251,0.447937
2.495,0.895343,0.944288,0.985547,0.955067,0.937729,0.747071,0.939308,0.833813,0.890963
2.545,0.040931,0.036034,0.523316,0.043712,0.021245,0.083036,0.167378,0.013801,0.449411
2.595,0.892892,0.959366,0.989092,0.979487,1.000000,0.750637,0.909436,0.840713,0.883595
2.645,0.043137,0.047789,0.520316,0.040781,0.057387,0.086857,0.159791,0.014951,0.477407
2.695,0.879167,0.950933,0.974911,0.992186,0.960195,0.741212,0.931247,0.815986,0.991650
2.745,0.040441,0.038589,0.522225,0.036874,0.035897,0.086602,0.167852,0.011501,0.482318
2.795,0.887010,0.944288,0.971639,0.948230,0.942369,0.730005,0.924609,0.823462,0.990177
2.845,0.043137,0.034500,0.519226,0.009035,0.037118,0.088385,0.158843,0.014951,0.475442
2.895,0.897549,0.971889,0.979820,1.000000,0.936020,0.751146,0.935989,0.871190,0.888016
2.944,0.042157,0.037056,0.520316,0.025153,0.039072,0.088640,0.167852,0.023002,0.442043
2.995,0.875245,0.913621,0.974911,0.935531,0.890598,0.732807,0.917971,0.952846,0.890963
3.045,0.045833,0.043956,0.524680,0.061294,0.046642,0.095008,0.161688,0.016101,0.447937
