time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.005917,0.019486,0.000733,0.000000,0.032387,0.029728,0.010212,0.045904
0.000,0.064469,0.065089,0.007307,0.063736,0.057678,0.022626,0.025628,0.026709,0.011040
0.000,0.000000,0.004684,0.017591,0.000000,0.000000,0.033274,0.016402,0.002357,0.043579
0.000,0.067155,0.065582,0.010014,0.070330,0.058703,0.013753,0.018452,0.026709,0.007554
0.000,0.000000,0.004191,0.017050,0.000000,0.000000,0.035492,0.007688,0.000786,0.045904
0.000,0.063736,0.065335,0.009472,0.051770,0.042553,0.018634,0.024603,0.027494,0.012202
0.000,0.000000,0.010602,0.018133,0.004151,0.000000,0.020852,0.016402,0.000000,0.041255
0.000,0.064225,0.062623,0.006225,0.063736,0.073827,0.015972,0.014352,0.027494,0.004648
0.000,0.000000,0.000000,0.016238,0.000000,0.000000,0.039929,0.008713,0.003928,0.045322
0.000,0.064957,0.066075,0.008660,0.072527,0.080492,0.016859,0.021527,0.027494,0.009297
0.000,0.000000,0.004684,0.020839,0.000000,0.000000,0.033274,0.019990,0.002357,0.045904
0.000,0.064469,0.063116,0.007848,0.060562,0.054858,0.018634,0.020502,0.025137,0.009297
0.000,0.003907,0.003452,0.020839,0.000000,0.000000,0.031943,0.012814,0.005499,0.045904
0.000,0.060317,0.062377,0.008931,0.096703,0.062804,0.016859,0.017940,0.025137,0.012202
0.000,0.000000,0.008876,0.018403,0.000000,0.000000,0.035049,0.013326,0.002357,0.045904
0.000,0.060317,0.063609,0.010825,0.063248,0.099205,0.015972,0.021527,0.036921,0.009297
0.000,0.000000,0.004931,0.019215,0.000000,0.000000,0.032387,0.000000,0.006284,0.042998
0.000,0.055922,0.061391,0.009202,0.054701,0.058190,0.015528,0.024603,0.035350,0.011040
0.000,0.000000,0.004684,0.017591,0.022222,0.000000,0.048802,0.010251,0.008641,0.041836
0.000,0.061294,0.060651,0.000000,0.055433,0.058447,0.000000,0.009226,0.018068,0.000000
0.000,0.000000,0.007890,0.012991,0.006349,0.000000,0.035492,0.000000,0.000786,0.037188
0.000,0.000000,0.015286,0.016509,0.001465,0.000000,0.031056,0.016402,0.021995,0.046485
0.000,0.000000,0.013314,0.067930,0.001709,0.001025,0.100710,0.091235,0.025137,0.119117
0.000,0.045665,0.048817,0.074425,0.000000,0.059216,0.096717,0.116863,0.024352,0.107496
0.000,0.000000,0.008136,0.019756,0.000000,0.006409,0.030612,0.003588,0.000786,0.035445
0.000,0.025153,0.049556,0.001353,0.025641,0.055883,0.002662,0.003075,0.022781,0.005230
0.000,0.000000,0.011834,0.018133,0.000000,0.000000,0.027950,0.001538,0.005499,0.034863
0.000,0.034432,0.044379,0.008931,0.035165,0.054345,0.012422,0.009226,0.035350,0.013364
0.000,0.000488,0.005178,0.023275,0.000000,0.000000,0.038154,0.016402,0.012569,0.045904
0.000,0.006105,0.034270,0.011637,0.019292,0.017688,0.011535,0.009226,0.019639,0.016270
0.000,0.000000,0.011341,0.028958,0.000000,0.000000,0.039929,0.023065,0.011783,0.048228
0.000,0.083761,0.039448,0.023004,0.027595,0.051525,0.031056,0.024090,0.025137,0.030796
0.000,0.085958,0.003452,0.033559,0.000000,0.000000,0.056788,0.031779,0.006284,0.060430
0.000,0.014896,0.027120,0.032476,0.000244,0.000000,0.045253,0.055356,0.033778,0.055200
0.000,0.000977,0.014300,0.036806,0.000000,0.000000,0.045253,0.045105,0.013354,0.051133
0.000,0.015385,0.034024,0.035724,0.017338,0.004871,0.048802,0.054331,0.021210,0.055782
0.000,0.000000,0.010355,0.020298,0.000000,0.000000,0.046140,0.025115,0.022781,0.070308
0.000,0.498413,0.346647,0.234641,0.520635,0.578826,0.299911,0.345976,0.079340,0.228356
0.000,0.446154,0.546844,0.747497,0.413431,0.440913,0.499556,0.548949,0.670071,0.868681
0.000,0.545788,0.360947,0.582409,0.567766,0.601384,0.320319,0.386468,0.097408,0.485183
0.000,0.785348,0.799803,0.891475,0.836874,0.814919,0.666371,0.844695,1.000000,0.966299
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.844720,1.000000,0.761194,1.000000
0.000,0.445421,0.520217,0.739378,0.430037,0.429377,0.496894,0.548437,0.750196,0.873911
0.000,0.534310,0.411736,0.592422,0.567277,0.610100,0.330080,0.406458,0.101335,0.468913
0.000,0.448596,0.489398,0.733153,0.414408,0.440656,0.502662,0.516146,0.591516,0.873329
0.000,0.537485,0.446252,0.603789,0.574603,0.612151,0.330967,0.407483,0.102121,0.514236
