time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.056785,0.932900,0.000000,0.000000,0.000000,0.657407,0.743363,0.969945
0.000,0.000000,0.056785,0.987013,0.000000,0.000000,0.000000,0.694444,0.663717,0.972678
0.000,0.000000,0.052936,0.891775,0.000000,0.000000,0.000000,0.615741,0.769912,0.901639
0.000,0.000000,0.054860,0.935065,0.000000,0.000000,0.000000,0.646605,0.787611,0.893443
0.000,0.000000,0.053898,0.906926,0.000000,0.000000,0.000000,0.637346,0.716814,0.912568
0.000,0.000000,0.071222,0.956710,0.000000,0.000000,0.000000,0.646605,0.654867,0.920765
0.000,0.000000,0.050048,0.909091,0.000000,0.000000,0.000000,0.641975,0.663717,0.959016
0.000,0.000000,0.043311,0.987013,0.000000,0.000000,0.000000,0.677469,0.699115,0.964481
0.000,0.000000,0.050048,0.896104,0.000000,0.000000,0.000000,0.592593,0.637168,0.841530
0.000,0.000000,0.057748,0.982684,0.000000,0.000000,0.041390,0.668210,0.619469,0.950820
0.000,0.000000,0.052936,0.930736,0.000000,0.000000,0.000000,0.634259,0.610619,0.978142
0.000,0.000000,0.053898,0.987013,0.000000,0.000000,0.000000,0.680556,0.743363,0.975410
0.000,0.000000,0.054860,0.932900,0.000000,0.000000,0.000000,0.655864,0.637168,0.967213
0.000,0.014950,0.056785,0.971861,0.000000,0.000000,0.000000,0.640432,0.761062,0.926230
0.000,0.000000,0.052936,0.926407,0.000000,0.000000,0.000000,0.643519,0.814159,0.967213
0.000,0.000000,0.053898,0.987013,0.000000,0.000000,0.000000,0.683642,0.663717,0.980874
0.000,0.000000,0.056785,0.935065,0.000000,0.000000,0.000000,0.643519,0.787611,0.939891
0.000,0.000000,0.049086,0.984848,0.000000,0.000000,0.000000,0.665123,0.743363,0.969945
0.000,0.000000,0.052936,0.932900,0.004545,0.000000,0.000000,0.643519,0.610619,0.959016
0.000,0.000000,0.058710,0.976190,0.000000,0.000000,0.000000,0.663580,0.716814,0.980874
0.000,0.000000,0.052936,0.930736,0.000000,0.000000,0.000000,0.641975,0.628319,0.948087
0.000,0.000000,0.060635,0.995671,0.000000,0.000000,0.000000,0.691358,0.654867,0.969945
0.000,0.000000,0.052936,0.939394,0.000000,0.000000,0.001478,0.746914,0.672566,0.950820
0.000,0.000000,0.053898,0.987013,0.000758,0.000000,0.000000,0.692901,0.637168,0.978142
0.000,0.000000,0.046198,0.922078,0.000000,0.000000,0.000000,0.674383,0.672566,0.969945
0.000,0.000000,0.064485,0.971861,0.000000,0.000000,0.000000,0.665123,0.716814,0.980874
0.000,0.000000,0.051011,0.930736,0.000000,0.000000,0.000000,0.680556,0.734513,0.980874
0.000,0.000000,0.054860,0.987013,0.000000,0.000000,0.000000,0.723765,0.601770,0.959016
0.000,0.000000,0.052936,0.939394,0.000000,0.000000,0.067258,0.679012,0.699115,0.945355
0.000,0.000000,0.058710,0.978355,0.000000,0.000000,0.000739,0.692901,0.796460,0.939891
0.000,0.000000,0.056785,0.932900,0.000000,0.000000,0.000000,0.640432,0.628319,0.937158
0.000,0.000000,0.054860,0.967532,0.000000,0.000000,0.000000,0.671296,0.743363,0.901639
0.000,0.000000,0.055823,0.913420,0.000000,0.000000,0.000000,0.638889,0.681416,0.890710
0.000,0.000000,0.058710,0.987013,0.000000,0.000000,0.000000,0.680556,0.654867,0.967213
0.000,0.000000,0.052936,0.926407,0.000000,0.000000,0.047302,0.655864,0.681416,0.969945
0.000,0.000000,0.057748,0.982684,0.000000,0.000000,0.000000,0.682099,0.663717,0.989071
0.000,0.000000,0.054860,0.707792,0.000000,0.000000,0.000000,0.547840,0.628319,0.759563
0.000,0.000000,0.047161,0.846320,0.000000,0.000000,0.000000,0.621914,0.663717,0.800546
0.000,0.000000,0.025987,0.170996,0.000000,0.000000,0.000000,0.000000,0.150442,0.081967
0.000,0.791528,0.965351,0.805195,0.800000,0.709615,0.810052,0.881173,0.814159,0.663934
0.000,0.058140,0.089509,0.038961,0.007576,0.010897,0.000000,0.146605,0.203540,0.101093
0.000,1.000000,1.000000,0.870130,1.000000,1.000000,1.000000,1.000000,1.000000,0.710383
0.000,0.023256,0.056785,0.134199,0.012121,0.049359,0.016260,0.234568,0.115044,0.065574
0.000,0.517442,0.846006,0.623377,0.358333,0.264744,0.281596,0.614198,0.530973,0.609290
0.000,0.000000,0.033686,0.060606,0.009091,0.037821,0.000000,0.160494,0.132743,0.117486
0.000,0.209302,0.299326,0.385281,0.205303,0.171154,0.234294,0.436728,0.566372,0.423497
0.000,0.000000,0.054860,0.549784,0.000000,0.000000,0.000000,0.481481,0.690265,0.655738
0.000,0.194352,0.203080,0.627706,0.138636,0.112179,0.209165,0.634259,0.601770,0.521858
0.000,0.000000,0.052936,0.294372,0.000000,0.000000,0.000000,0.350309,0.628319,0.420765
0.000,0.000000,0.057748,0.896104,0.000000,0.000000,0.000000,0.699074,0.840708,0.967213
0.000,0.000000,0.051973,0.900433,0.000000,0.000000,0.000000,0.720679,0.823009,0.967213
0.000,0.000000,0.056785,0.991342,0.046212,0.000000,0.000000,0.728395,0.716814,0.969945
0.000,0.000000,0.051011,0.913420,0.000000,0.010256,0.000000,0.739198,0.672566,0.972678
0.000,0.000000,0.053898,0.991342,0.000000,0.000000,0.000000,0.783951,0.663717,1.000000
0.000,0.394518,0.061598,0.935065,0.000000,0.000000,0.000000,0.794753,0.814159,0.989071
0.000,0.005814,0.058710,0.991342,0.000000,0.000000,0.000000,0.782407,0.796460,0.983607
0.000,0.000000,0.057748,0.649351,0.000000,0.000000,0.000000,0.578704,0.699115,0.612022
0.000,0.000000,0.054860,0.363636,0.000000,0.000000,0.000000,0.395062,0.362832,0.357923
0.000,0.001661,0.070260,0.768398,0.000000,0.000000,0.000000,0.689815,0.743363,0.948087
0.000,0.000000,0.070260,0.961039,0.000000,0.000000,0.000000,0.770062,0.796460,0.989071
0.000,0.000000,0.046198,0.030303,0.000000,0.000000,0.000000,0.174383,0.345133,0.098361
0.000,0.027409,0.069297,0.151515,0.046212,0.000000,0.000000,0.214506,0.389381,0.172131
0.000,0.009967,0.062560,0.000000,0.003030,0.000000,0.064302,0.152778,0.353982,0.092896
0.000,0.000000,0.066410,0.766234,0.000000,0.000000,0.000000,0.643519,0.672566,0.918033
0.000,0.000000,0.097209,0.034632,0.000000,0.000000,0.000000,0.197531,0.256637,0.092896
