time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.001348,0.007424,0.057840,0.000000,0.000533,0.014024,0.088297,0.015613,0.077093
0.000,0.002157,0.008852,0.050439,0.000827,0.001333,0.011057,0.093521,0.021858,0.078744
0.000,0.000539,0.002570,0.051261,0.001654,0.000000,0.000000,0.086729,0.039032,0.081498
0.000,0.002427,0.004569,0.100329,0.000000,0.013060,0.007551,0.183386,0.046838,0.177863
0.000,0.001348,0.003427,0.114583,0.000000,0.000000,0.021305,0.208464,0.035129,0.176762
0.000,0.014829,0.002570,0.109923,0.000000,0.000000,0.002967,0.198015,0.039032,0.176211
0.000,0.000809,0.003998,0.114857,0.003584,0.000000,0.006742,0.190700,0.034348,0.156388
0.000,0.000000,0.002570,0.107182,0.000000,0.000000,0.004854,0.187565,0.029664,0.156388
0.000,0.005392,0.002570,0.111020,0.000000,0.000000,0.000000,0.184953,0.040593,0.150881
0.000,0.001618,0.004283,0.016721,0.007444,0.000000,0.000000,0.028736,0.021858,0.029736
0.000,0.000000,0.008567,0.032621,0.000000,0.000000,0.002697,0.045455,0.019516,0.047907
0.000,0.006471,0.006282,0.011787,0.001103,0.028518,0.000000,0.026123,0.020297,0.019824
0.000,0.007010,0.004854,0.033717,0.012958,0.000000,0.000000,0.051724,0.014832,0.049009
0.000,0.000000,0.005425,0.013432,0.015991,0.015725,0.001888,0.024556,0.018735,0.020925
0.000,0.000000,0.005997,0.039200,0.000000,0.010661,0.000000,0.063218,0.021858,0.056167
0.000,0.001887,0.007995,0.015351,0.000000,0.013593,0.000000,0.027691,0.015613,0.022026
0.000,0.012133,0.006282,0.040844,0.000000,0.001866,0.000000,0.058516,0.020297,0.057269
0.000,0.000539,0.006853,0.015077,0.000000,0.008795,0.001079,0.034483,0.017955,0.025881
0.000,0.000000,0.006282,0.040844,0.000000,0.007196,0.002967,0.057994,0.021858,0.062775
0.000,0.000000,0.002284,0.016173,0.012407,0.000000,0.008900,0.020376,0.013271,0.026982
0.000,0.000000,0.002284,0.026316,0.000000,0.001866,0.000000,0.051202,0.004684,0.038546
0.000,0.004583,0.002856,0.018366,0.000000,0.000000,0.003236,0.029781,0.019516,0.032489
0.000,0.000000,0.001713,0.033717,0.000000,0.000000,0.000000,0.044932,0.014052,0.038546
0.000,0.000000,0.000571,0.032895,0.012131,0.011461,0.012136,0.036050,0.013271,0.040749
0.000,0.000809,0.000000,0.037007,0.016818,0.000000,0.035868,0.056949,0.017174,0.052313
0.000,0.000000,0.003141,0.032621,0.000000,0.002665,0.035868,0.048589,0.020297,0.062775
0.000,0.020760,0.016848,0.058936,0.014613,0.021588,0.008360,0.107106,0.035909,0.105727
0.000,0.034511,0.027413,0.019737,0.015164,0.046109,0.022923,0.041275,0.025761,0.025881
0.000,0.009976,0.023415,0.057566,0.041632,0.010661,0.012675,0.098746,0.032006,0.100771
0.000,0.003505,0.014278,0.033717,0.009374,0.005064,0.000270,0.066876,0.014052,0.058370
0.000,0.154489,0.093946,0.064967,0.085746,0.087154,0.080636,0.136364,0.039032,0.117841
0.000,0.033163,0.040834,0.023849,0.047146,0.045576,0.057983,0.067921,0.029664,0.037445
0.000,0.019682,0.040548,0.260691,0.033361,0.046908,0.040723,0.246082,0.028103,0.288546
