time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.001068,0.002312,0.108047,0.004212,0.000000,0.001135,0.165017,0.039102,0.173789
0.000,0.002403,0.003468,0.100085,0.000000,0.000000,0.000000,0.164466,0.049964,0.172650
0.000,0.001869,0.002890,0.106625,0.001053,0.002188,0.000000,0.162816,0.038378,0.173219
0.000,0.001068,0.001156,0.098948,0.000000,0.000547,0.000568,0.157316,0.051412,0.173219
0.000,0.002136,0.002312,0.109184,0.004738,0.000274,0.000000,0.163916,0.053584,0.177208
0.000,0.004272,0.002312,0.097526,0.000000,0.000000,0.000000,0.155666,0.038378,0.172650
0.000,0.002136,0.001734,0.108615,0.004475,0.000000,0.000000,0.166117,0.041274,0.171510
0.000,0.000534,0.000867,0.099232,0.000000,0.003282,0.000852,0.159516,0.043447,0.172650
0.000,0.002670,0.000867,0.107194,0.002106,0.001915,0.000000,0.161716,0.051412,0.171510
0.000,0.003471,0.000578,0.096389,0.002106,0.000000,0.000284,0.161716,0.049964,0.173219
0.000,0.002670,0.002601,0.106341,0.004475,0.000000,0.000284,0.167217,0.039826,0.176068
0.000,0.002136,0.000578,0.097811,0.000000,0.000000,0.000000,0.166117,0.040550,0.174929
0.000,0.006676,0.000867,0.105772,0.001316,0.000000,0.000000,0.165017,0.048516,0.174929
0.000,0.002937,0.001156,0.097526,0.001053,0.002462,0.000000,0.155666,0.036930,0.173789
0.000,0.004272,0.002890,0.108047,0.000000,0.000547,0.000568,0.165017,0.052860,0.173219
0.000,0.004539,0.002023,0.098948,0.000263,0.000000,0.003122,0.162816,0.038378,0.174929
0.000,0.003204,0.001734,0.107478,0.001579,0.000000,0.000000,0.166117,0.039826,0.173219
0.000,0.004272,0.002890,0.099517,0.000000,0.000000,0.000000,0.160066,0.041274,0.171510
0.000,0.004539,0.004046,0.108900,0.000790,0.001094,0.000000,0.166117,0.044171,0.171510
0.000,0.002403,0.001156,0.097811,0.002369,0.000000,0.001135,0.157316,0.037654,0.170940
0.000,0.002937,0.000867,0.107762,0.000000,0.000000,0.000000,0.162816,0.041274,0.170940
0.000,0.004539,0.002890,0.097526,0.000526,0.000000,0.023843,0.156216,0.038378,0.173219
0.000,0.004272,0.002023,0.107478,0.000526,0.000000,0.000000,0.157316,0.039826,0.175499
0.000,0.004272,0.001156,0.099517,0.000000,0.001915,0.000000,0.160066,0.045619,0.172650
0.000,0.002937,0.001156,0.107478,0.000526,0.000000,0.000284,0.146315,0.035482,0.173219
0.000,0.005073,0.002023,0.095536,0.000000,0.000000,0.000000,0.159516,0.042723,0.176068
0.000,0.002136,0.001156,0.108331,0.000526,0.000000,0.000000,0.162816,0.037654,0.173789
0.000,0.002937,0.000578,0.097811,0.000000,0.000821,0.000000,0.155116,0.039826,0.176068
0.000,0.002670,0.001156,0.107478,0.000000,0.002462,0.004825,0.165017,0.052136,0.171510
0.000,0.002403,0.000000,0.097242,0.004212,0.000000,0.000000,0.157316,0.040550,0.169801
