time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.040781,0.055034,0.047823,0.043145,0.039177,0.053211,0.095930,0.027319,0.054283
0.000,0.154090,0.171007,0.099386,0.157008,0.169931,0.155439,0.233043,0.034307,0.127490
0.000,0.048107,0.054765,0.048090,0.045698,0.041626,0.043775,0.065407,0.029225,0.053785
0.000,0.076190,0.093691,0.092974,0.086546,0.074682,0.086763,0.168120,0.029225,0.127490
0.000,0.033944,0.040537,0.047288,0.018637,0.000000,0.018087,0.083333,0.031766,0.057271
0.000,0.102808,0.122148,0.088966,0.100842,0.094025,0.120839,0.194767,0.026684,0.125000
0.000,0.051038,0.049128,0.045685,0.021190,0.044319,0.027523,0.077519,0.031766,0.053287
0.000,0.112576,0.135570,0.095912,0.122543,0.106024,0.115334,0.202035,0.033037,0.129482
0.000,0.046154,0.058255,0.053166,0.037018,0.042850,0.018611,0.100775,0.031131,0.057271
0.000,0.162882,0.181208,0.103660,0.161603,0.164545,0.180079,0.238372,0.036849,0.130976
0.000,0.041758,0.051544,0.048624,0.043401,0.040891,0.054784,0.098353,0.036849,0.059761
0.000,0.148718,0.164295,0.096447,0.139392,0.154016,0.152818,0.226260,0.026684,0.124004
0.000,0.033700,0.047517,0.046754,0.047741,0.033790,0.045872,0.080911,0.042567,0.053785
0.000,0.048107,0.062013,0.084691,0.038805,0.058766,0.076278,0.152132,0.029225,0.125996
0.000,0.037851,0.053423,0.049426,0.043656,0.000000,0.039843,0.094477,0.027319,0.052291
0.000,0.064469,0.076242,0.087897,0.074547,0.063908,0.029882,0.156492,0.030496,0.125000
0.000,0.043223,0.016376,0.024312,0.019147,0.010529,0.027785,0.046027,0.019695,0.021414
0.000,0.076190,0.020403,0.070799,0.000000,0.003183,0.000000,0.104651,0.017154,0.094124
0.000,0.022711,0.034094,0.029121,0.032167,0.014447,0.030406,0.064438,0.017789,0.030378
0.000,0.044200,0.051812,0.080684,0.034465,0.000000,0.047706,0.143895,0.038119,0.126992
0.000,0.000000,0.004295,0.109538,0.000000,0.000000,0.001048,0.152616,0.032402,0.170319
0.000,0.000000,0.007248,0.072936,0.000000,0.000000,0.005242,0.109981,0.029225,0.107072
0.000,0.000000,0.004832,0.088966,0.000000,0.000000,0.000000,0.131783,0.034307,0.123008
0.000,0.000000,0.006980,0.061715,0.000000,0.005877,0.000000,0.075581,0.035578,0.082171
0.000,0.044200,0.048591,0.042479,0.035997,0.053134,0.031717,0.100291,0.034307,0.051295
0.000,0.053480,0.040537,0.080684,0.000000,0.035504,0.043250,0.149709,0.033037,0.116534
0.000,0.021245,0.021208,0.036067,0.032423,0.024731,0.027261,0.082849,0.017789,0.043825
0.000,0.000000,0.007248,0.123698,0.000000,0.000000,0.000000,0.176841,0.036849,0.172809
0.000,0.030525,0.006980,0.126904,0.005872,0.000000,0.000000,0.175872,0.031766,0.175797
0.000,0.000000,0.007517,0.136254,0.000000,0.000000,0.000000,0.189922,0.034307,0.175299
0.000,0.000000,0.007248,0.130110,0.000000,0.000000,0.000000,0.188469,0.034307,0.175797
0.000,0.000000,0.007248,0.139727,0.000000,0.000000,0.000000,0.195252,0.027954,0.175299
0.000,0.000000,0.007248,0.130644,0.000000,0.000000,0.000000,0.189922,0.049555,0.174801
0.000,0.857631,0.939329,0.750735,0.941537,0.887610,0.927654,0.998547,0.873571,0.779382
0.000,0.045177,0.052349,0.185146,0.066633,0.048727,0.035387,0.096415,0.038119,0.058765
0.000,0.043712,0.056913,0.093241,0.040592,0.111410,0.049279,0.160368,0.030496,0.138944
0.000,0.037851,0.047785,0.046220,0.038550,0.052155,0.028571,0.085271,0.030496,0.058267
0.000,0.021001,0.040537,0.078012,0.026806,0.011019,0.019659,0.121609,0.031766,0.123506
0.000,0.030281,0.039463,0.049158,0.018126,0.020323,0.025950,0.070252,0.025413,0.059263
0.000,0.000000,0.006174,0.036602,0.000000,0.000000,0.000000,0.052326,0.017789,0.029382
0.000,0.000000,0.008859,0.027518,0.007148,0.053624,0.020708,0.068798,0.017789,0.033865
0.000,0.033455,0.044832,0.084157,0.026296,0.042360,0.039843,0.139535,0.033037,0.131474
0.000,0.045177,0.057718,0.052097,0.047485,0.056562,0.043775,0.101260,0.030496,0.061753
0.000,0.076923,0.011544,0.608870,0.000000,0.005387,0.000000,0.339632,0.339263,0.719622
0.000,0.043712,0.050470,0.532995,0.046975,0.033790,0.054260,0.169089,0.036849,0.402888
0.000,0.000000,0.006711,0.721614,0.000000,0.000000,0.000000,0.325581,0.210928,0.734562
0.000,0.020757,0.037852,0.418114,0.032423,0.030607,0.057929,0.098353,0.026048,0.165837
0.000,0.571184,0.608859,0.357200,0.603268,0.569785,0.606815,0.514050,0.073698,0.154382
0.000,0.029060,0.024698,0.051296,0.014297,0.009549,0.006291,0.066860,0.017154,0.050299
0.000,0.885470,0.975839,0.716270,0.960939,0.899363,0.941809,0.949128,0.823380,0.858566
0.000,0.056654,0.065772,0.574940,0.061527,0.054603,0.004194,0.248547,0.045108,0.512450
0.000,0.904762,0.943893,0.989848,0.954557,0.899853,0.946527,0.971415,1.000000,0.915837
0.000,0.048107,0.051812,0.568261,0.047741,0.040402,0.031193,0.235950,0.040661,0.484562
0.000,0.901099,0.952752,0.991451,0.934133,0.902791,0.948100,0.972384,0.799238,0.924303
0.000,0.039072,0.049128,0.567192,0.045698,0.000000,0.036959,0.239826,0.039390,0.488546
0.000,0.922100,0.975034,0.990649,0.982640,0.922135,1.000000,0.965601,0.767471,0.914841
0.000,0.040781,0.052617,0.567192,0.058974,0.042360,0.061075,0.236919,0.045743,0.501992
0.000,0.887668,0.959463,0.987176,0.944600,0.905240,0.949672,0.966085,0.789072,0.914841
0.000,0.046886,0.059329,0.572268,0.047230,0.033056,0.045085,0.227229,0.029860,0.500996
0.000,0.956288,0.964564,0.987978,0.942558,0.908668,0.976147,0.966085,0.764930,0.839143
0.000,0.041758,0.056107,0.572001,0.063058,0.042605,0.058978,0.232558,0.045743,0.496514
0.000,0.925519,0.964027,0.986642,0.910646,0.874633,0.983224,0.967054,0.993011,0.912351
0.000,0.041270,0.064161,0.571200,0.067143,0.093291,0.055832,0.235950,0.036849,0.472610
0.000,0.883516,0.962416,0.977558,0.941282,0.899119,0.975098,0.972384,0.783990,0.882470
0.000,0.000000,0.003490,0.359337,0.003064,0.000000,0.000000,0.046996,0.017154,0.051793
