time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.926754,0.985255,0.987405,0.959814,0.935775,0.706960,0.995076,0.816885,0.904286
0.000,0.050116,0.052923,0.559696,0.037981,0.054457,0.091087,0.210734,0.026811,0.509048
0.000,0.932408,0.991575,1.000000,0.984563,1.000000,0.717705,0.998523,0.809469,0.903333
0.000,0.044462,0.041074,0.546051,0.032100,0.037851,0.092552,0.201379,0.023388,0.475714
0.000,0.165767,0.117430,0.414852,0.097280,0.035897,0.236386,0.177745,0.018254,0.168571
0.000,0.041892,0.040021,0.106009,0.057094,0.032967,0.070085,0.042836,0.014832,0.040476
0.000,0.065536,0.033175,0.071110,0.022543,0.005617,0.105250,0.102905,0.029093,0.110952
0.000,0.036494,0.023697,0.037523,0.019848,0.015385,0.063736,0.059577,0.017114,0.033810
0.000,0.926240,1.000000,0.739701,0.958834,0.963126,0.723077,0.979813,0.790074,0.833810
0.000,0.041378,0.045814,0.547625,0.064445,0.047619,0.086447,0.214180,0.029093,0.475238
0.000,0.923413,0.977883,0.993178,0.937515,0.961172,0.710867,0.992614,0.791786,0.900000
0.000,0.043948,0.035282,0.557072,0.023769,0.047619,0.081319,0.207287,0.026811,0.473810
0.000,0.925469,0.985782,0.975335,0.947807,0.955311,0.712576,0.994092,0.803195,0.901429
0.000,0.048060,0.044234,0.553660,0.000000,0.026374,0.084737,0.222550,0.037079,0.508095
0.000,0.923413,0.988152,0.995277,0.999755,0.982662,0.723810,0.988183,0.811751,1.000000
0.000,0.050116,0.045814,0.551299,0.061995,0.046154,0.083761,0.254554,0.024529,0.510000
0.000,0.926240,0.981043,0.990816,0.970840,0.937485,0.713065,0.978828,0.787792,0.894762
0.000,0.049345,0.051080,0.554185,0.033570,0.039316,0.089866,0.203348,0.018825,0.515238
0.000,0.923927,0.975777,0.988454,0.949277,0.965324,0.721856,0.986214,0.807188,0.904286
0.000,0.050630,0.054239,0.543689,0.036511,0.025641,0.086203,0.209257,0.018825,0.503333
0.000,0.923156,0.979989,0.991341,0.998040,0.952137,0.720879,0.980305,0.822019,0.986190
0.000,0.046004,0.035808,0.559433,0.035531,0.045177,0.087912,0.234860,0.027382,0.513333
0.000,0.927268,0.974724,0.987405,0.971576,0.972650,0.723077,0.988676,1.000000,0.985238
0.000,0.047032,0.044234,0.556547,0.035531,0.054945,0.085714,0.204333,0.026811,0.510000
0.000,0.915703,0.962085,0.978483,0.919383,0.930647,0.717705,0.982275,0.775813,0.975238
0.000,0.053457,0.045550,0.543689,0.024014,0.049084,0.084982,0.200394,0.024529,0.504762
0.000,0.915703,0.990258,0.985830,0.974271,0.908913,0.745055,0.977351,0.787222,0.984762
0.000,0.046004,0.047920,0.547100,0.037001,0.029792,0.088156,0.191039,0.016543,0.504286
0.000,0.921100,0.969984,0.988454,0.970105,0.941636,0.713309,0.978828,0.815174,0.984762
0.000,0.048574,0.047920,0.551561,0.040431,0.051770,0.086203,0.202856,0.027952,0.474762
0.000,0.921871,0.981833,0.972711,0.982112,0.966300,0.722344,0.996061,0.794638,0.901429
0.000,0.050630,0.049500,0.548150,0.054643,0.033455,0.084982,0.207287,0.022248,0.507143
