time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.000000,0.025153,0.006121,0.000000,0.000488,0.000000,0.168067,0.024140,0.108190
0.000,0.000000,0.022955,0.000583,0.000000,0.000000,0.000000,0.155462,0.022085,0.106897
0.000,0.000000,0.025397,0.008161,0.000488,0.000000,0.000000,0.162185,0.022599,0.106466
0.000,0.000000,0.022711,0.001166,0.000000,0.000000,0.000000,0.156723,0.024653,0.107328
0.000,0.000000,0.025153,0.008452,0.000000,0.000000,0.000000,0.163445,0.025167,0.109914
0.000,0.000000,0.023687,0.000583,0.000000,0.000000,0.000000,0.154622,0.022085,0.106897
0.000,0.000000,0.025153,0.005829,0.002930,0.000000,0.000000,0.163866,0.025681,0.108190
0.000,0.000000,0.022466,0.000291,0.000000,0.000000,0.000000,0.154622,0.031844,0.107328
0.000,0.000000,0.026129,0.007869,0.000000,0.001709,0.000000,0.164706,0.032357,0.106897
0.000,0.000000,0.024176,0.000000,0.000000,0.000000,0.000000,0.155042,0.021572,0.106466
0.000,0.000000,0.024420,0.005829,0.000000,0.000000,0.000000,0.162185,0.024140,0.107328
0.000,0.000000,0.024176,0.001166,0.000000,0.000000,0.000000,0.160504,0.025681,0.106466
0.000,0.000000,0.025153,0.005538,0.000000,0.002442,0.000000,0.162185,0.024653,0.108190
0.000,0.000000,0.023687,0.001457,0.000000,0.000000,0.000000,0.155042,0.024653,0.105603
0.000,0.000000,0.025641,0.007287,0.000000,0.000000,0.000000,0.162185,0.025681,0.108621
0.000,0.000000,0.024664,0.001166,0.000000,0.000000,0.000000,0.156723,0.022599,0.106466
0.000,0.000000,0.025153,0.007869,0.000000,0.000000,0.000000,0.162185,0.026708,0.107328
0.000,0.000000,0.023687,0.000291,0.000000,0.000000,0.008059,0.159664,0.023626,0.105172
0.000,0.000000,0.025641,0.006412,0.000000,0.000000,0.000000,0.166807,0.030817,0.108190
0.000,0.000000,0.023687,0.000291,0.000000,0.000000,0.000000,0.159244,0.027221,0.106897
0.000,0.000000,0.026129,0.007287,0.000000,0.000000,0.000000,0.163866,0.033898,0.108621
0.000,0.000000,0.024908,0.001457,0.000000,0.000000,0.000000,0.155042,0.022085,0.107759
0.000,0.000000,0.025153,0.007287,0.000000,0.000000,0.006838,0.163025,0.024653,0.109052
0.000,0.000000,0.024176,0.000000,0.000000,0.000000,0.000000,0.160084,0.021058,0.106897
0.000,0.000000,0.025641,0.006995,0.000000,0.044933,0.000000,0.163445,0.025167,0.107328
0.000,0.000000,0.024664,0.000874,0.000488,0.000000,0.000000,0.159664,0.028249,0.106897
0.000,0.000000,0.025641,0.007287,0.000000,0.000000,0.000000,0.159664,0.023626,0.108190
0.000,0.000000,0.024176,0.000874,0.000000,0.000000,0.000000,0.153361,0.025681,0.106466
0.000,0.000000,0.025153,0.008452,0.000000,0.000000,0.000000,0.161765,0.025681,0.105603
0.000,0.000000,0.022955,0.000583,0.000000,0.000000,0.000000,0.155462,0.026708,0.106034
0.000,0.000000,0.025885,0.006121,0.000000,0.000000,0.000000,0.157983,0.032357,0.107328
0.000,0.000000,0.022222,0.002040,0.000000,0.000000,0.000000,0.152941,0.024140,0.106897
0.000,0.000000,0.023687,0.007869,0.000000,0.000000,0.000000,0.152101,0.024653,0.107759
0.000,0.008059,0.024664,0.130283,0.000000,0.000000,0.000000,0.069328,0.000000,0.101293
0.000,0.951893,1.000000,1.000000,1.000000,1.000000,1.000000,0.978992,0.900873,0.884914
0.000,0.000000,0.022466,0.524920,0.014652,0.000000,0.020269,0.200840,0.117103,0.348276
0.000,0.986325,1.000000,1.000000,1.000000,1.000000,1.000000,0.973109,1.000000,0.894397
0.000,0.015629,0.028083,0.519091,0.042735,0.031990,0.012210,0.166387,0.042116,0.436638
0.000,0.982418,1.000000,1.000000,1.000000,1.000000,1.000000,0.978992,0.864920,0.939224
0.000,0.008059,0.025397,0.515302,0.000000,0.007570,0.000000,0.145378,0.044684,0.490948
0.000,0.978755,1.000000,1.000000,1.000000,1.000000,1.000000,0.959664,0.874165,0.893966
0.000,0.001465,0.021245,0.526960,0.002930,0.012454,0.000000,0.126471,0.051361,0.410776
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.986975,0.900360,0.871121
0.000,0.000000,0.014164,0.501603,0.001221,0.003907,0.000000,0.110084,0.009759,0.389655
0.000,0.000000,0.016850,0.219178,0.000000,0.000000,0.000000,0.000000,0.010272,0.000000
0.000,0.000000,0.016361,0.391723,0.000000,0.000000,0.026374,0.125210,0.034412,0.381466
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.996639,0.906523,0.858621
0.000,0.000000,0.014164,0.508890,0.010745,0.000000,0.002198,0.113445,0.052388,0.503448
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.909890,0.972689,0.872625,0.940086
0.000,0.003907,0.017338,0.505101,0.000000,0.000000,0.002198,0.100420,0.027735,0.403879
0.000,1.000000,1.000000,1.000000,1.000000,0.993162,1.000000,0.960504,0.870570,0.860345
0.000,0.000000,0.012454,0.512970,0.000000,0.000000,0.012943,0.100840,0.042116,0.404741
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.931624,0.970588,0.902928,0.943103
0.000,0.000000,0.031013,0.519091,0.012454,0.005372,0.000000,0.093277,0.038007,0.427586
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.974370,0.880329,0.908190
0.000,0.000000,0.018071,0.510347,0.000000,0.002442,0.000000,0.094538,0.034926,0.378879
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.968908,0.893169,0.878017
0.000,0.000000,0.029548,0.512679,0.000000,0.010501,0.003907,0.084874,0.094504,0.447845
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.985714,0.925526,0.886638
0.000,0.000000,0.019536,0.512096,0.000000,0.000000,0.000000,0.091176,0.058552,0.410345
0.000,1.000000,1.000000,1.000000,1.000000,0.987302,1.000000,0.967227,0.944530,0.894828
0.000,0.000000,0.017338,0.510930,0.014896,0.000000,0.007326,0.088655,0.056497,0.418966
0.000,1.000000,1.000000,1.000000,1.000000,0.989255,1.000000,0.966387,0.907036,0.868103
0.000,0.000000,0.017827,0.515593,0.041270,0.038828,0.021490,0.092857,0.078069,0.431034
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999160,0.905496,1.000000
0.000,0.000000,0.019292,0.503352,0.000000,0.001954,0.000000,0.082353,0.034926,0.483190
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,0.981929,0.950000,0.834104,0.859052
0.000,0.000000,0.014164,0.503352,0.002198,0.010501,0.000000,0.074790,0.042116,0.433621
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.969328,0.886492,0.853017
0.000,0.000000,0.015385,0.507432,0.000000,0.000000,0.000000,0.097899,0.057524,0.387500
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953782,0.879301,0.899138
0.000,0.000000,0.017338,0.503935,0.007082,0.000000,0.006105,0.090756,0.026708,0.406897
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984034,0.919363,0.859914
0.000,0.000000,0.014896,0.485864,0.000000,0.000000,0.000000,0.055462,0.054443,0.383190
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.980252,0.933231,0.879310
0.000,0.000000,0.008791,0.484698,0.000000,0.000000,0.000000,0.059244,0.024653,0.384914
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.980672,0.909091,0.872414
