time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,0.031395,0.046462,0.555385,0.049573,0.033455,0.041431,0.211248,0.052495,0.454848
0.000,0.960885,0.971696,0.979071,1.000000,0.925031,0.962429,0.986740,0.839922,0.924905
0.000,0.041688,0.049399,0.561511,0.046642,0.041758,0.039372,0.204847,0.052495,0.516160
0.000,0.923057,0.959146,0.978560,0.906471,0.907937,0.941585,0.969364,0.830201,0.923004
0.000,0.021873,0.053138,0.561511,0.018315,0.028571,0.030108,0.210334,0.050551,0.492395
0.000,0.937468,0.949800,0.986728,0.946276,0.886691,0.944159,1.000000,0.826312,0.998574
0.000,0.034483,0.044326,0.565595,0.040293,0.034188,0.038857,0.208048,0.047959,0.407795
0.000,0.950335,0.942857,0.986217,0.923810,0.921856,0.949820,0.982625,0.829553,0.919677
0.000,0.041945,0.043792,0.569678,0.039560,0.046642,0.053525,0.212163,0.054439,0.517586
0.000,0.934122,0.944993,0.979581,0.888156,0.910134,1.000000,0.973022,1.000000,1.000000
0.000,0.030623,0.039252,0.558703,0.036874,0.035165,0.030623,0.212620,0.057680,0.525190
0.000,0.928461,0.928705,0.982134,0.903297,0.902808,0.952393,0.981253,0.834089,0.999049
0.000,0.032167,0.040854,0.567637,0.000000,0.045665,0.000000,0.204847,0.055087,0.485266
0.000,0.954195,0.944993,0.981879,0.919902,0.921612,0.927174,0.970279,0.792612,0.913498
0.000,0.035769,0.046996,0.567637,0.052747,0.054945,0.046835,0.209419,0.054439,0.517110
0.000,0.923057,0.928171,0.981113,0.897924,0.901343,0.945445,0.960219,0.892417,0.867395
0.000,0.038343,0.036048,0.569168,0.033944,0.024420,0.030623,0.217193,0.039533,0.495247
0.000,0.891662,0.896929,0.979071,0.861294,0.856410,0.924601,0.980338,0.835386,0.920152
0.000,0.030880,0.043525,0.568147,0.042247,0.024176,0.058672,0.232282,0.051199,0.485266
0.000,0.824498,0.936449,0.974222,0.971184,0.905250,0.976583,0.984911,0.802981,0.911122
