time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,4233.000000,719.000000,1.000000,0.000000,4095.000000,559.000000,3657.000000,72.000000,504.000000
0.000,4234.000000,736.000000,5.000000,0.000000,4095.000000,587.000000,3609.000000,73.000000,525.000000
0.000,4235.000000,733.000000,0.000000,0.000000,4095.000000,521.000000,3613.000000,78.000000,487.000000
0.000,4236.000000,713.000000,0.000000,0.000000,4095.000000,545.000000,3645.000000,75.000000,455.000000
0.000,4237.000000,736.000000,7.000000,0.000000,4095.000000,557.000000,3675.000000,69.000000,506.000000
0.000,4238.000000,711.000000,4.000000,0.000000,4095.000000,616.000000,3678.000000,80.000000,507.000000
0.000,4239.000000,713.000000,0.000000,0.000000,4095.000000,673.000000,3640.000000,76.000000,535.000000
0.000,4240.000000,719.000000,0.000000,0.000000,4095.000000,692.000000,3632.000000,77.000000,512.000000
0.000,4241.000000,731.000000,0.000000,0.000000,4095.000000,700.000000,3646.000000,72.000000,545.000000
0.000,4242.000000,730.000000,0.000000,0.000000,4095.000000,620.000000,3616.000000,79.000000,539.000000
0.000,4243.000000,733.000000,5.000000,0.000000,4095.000000,721.000000,3647.000000,80.000000,535.000000
0.000,4244.000000,752.000000,7.000000,0.000000,4095.000000,667.000000,3574.000000,75.000000,530.000000
0.000,4245.000000,733.000000,0.000000,0.000000,4095.000000,683.000000,3653.000000,77.000000,540.000000
0.000,4246.000000,800.000000,6.000000,0.000000,4095.000000,680.000000,3641.000000,80.000000,581.000000
0.000,4247.000000,744.000000,0.000000,0.000000,4095.000000,679.000000,3632.000000,77.000000,549.000000
0.000,4248.000000,704.000000,0.000000,0.000000,4095.000000,523.000000,3633.000000,73.000000,506.000000
0.000,4249.000000,737.000000,7.000000,0.000000,4095.000000,568.000000,3645.000000,75.000000,516.000000
0.000,4250.000000,771.000000,0.000000,0.000000,4095.000000,617.000000,3667.000000,80.000000,533.000000
0.000,4251.000000,701.000000,0.000000,0.000000,4095.000000,665.000000,3655.000000,79.000000,534.000000
0.000,4252.000000,820.000000,6.000000,0.000000,4095.000000,736.000000,3692.000000,77.000000,584.000000
0.000,4253.000000,799.000000,1.000000,0.000000,4095.000000,669.000000,3654.000000,81.000000,624.000000
0.000,4254.000000,867.000000,0.000000,0.000000,4095.000000,955.000000,3699.000000,75.000000,667.000000
0.000,4255.000000,1239.000000,5.000000,0.000000,1527.000000,1160.000000,3735.000000,88.000000,907.000000
0.000,4256.000000,1701.000000,25.000000,0.000000,4095.000000,1504.000000,3767.000000,79.000000,12.000000
0.000,4257.000000,1568.000000,16.000000,0.000000,1803.000000,1407.000000,3847.000000,80.000000,1001.000000
0.000,4258.000000,1943.000000,35.000000,0.000000,4095.000000,3033.000000,3482.000000,73.000000,1510.000000
0.000,4259.000000,1809.000000,26.000000,0.000000,2007.000000,1807.000000,3837.000000,78.000000,1517.000000
0.000,4260.000000,2236.000000,39.000000,0.000000,2467.000000,3113.000000,3562.000000,75.000000,1965.000000
0.000,4261.000000,2028.000000,56.000000,0.000000,2231.000000,3285.000000,3519.000000,51.000000,1379.000000
0.000,4262.000000,2173.000000,43.000000,0.000000,2589.000000,3741.000000,2997.000000,83.000000,1725.000000
0.000,4263.000000,2196.000000,31.000000,0.000000,2431.000000,3313.000000,3527.000000,77.000000,1943.000000
0.000,4264.000000,2168.000000,41.000000,0.000000,2469.000000,3127.000000,3465.000000,78.000000,1931.000000
0.000,4265.000000,2057.000000,33.000000,0.000000,2309.000000,2475.000000,3659.000000,73.000000,1767.000000
0.000,4266.000000,1262.000000,13.000000,0.000000,2087.000000,1903.000000,3567.000000,80.000000,1417.000000
0.000,4267.000000,872.000000,6.000000,0.000000,2109.000000,1842.000000,3735.000000,79.000000,1375.000000
0.000,4268.000000,1029.000000,18.000000,0.000000,2119.000000,1900.000000,3421.000000,72.000000,1225.000000
0.000,4269.000000,820.000000,9.000000,0.000000,1999.000000,1702.000000,3800.000000,85.000000,1279.000000
0.000,4270.000000,864.000000,1.000000,0.000000,1952.000000,1688.000000,3809.000000,88.000000,1265.000000
0.000,4271.000000,1039.000000,13.000000,0.000000,1984.000000,1705.000000,3795.000000,85.000000,1309.000000
0.000,4272.000000,1151.000000,16.000000,0.000000,1981.000000,1721.000000,3804.000000,83.000000,1440.000000
0.000,4273.000000,812.000000,4.000000,0.000000,1943.000000,1671.000000,3833.000000,87.000000,1328.000000
0.000,4274.000000,877.000000,18.000000,0.000000,1959.000000,1693.000000,3648.000000,80.000000,1332.000000
