time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,5353.000000,983.000000,9.000000,0.000000,4095.000000,2552.000000,1269.000000,1.000000,0.000000
0.000,5354.000000,931.000000,24.000000,0.000000,4095.000000,2540.000000,1272.000000,3.000000,0.000000
0.000,5355.000000,935.000000,18.000000,0.000000,4095.000000,2567.000000,1231.000000,4.000000,0.000000
0.000,5356.000000,949.000000,4.000000,0.000000,4095.000000,2555.000000,1239.000000,10.000000,0.000000
0.000,5357.000000,963.000000,10.000000,0.000000,4095.000000,2579.000000,1236.000000,4.000000,0.000000
0.000,5358.000000,976.000000,8.000000,0.000000,4095.000000,2481.000000,1256.000000,1.000000,0.000000
0.000,5359.000000,948.000000,22.000000,0.000000,4095.000000,2557.000000,1861.000000,25.000000,0.000000
0.000,5360.000000,958.000000,9.000000,0.000000,4095.000000,2549.000000,1811.000000,33.000000,0.000000
0.000,5361.000000,973.000000,8.000000,0.000000,4095.000000,2408.000000,1167.000000,5.000000,730.000000
0.000,5362.000000,1012.000000,9.000000,0.000000,4095.000000,2329.000000,1190.000000,0.000000,728.000000
0.000,5363.000000,1029.000000,9.000000,0.000000,4095.000000,2321.000000,1324.000000,3.000000,719.000000
0.000,5364.000000,1170.000000,17.000000,0.000000,1097.000000,2325.000000,1356.000000,8.000000,0.000000
0.000,5365.000000,1257.000000,23.000000,0.000000,1242.000000,2645.000000,1323.000000,8.000000,0.000000
0.000,5366.000000,290.000000,12.000000,0.000000,829.000000,1853.000000,1843.000000,28.000000,0.000000
0.000,5367.000000,216.000000,0.000000,0.000000,940.000000,1822.000000,1835.000000,25.000000,5.000000
0.000,5368.000000,388.000000,19.000000,0.000000,865.000000,1755.000000,1821.000000,31.000000,0.000000
0.000,5369.000000,1029.000000,0.000000,1.000000,3928.000000,1505.000000,1825.000000,16.000000,0.000000
0.000,5370.000000,157.000000,2.000000,0.000000,455.000000,459.000000,1839.000000,23.000000,0.000000
0.000,5371.000000,629.000000,2.000000,0.000000,3968.000000,3455.000000,3328.000000,69.000000,0.000000
0.000,5372.000000,942.000000,12.000000,0.000000,4095.000000,3211.000000,3675.000000,86.000000,0.000000
0.000,5373.000000,744.000000,4.000000,0.000000,4095.000000,3759.000000,1919.000000,18.000000,0.000000
0.000,5374.000000,682.000000,2.000000,0.000000,3579.000000,1072.000000,1824.000000,27.000000,0.000000
0.000,5375.000000,932.000000,0.000000,0.000000,4095.000000,3592.000000,3673.000000,73.000000,0.000000
0.000,5376.000000,1049.000000,6.000000,0.000000,4095.000000,3630.000000,3701.000000,80.000000,0.000000
0.000,5377.000000,1018.000000,16.000000,0.000000,4095.000000,3638.000000,3754.000000,74.000000,0.000000
0.000,5378.000000,1115.000000,5.000000,0.000000,4095.000000,3636.000000,3720.000000,81.000000,0.000000
0.000,5379.000000,1072.000000,7.000000,0.000000,4095.000000,3652.000000,3750.000000,72.000000,0.000000
0.000,5380.000000,1013.000000,5.000000,0.000000,4095.000000,3676.000000,3791.000000,75.000000,0.000000
0.000,5381.000000,977.000000,9.000000,0.000000,4095.000000,3666.000000,3770.000000,81.000000,0.000000
0.000,5382.000000,985.000000,7.000000,0.000000,4095.000000,3617.000000,3752.000000,84.000000,0.000000
0.000,5383.000000,1031.000000,9.000000,0.000000,4095.000000,3461.000000,3479.000000,73.000000,2015.000000
0.000,5384.000000,1051.000000,6.000000,0.000000,4095.000000,3473.000000,3223.000000,65.000000,1984.000000
0.000,5385.000000,889.000000,34.000000,0.000000,3424.000000,1642.000000,1824.000000,23.000000,1241.000000
0.000,5386.000000,789.000000,8.000000,0.000000,4095.000000,3409.000000,1893.000000,33.000000,1646.000000
0.000,5387.000000,757.000000,0.000000,0.000000,4095.000000,3437.000000,1901.000000,35.000000,1582.000000
0.000,5388.000000,1593.000000,23.000000,0.000000,3578.000000,1594.000000,1831.000000,25.000000,0.000000
0.000,5389.000000,1641.000000,28.000000,0.000000,3449.000000,1592.000000,1851.000000,27.000000,0.000000
0.000,5390.000000,1629.000000,34.000000,0.000000,4095.000000,3573.000000,1893.000000,29.000000,0.000000
0.000,5391.000000,1496.000000,28.000000,0.000000,4095.000000,3623.000000,1893.000000,26.000000,0.000000
0.000,5392.000000,1441.000000,16.000000,0.000000,4095.000000,3639.000000,1888.000000,26.000000,0.000000
0.000,5393.000000,1833.000000,37.000000,0.000000,4095.000000,2941.000000,1885.000000,26.000000,0.000000
0.000,5394.000000,1528.000000,21.000000,0.000000,4095.000000,3549.000000,1888.000000,26.000000,0.000000
0.000,5395.000000,1685.000000,29.000000,0.000000,4095.000000,3599.000000,1908.000000,26.000000,0.000000
0.000,5396.000000,1787.000000,20.000000,0.000000,3488.000000,3187.000000,1887.000000,24.000000,0.000000
0.000,5397.000000,1669.000000,30.000000,0.000000,4095.000000,3629.000000,1894.000000,27.000000,0.000000
0.000,5398.000000,1672.000000,33.000000,0.000000,4095.000000,3592.000000,1911.000000,26.000000,0.000000
0.000,5399.000000,1719.000000,29.000000,0.000000,4095.000000,3603.000000,1896.000000,29.000000,0.000000
0.000,5400.000000,1631.000000,35.000000,0.000000,4095.000000,3608.000000,1914.000000,29.000000,0.000000
0.000,5401.000000,1588.000000,38.000000,0.000000,4095.000000,3652.000000,1917.000000,21.000000,0.000000
0.000,5402.000000,1565.000000,33.000000,0.000000,4095.000000,3633.000000,1884.000000,29.000000,0.000000
0.000,5403.000000,1621.000000,33.000000,0.000000,4095.000000,3667.000000,1913.000000,25.000000,0.000000
0.000,5404.000000,1612.000000,29.000000,0.000000,4095.000000,3624.000000,1929.000000,33.000000,0.000000
0.000,5405.000000,1570.000000,25.000000,0.000000,4095.000000,3641.000000,1913.000000,29.000000,0.000000
0.000,5406.000000,1587.000000,26.000000,0.000000,4095.000000,3632.000000,1892.000000,27.000000,0.000000
0.000,5407.000000,1525.000000,25.000000,0.000000,4095.000000,3613.000000,1895.000000,24.000000,0.000000
0.000,5408.000000,1479.000000,26.000000,0.000000,4095.000000,3613.000000,1892.000000,28.000000,0.000000
0.000,5409.000000,1543.000000,33.000000,0.000000,4095.000000,3596.000000,1901.000000,25.000000,0.000000
0.000,5410.000000,2008.000000,40.000000,0.000000,4092.000000,3476.000000,3700.000000,81.000000,0.000000
0.000,5411.000000,2063.000000,51.000000,0.000000,4095.000000,3547.000000,3821.000000,77.000000,0.000000
0.000,5412.000000,2078.000000,48.000000,0.000000,4095.000000,3549.000000,3801.000000,80.000000,0.000000
0.000,5413.000000,2011.000000,43.000000,0.000000,4095.000000,3576.000000,3851.000000,89.000000,0.000000
0.000,5414.000000,2013.000000,37.000000,0.000000,4095.000000,3565.000000,3854.000000,83.000000,0.000000
0.000,5415.000000,2045.000000,35.000000,0.000000,4095.000000,3567.000000,3827.000000,87.000000,0.000000
0.000,5416.000000,1994.000000,37.000000,0.000000,4095.000000,3568.000000,3813.000000,77.000000,0.000000
0.000,5417.000000,1638.000000,24.000000,0.000000,4095.000000,3624.000000,1888.000000,28.000000,0.000000
0.000,5418.000000,1440.000000,21.000000,0.000000,4095.000000,1302.000000,1818.000000,26.000000,0.000000
0.000,5419.000000,1468.000000,25.000000,0.000000,4095.000000,3540.000000,1911.000000,31.000000,0.000000
0.000,5420.000000,1532.000000,28.000000,0.000000,4095.000000,3612.000000,1920.000000,29.000000,0.000000
0.000,5421.000000,2159.000000,41.000000,0.000000,4095.000000,3527.000000,3558.000000,71.000000,0.000000
0.000,5422.000000,2059.000000,47.000000,0.000000,4095.000000,3543.000000,3776.000000,83.000000,0.000000
0.000,5423.000000,2080.000000,30.000000,0.000000,4095.000000,3544.000000,3776.000000,73.000000,0.000000
0.000,5424.000000,2016.000000,30.000000,0.000000,4095.000000,3545.000000,3752.000000,83.000000,0.000000
0.000,5425.000000,2031.000000,30.000000,0.000000,4095.000000,3563.000000,3772.000000,83.000000,0.000000
0.000,5426.000000,2027.000000,45.000000,0.000000,4095.000000,3549.000000,3718.000000,81.000000,0.000000
0.000,5427.000000,2041.000000,53.000000,0.000000,4095.000000,3576.000000,3788.000000,85.000000,0.000000
0.000,5428.000000,2019.000000,45.000000,0.000000,4095.000000,3577.000000,3837.000000,82.000000,0.000000
0.000,5429.000000,2109.000000,39.000000,0.000000,4095.000000,3592.000000,3858.000000,87.000000,0.000000
0.000,5430.000000,2057.000000,52.000000,0.000000,4095.000000,3577.000000,3835.000000,83.000000,0.000000
0.000,5431.000000,2078.000000,39.000000,0.000000,4095.000000,3591.000000,3840.000000,81.000000,0.000000
0.000,5432.000000,2109.000000,44.000000,0.000000,4095.000000,3561.000000,3852.000000,83.000000,0.000000
0.025,5433.000000,1737.000000,26.000000,0.000000,4095.000000,3680.000000,1899.000000,22.000000,0.000000
0.076,5434.000000,1861.000000,9.000000,0.000000,4095.000000,3616.000000,1873.000000,27.000000,0.000000
0.127,5435.000000,2071.000000,37.000000,0.000000,4037.000000,3335.000000,3813.000000,85.000000,0.000000
0.178,5436.000000,2344.000000,45.000000,0.000000,4095.000000,3555.000000,3805.000000,75.000000,0.000000
0.229,5437.000000,3129.000000,87.000000,0.000000,3576.000000,3751.000000,1551.000000,0.000000,519.000000
0.280,5438.000000,2715.000000,33.000000,0.000000,4095.000000,1001.000000,1805.000000,22.000000,606.000000
0.331,5439.000000,1123.000000,11.000000,0.000000,1216.000000,857.000000,1840.000000,28.000000,616.000000
