time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,7312.000000,800.000000,1.000000,0.000000,717.000000,991.000000,3708.000000,77.000000,617.000000
0.000,7313.000000,795.000000,0.000000,0.000000,695.000000,996.000000,3690.000000,83.000000,608.000000
0.000,7314.000000,773.000000,0.000000,0.000000,680.000000,987.000000,3707.000000,81.000000,601.000000
0.000,7315.000000,363.000000,0.000000,0.000000,691.000000,960.000000,3703.000000,75.000000,523.000000
0.000,7316.000000,841.000000,0.000000,0.000000,760.000000,1055.000000,3711.000000,79.000000,483.000000
0.000,7317.000000,821.000000,5.000000,0.000000,766.000000,1053.000000,3744.000000,83.000000,556.000000
0.000,7318.000000,809.000000,7.000000,0.000000,688.000000,980.000000,3723.000000,83.000000,422.000000
0.000,7319.000000,771.000000,0.000000,0.000000,751.000000,989.000000,3695.000000,76.000000,446.000000
0.000,7320.000000,329.000000,0.000000,0.000000,746.000000,1005.000000,3736.000000,85.000000,487.000000
0.000,7321.000000,3531.000000,97.000000,2.000000,3692.000000,3742.000000,1817.000000,0.000000,467.000000
0.000,7322.000000,1084.000000,37.000000,0.000000,1808.000000,2013.000000,3005.000000,38.000000,560.000000
0.000,7323.000000,807.000000,0.000000,0.000000,944.000000,1076.000000,3707.000000,85.000000,615.000000
0.000,7324.000000,3467.000000,97.000000,0.000000,3517.000000,3500.000000,376.000000,0.000000,123.000000
0.000,7325.000000,3725.000000,99.000000,1.000000,3765.000000,3757.000000,949.000000,0.000000,341.000000
0.000,7326.000000,3690.000000,100.000000,0.000000,3818.000000,3852.000000,1452.000000,0.000000,555.000000
0.000,7327.000000,788.000000,5.000000,0.000000,1228.000000,1051.000000,3681.000000,80.000000,610.000000
0.000,7328.000000,951.000000,4.000000,0.000000,1525.000000,1212.000000,3688.000000,75.000000,744.000000
0.000,7329.000000,3123.000000,83.000000,0.000000,3373.000000,3464.000000,848.000000,0.000000,239.000000
0.000,7330.000000,3451.000000,89.000000,0.000000,3744.000000,3800.000000,1115.000000,0.000000,271.000000
0.000,7331.000000,1376.000000,20.000000,4.000000,2401.000000,2195.000000,4095.000000,97.000000,125.000000
0.000,7332.000000,1483.000000,18.000000,0.000000,1657.000000,1317.000000,3820.000000,87.000000,0.000000
0.000,7333.000000,1555.000000,16.000000,0.000000,1957.000000,1587.000000,3884.000000,86.000000,0.000000
0.000,7334.000000,529.000000,6.000000,0.000000,1909.000000,1495.000000,3787.000000,85.000000,153.000000
0.000,7335.000000,523.000000,0.000000,0.000000,1946.000000,1576.000000,3928.000000,85.000000,0.000000
0.000,7336.000000,657.000000,4.000000,0.000000,1947.000000,1589.000000,3781.000000,85.000000,345.000000
0.000,7337.000000,689.000000,1.000000,0.000000,1974.000000,1629.000000,3859.000000,83.000000,352.000000
0.000,7338.000000,522.000000,0.000000,0.000000,1889.000000,1603.000000,3950.000000,90.000000,0.000000
0.000,7339.000000,553.000000,0.000000,0.000000,1941.000000,1670.000000,3915.000000,83.000000,0.000000
0.000,7340.000000,671.000000,0.000000,0.000000,1977.000000,1613.000000,3929.000000,91.000000,0.000000
0.000,7341.000000,699.000000,1.000000,0.000000,2007.000000,1657.000000,3952.000000,89.000000,0.000000
0.000,7342.000000,703.000000,6.000000,0.000000,1968.000000,1579.000000,3937.000000,87.000000,0.000000
0.000,7343.000000,713.000000,5.000000,0.000000,1978.000000,1659.000000,3936.000000,83.000000,0.000000
0.000,7344.000000,1368.000000,21.000000,0.000000,2475.000000,2328.000000,4095.000000,97.000000,55.000000
0.000,7345.000000,1510.000000,26.000000,0.000000,2600.000000,2451.000000,4076.000000,92.000000,0.000000
0.000,7346.000000,1559.000000,24.000000,0.000000,2665.000000,2501.000000,4084.000000,89.000000,3.000000
0.000,7347.000000,1392.000000,30.000000,0.000000,2523.000000,2325.000000,4087.000000,91.000000,11.000000
0.000,7348.000000,1451.000000,26.000000,0.000000,2575.000000,2417.000000,4089.000000,93.000000,0.000000
0.000,7349.000000,2489.000000,53.000000,0.000000,2739.000000,2580.000000,4095.000000,87.000000,0.000000
0.000,7350.000000,1907.000000,26.000000,0.000000,1895.000000,1413.000000,3745.000000,79.000000,0.000000
0.000,7351.000000,2627.000000,61.000000,0.000000,2908.000000,2721.000000,4095.000000,99.000000,0.000000
0.000,7352.000000,2575.000000,55.000000,0.000000,2876.000000,2739.000000,4077.000000,92.000000,0.000000
0.000,7353.000000,2527.000000,55.000000,0.000000,2860.000000,2772.000000,4095.000000,88.000000,33.000000
0.000,7354.000000,1383.000000,26.000000,0.000000,2520.000000,2383.000000,4095.000000,89.000000,0.000000
0.000,7355.000000,2503.000000,69.000000,0.000000,2871.000000,2769.000000,4095.000000,88.000000,6.000000
0.000,7356.000000,2600.000000,67.000000,1.000000,2963.000000,2847.000000,4095.000000,99.000000,0.000000
0.000,7357.000000,2706.000000,55.000000,0.000000,2944.000000,2845.000000,4095.000000,90.000000,0.000000
0.000,7358.000000,2344.000000,47.000000,0.000000,2695.000000,2487.000000,4095.000000,92.000000,0.000000
0.000,7359.000000,2279.000000,41.000000,0.000000,2603.000000,2403.000000,4076.000000,87.000000,0.000000
0.000,7360.000000,457.000000,0.000000,0.000000,1587.000000,1144.000000,3820.000000,75.000000,0.000000
0.000,7361.000000,479.000000,0.000000,0.000000,1658.000000,1357.000000,3903.000000,83.000000,0.000000
0.000,7362.000000,596.000000,0.000000,0.000000,1741.000000,1424.000000,3909.000000,95.000000,0.000000
0.000,7363.000000,1381.000000,20.000000,0.000000,1869.000000,1566.000000,3899.000000,91.000000,0.000000
0.000,7364.000000,1434.000000,18.000000,0.000000,1903.000000,1620.000000,3914.000000,91.000000,0.000000
0.000,7365.000000,1440.000000,24.000000,0.000000,1911.000000,1580.000000,3869.000000,85.000000,0.000000
0.000,7366.000000,1518.000000,26.000000,0.000000,1945.000000,1639.000000,3835.000000,83.000000,0.000000
0.000,7367.000000,1639.000000,29.000000,2.000000,2248.000000,2009.000000,4095.000000,90.000000,0.000000
0.000,7368.000000,1463.000000,18.000000,0.000000,1887.000000,1609.000000,3827.000000,88.000000,0.000000
0.000,7369.000000,1275.000000,8.000000,0.000000,1800.000000,1508.000000,3904.000000,78.000000,0.000000
0.000,7370.000000,1981.000000,34.000000,0.000000,3679.000000,3504.000000,4095.000000,97.000000,93.000000
0.000,7371.000000,1173.000000,19.000000,0.000000,2304.000000,2228.000000,4095.000000,91.000000,64.000000
0.000,7372.000000,735.000000,0.000000,4.000000,1885.000000,1733.000000,3899.000000,76.000000,0.000000
0.000,7373.000000,1815.000000,26.000000,0.000000,2085.000000,1752.000000,3933.000000,77.000000,0.000000
0.000,7374.000000,1253.000000,16.000000,0.000000,2458.000000,2408.000000,4095.000000,89.000000,0.000000
0.000,7375.000000,746.000000,6.000000,0.000000,1787.000000,1513.000000,3736.000000,73.000000,0.000000
0.000,7376.000000,1376.000000,25.000000,0.000000,2380.000000,2235.000000,4095.000000,88.000000,0.000000
0.000,7377.000000,1571.000000,18.000000,0.000000,4023.000000,3672.000000,4095.000000,97.000000,799.000000
0.000,7378.000000,1531.000000,32.000000,0.000000,3933.000000,3675.000000,4095.000000,95.000000,728.000000
0.000,7379.000000,1337.000000,18.000000,0.000000,3960.000000,3563.000000,4095.000000,97.000000,1024.000000
0.000,7380.000000,1514.000000,24.000000,0.000000,3986.000000,3612.000000,4095.000000,100.000000,1082.000000
0.000,7381.000000,1456.000000,27.000000,0.000000,3973.000000,3557.000000,4095.000000,95.000000,971.000000
0.000,7382.000000,3027.000000,80.000000,0.000000,4095.000000,3757.000000,4095.000000,106.000000,652.000000
0.000,7383.000000,1612.000000,18.000000,0.000000,4027.000000,3640.000000,4095.000000,97.000000,711.000000
0.000,7384.000000,1828.000000,110.000000,0.000000,4060.000000,3720.000000,4095.000000,99.000000,757.000000
0.000,7385.000000,2485.000000,58.000000,2.000000,2624.000000,2490.000000,4095.000000,93.000000,0.000000
0.000,7386.000000,2248.000000,74.000000,2.000000,3768.000000,3369.000000,4095.000000,96.000000,711.000000
0.000,7387.000000,875.000000,89.000000,0.000000,3476.000000,3416.000000,2137.000000,35.000000,549.000000
0.000,7388.000000,1873.000000,22.000000,0.000000,2921.000000,2373.000000,1807.000000,26.000000,2003.000000
0.000,7389.000000,1152.000000,12.000000,0.000000,1909.000000,1686.000000,1891.000000,23.000000,1335.000000
0.000,7390.000000,715.000000,5.000000,0.000000,1439.000000,1177.000000,1877.000000,25.000000,851.000000
0.000,7391.000000,1076.000000,0.000000,0.000000,1851.000000,1559.000000,3407.000000,72.000000,1075.000000
0.000,7392.000000,283.000000,0.000000,0.000000,1799.000000,1397.000000,4095.000000,92.000000,0.000000
0.026,7393.000000,725.000000,0.000000,0.000000,1781.000000,1431.000000,3548.000000,71.000000,599.000000
0.077,7394.000000,1523.000000,43.000000,0.000000,2035.000000,1664.000000,3467.000000,77.000000,579.000000
0.128,7395.000000,475.000000,1.000000,0.000000,1616.000000,1293.000000,3627.000000,75.000000,440.000000
0.179,7396.000000,414.000000,0.000000,0.000000,1413.000000,1103.000000,3809.000000,86.000000,420.000000
0.230,7397.000000,416.000000,0.000000,0.000000,1452.000000,1140.000000,3809.000000,77.000000,459.000000
0.281,7398.000000,320.000000,0.000000,0.000000,1331.000000,1019.000000,3847.000000,83.000000,0.000000
0.332,7399.000000,366.000000,12.000000,0.000000,1385.000000,1196.000000,3831.000000,82.000000,0.000000
0.383,7400.000000,334.000000,2.000000,0.000000,1495.000000,1200.000000,3864.000000,87.000000,0.000000
0.434,7401.000000,294.000000,0.000000,0.000000,1061.000000,1279.000000,3811.000000,80.000000,0.000000
0.485,7402.000000,276.000000,2.000000,0.000000,929.000000,979.000000,3819.000000,89.000000,0.000000
0.536,7403.000000,241.000000,0.000000,0.000000,915.000000,969.000000,3785.000000,75.000000,0.000000
0.587,7404.000000,243.000000,0.000000,0.000000,932.000000,975.000000,3765.000000,77.000000,0.000000
0.638,7405.000000,268.000000,4.000000,0.000000,953.000000,969.000000,3748.000000,77.000000,0.000000
0.689,7406.000000,295.000000,0.000000,0.000000,873.000000,969.000000,3745.000000,75.000000,0.000000
0.740,7407.000000,229.000000,0.000000,0.000000,879.000000,951.000000,3820.000000,91.000000,0.000000
0.791,7408.000000,247.000000,0.000000,0.000000,905.000000,953.000000,3799.000000,87.000000,0.000000
0.842,7409.000000,266.000000,2.000000,0.000000,868.000000,953.000000,3803.000000,87.000000,0.000000
0.893,7410.000000,285.000000,0.000000,0.000000,902.000000,963.000000,3805.000000,74.000000,0.000000
0.944,7411.000000,293.000000,0.000000,0.000000,941.000000,991.000000,3775.000000,77.000000,0.000000
0.995,7412.000000,251.000000,0.000000,0.000000,869.000000,949.000000,3856.000000,79.000000,0.000000
1.046,7413.000000,252.000000,0.000000,0.000000,1064.000000,978.000000,3816.000000,83.000000,0.000000
1.097,7414.000000,245.000000,0.000000,0.000000,1053.000000,931.000000,3874.000000,75.000000,0.000000
1.148,7415.000000,314.000000,0.000000,0.000000,965.000000,1088.000000,3853.000000,79.000000,0.000000
1.199,7416.000000,301.000000,0.000000,0.000000,679.000000,1056.000000,3944.000000,88.000000,0.000000
1.250,7417.000000,276.000000,0.000000,0.000000,704.000000,1035.000000,3877.000000,81.000000,0.000000
1.301,7418.000000,332.000000,0.000000,0.000000,869.000000,1073.000000,3824.000000,75.000000,0.000000
1.352,7419.000000,326.000000,16.000000,0.000000,744.000000,1174.000000,3665.000000,73.000000,0.000000
1.403,7420.000000,377.000000,0.000000,0.000000,995.000000,1142.000000,3743.000000,80.000000,0.000000
1.454,7421.000000,368.000000,3.000000,0.000000,1088.000000,1173.000000,3789.000000,73.000000,0.000000
1.505,7422.000000,418.000000,0.000000,0.000000,937.000000,1129.000000,3564.000000,68.000000,571.000000
1.556,7423.000000,384.000000,2.000000,0.000000,903.000000,1059.000000,3623.000000,71.000000,521.000000
1.607,7424.000000,395.000000,4.000000,0.000000,693.000000,1059.000000,3632.000000,73.000000,504.000000
1.658,7425.000000,446.000000,1.000000,0.000000,729.000000,1117.000000,3487.000000,63.000000,485.000000
1.709,7426.000000,375.000000,0.000000,0.000000,651.000000,1039.000000,3622.000000,57.000000,455.000000
1.760,7427.000000,435.000000,0.000000,0.000000,688.000000,1137.000000,3420.000000,63.000000,573.000000
1.811,7428.000000,357.000000,0.000000,0.000000,605.000000,1033.000000,3545.000000,73.000000,381.000000
