time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,6892.000000,234.000000,0.000000,0.000000,1247.000000,1101.000000,3787.000000,74.000000,492.000000
0.000,6893.000000,208.000000,0.000000,0.000000,1253.000000,1143.000000,3776.000000,73.000000,491.000000
0.000,6894.000000,251.000000,0.000000,0.000000,1276.000000,1160.000000,3832.000000,87.000000,533.000000
0.000,6895.000000,203.000000,0.000000,0.000000,1243.000000,1121.000000,3799.000000,75.000000,552.000000
0.000,6896.000000,247.000000,0.000000,0.000000,1271.000000,1152.000000,3803.000000,80.000000,522.000000
0.000,6897.000000,223.000000,0.000000,0.000000,1304.000000,1156.000000,3816.000000,76.000000,591.000000
0.000,6898.000000,297.000000,0.000000,0.000000,1301.000000,1173.000000,3731.000000,81.000000,538.000000
0.000,6899.000000,219.000000,0.000000,0.000000,1280.000000,1159.000000,3771.000000,81.000000,553.000000
0.000,6900.000000,253.000000,0.000000,0.000000,1317.000000,1176.000000,3781.000000,85.000000,535.000000
0.000,6901.000000,246.000000,0.000000,0.000000,1841.000000,1228.000000,3727.000000,80.000000,627.000000
0.000,6902.000000,556.000000,0.000000,0.000000,2794.000000,1392.000000,3500.000000,42.000000,781.000000
0.000,6903.000000,1188.000000,8.000000,0.000000,1595.000000,1389.000000,3855.000000,80.000000,877.000000
0.000,6904.000000,625.000000,0.000000,0.000000,1621.000000,1449.000000,3450.000000,69.000000,684.000000
0.000,6905.000000,343.000000,0.000000,0.000000,1546.000000,1387.000000,3831.000000,83.000000,811.000000
0.000,6906.000000,1635.000000,45.000000,0.000000,1963.000000,1767.000000,3342.000000,58.000000,1048.000000
0.000,6907.000000,1785.000000,28.000000,0.000000,3149.000000,1971.000000,3732.000000,74.000000,0.000000
0.000,6908.000000,1819.000000,29.000000,0.000000,2979.000000,1861.000000,3511.000000,73.000000,1451.000000
0.000,6909.000000,1641.000000,25.000000,0.000000,2019.000000,1773.000000,3885.000000,80.000000,1405.000000
0.000,6910.000000,1937.000000,35.000000,0.000000,3292.000000,2017.000000,3347.000000,71.000000,1581.000000
0.000,6911.000000,1823.000000,28.000000,0.000000,3219.000000,1929.000000,3813.000000,81.000000,1459.000000
0.000,6912.000000,1719.000000,28.000000,0.000000,2015.000000,1804.000000,4007.000000,85.000000,1597.000000
0.000,6913.000000,1597.000000,28.000000,0.000000,1979.000000,1777.000000,3967.000000,85.000000,1512.000000
0.000,6914.000000,1585.000000,33.000000,0.000000,1865.000000,1751.000000,3980.000000,87.000000,1431.000000
0.000,6915.000000,1771.000000,26.000000,0.000000,1982.000000,1837.000000,3887.000000,83.000000,1505.000000
0.000,6916.000000,859.000000,48.000000,0.000000,1822.000000,1744.000000,4054.000000,93.000000,1416.000000
0.000,6917.000000,490.000000,1.000000,0.000000,1757.000000,1591.000000,4038.000000,87.000000,1240.000000
