time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,3672.000000,185.000000,0.000000,0.000000,680.000000,223.000000,1826.000000,31.000000,39.000000
0.000,3673.000000,187.000000,4.000000,0.000000,633.000000,171.000000,1803.000000,26.000000,48.000000
0.000,3674.000000,224.000000,8.000000,0.000000,653.000000,195.000000,1847.000000,28.000000,88.000000
0.000,3675.000000,219.000000,0.000000,0.000000,701.000000,216.000000,1852.000000,25.000000,19.000000
0.000,3676.000000,202.000000,0.000000,0.000000,683.000000,206.000000,1840.000000,26.000000,29.000000
0.000,3677.000000,235.000000,7.000000,0.000000,672.000000,201.000000,1852.000000,26.000000,8.000000
0.000,3678.000000,199.000000,8.000000,0.000000,647.000000,187.000000,1819.000000,24.000000,12.000000
0.000,3679.000000,278.000000,3.000000,0.000000,653.000000,205.000000,1831.000000,22.000000,45.000000
0.000,3680.000000,225.000000,0.000000,0.000000,691.000000,206.000000,1787.000000,28.000000,41.000000
0.000,3681.000000,220.000000,0.000000,0.000000,666.000000,189.000000,1844.000000,25.000000,27.000000
0.000,3682.000000,211.000000,0.000000,0.000000,647.000000,235.000000,1831.000000,26.000000,26.000000
0.000,3683.000000,189.000000,0.000000,0.000000,691.000000,224.000000,1803.000000,24.000000,19.000000
0.000,3684.000000,155.000000,0.000000,0.000000,665.000000,205.000000,1819.000000,30.000000,24.000000
0.000,3685.000000,167.000000,2.000000,0.000000,667.000000,203.000000,1813.000000,24.000000,25.000000
0.000,3686.000000,217.000000,0.000000,0.000000,784.000000,187.000000,1854.000000,20.000000,40.000000
0.000,3687.000000,205.000000,2.000000,0.000000,766.000000,224.000000,1821.000000,25.000000,44.000000
0.000,3688.000000,215.000000,0.000000,0.000000,746.000000,195.000000,1829.000000,24.000000,42.000000
0.000,3689.000000,183.000000,5.000000,0.000000,765.000000,204.000000,1856.000000,25.000000,37.000000
0.000,3690.000000,231.000000,0.000000,0.000000,740.000000,232.000000,1855.000000,23.000000,47.000000
0.000,3691.000000,140.000000,5.000000,0.000000,775.000000,201.000000,1841.000000,25.000000,39.000000
0.000,3692.000000,187.000000,6.000000,0.000000,733.000000,186.000000,1852.000000,20.000000,16.000000
0.000,3693.000000,185.000000,0.000000,0.000000,747.000000,227.000000,1845.000000,30.000000,46.000000
0.000,3694.000000,172.000000,2.000000,0.000000,737.000000,235.000000,1811.000000,28.000000,0.000000
0.000,3695.000000,203.000000,0.000000,0.000000,739.000000,227.000000,1831.000000,25.000000,36.000000
0.000,3696.000000,228.000000,3.000000,0.000000,657.000000,219.000000,1819.000000,30.000000,11.000000
0.000,3697.000000,159.000000,0.000000,0.000000,688.000000,184.000000,1850.000000,25.000000,18.000000
0.000,3698.000000,279.000000,0.000000,0.000000,685.000000,201.000000,1832.000000,35.000000,28.000000
0.000,3699.000000,619.000000,6.000000,0.000000,731.000000,883.000000,1835.000000,33.000000,128.000000
0.000,3700.000000,569.000000,8.000000,0.000000,1036.000000,787.000000,1839.000000,25.000000,83.000000
0.000,3701.000000,745.000000,12.000000,0.000000,1399.000000,212.000000,1873.000000,21.000000,55.000000
0.000,3702.000000,1681.000000,0.000000,0.000000,723.000000,887.000000,1835.000000,21.000000,103.000000
0.000,3703.000000,930.000000,9.000000,0.000000,982.000000,565.000000,1855.000000,28.000000,121.000000
0.000,3704.000000,937.000000,0.000000,4.000000,963.000000,261.000000,1821.000000,26.000000,93.000000
0.000,3705.000000,989.000000,35.000000,0.000000,1065.000000,241.000000,1837.000000,24.000000,87.000000
0.000,3706.000000,832.000000,33.000000,0.000000,957.000000,269.000000,1822.000000,25.000000,93.000000
0.000,3707.000000,788.000000,5.000000,0.000000,1018.000000,314.000000,1837.000000,24.000000,47.000000
0.000,3708.000000,862.000000,9.000000,0.000000,933.000000,277.000000,1817.000000,27.000000,53.000000
0.000,3709.000000,1351.000000,33.000000,0.000000,1376.000000,251.000000,1840.000000,28.000000,101.000000
0.000,3710.000000,949.000000,21.000000,0.000000,1088.000000,273.000000,1841.000000,23.000000,85.000000
0.000,3711.000000,869.000000,17.000000,0.000000,921.000000,268.000000,1840.000000,28.000000,52.000000
0.000,3712.000000,1006.000000,25.000000,0.000000,3861.000000,252.000000,1840.000000,18.000000,47.000000
0.000,3713.000000,925.000000,22.000000,0.000000,905.000000,256.000000,1839.000000,21.000000,87.000000
0.000,3714.000000,635.000000,9.000000,0.000000,799.000000,247.000000,1843.000000,22.000000,51.000000
0.000,3715.000000,453.000000,8.000000,0.000000,797.000000,235.000000,1838.000000,16.000000,72.000000
0.000,3716.000000,824.000000,11.000000,0.000000,4095.000000,172.000000,1855.000000,19.000000,64.000000
0.000,3717.000000,491.000000,8.000000,0.000000,808.000000,229.000000,1843.000000,25.000000,38.000000
0.000,3718.000000,494.000000,1.000000,5.000000,797.000000,254.000000,1852.000000,23.000000,33.000000
0.000,3719.000000,471.000000,1.000000,0.000000,803.000000,351.000000,1845.000000,28.000000,40.000000
0.000,3720.000000,499.000000,16.000000,0.000000,815.000000,245.000000,1833.000000,26.000000,41.000000
0.000,3721.000000,489.000000,11.000000,0.000000,816.000000,263.000000,1836.000000,24.000000,9.000000
0.000,3722.000000,521.000000,6.000000,0.000000,800.000000,213.000000,1847.000000,24.000000,29.000000
0.000,3723.000000,381.000000,2.000000,0.000000,793.000000,229.000000,1815.000000,23.000000,26.000000
