time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,3392.000000,676.000000,2.000000,0.000000,4095.000000,729.000000,3798.000000,89.000000,270.000000
0.000,3393.000000,602.000000,0.000000,0.000000,4095.000000,622.000000,3793.000000,80.000000,87.000000
0.000,3394.000000,634.000000,5.000000,0.000000,4095.000000,568.000000,3784.000000,81.000000,445.000000
0.000,3395.000000,608.000000,0.000000,0.000000,4095.000000,665.000000,3790.000000,76.000000,431.000000
0.000,3396.000000,624.000000,0.000000,0.000000,4095.000000,721.000000,3786.000000,87.000000,373.000000
0.000,3397.000000,610.000000,0.000000,0.000000,860.000000,880.000000,3812.000000,80.000000,399.000000
0.000,3398.000000,615.000000,0.000000,0.000000,4095.000000,672.000000,3799.000000,87.000000,269.000000
0.000,3399.000000,603.000000,3.000000,0.000000,4095.000000,650.000000,3791.000000,83.000000,198.000000
0.000,3400.000000,620.000000,0.000000,0.000000,4095.000000,620.000000,3776.000000,107.000000,167.000000
0.000,3401.000000,608.000000,0.000000,0.000000,4095.000000,595.000000,3782.000000,85.000000,138.000000
0.000,3402.000000,631.000000,2.000000,0.000000,4095.000000,599.000000,3717.000000,81.000000,175.000000
0.000,3403.000000,603.000000,0.000000,0.000000,4095.000000,600.000000,3797.000000,82.000000,173.000000
0.000,3404.000000,631.000000,9.000000,0.000000,4095.000000,613.000000,3748.000000,81.000000,165.000000
0.000,3405.000000,603.000000,2.000000,0.000000,4095.000000,633.000000,3791.000000,67.000000,153.000000
0.000,3406.000000,622.000000,0.000000,0.000000,4095.000000,619.000000,3748.000000,78.000000,160.000000
0.000,3407.000000,603.000000,6.000000,0.000000,4095.000000,646.000000,3775.000000,93.000000,354.000000
0.000,3408.000000,654.000000,4.000000,0.000000,4095.000000,689.000000,3767.000000,77.000000,327.000000
0.000,3409.000000,749.000000,3.000000,0.000000,4095.000000,908.000000,3816.000000,81.000000,403.000000
0.000,3410.000000,781.000000,4.000000,0.000000,4095.000000,921.000000,3813.000000,83.000000,169.000000
0.000,3411.000000,1051.000000,9.000000,0.000000,4095.000000,985.000000,3811.000000,76.000000,890.000000
0.000,3412.000000,793.000000,0.000000,0.000000,4095.000000,3533.000000,3092.000000,40.000000,992.000000
0.000,3413.000000,1069.000000,5.000000,0.000000,4095.000000,3091.000000,3581.000000,87.000000,1197.000000
0.000,3414.000000,659.000000,7.000000,0.000000,4095.000000,1467.000000,3961.000000,89.000000,0.000000
0.000,3415.000000,1515.000000,16.000000,0.000000,4095.000000,1594.000000,3859.000000,87.000000,1137.000000
0.000,3416.000000,1946.000000,37.000000,0.000000,1156.000000,2924.000000,3593.000000,75.000000,1427.000000
0.000,3417.000000,2055.000000,20.000000,0.000000,2392.000000,3021.000000,3624.000000,75.000000,1485.000000
0.000,3418.000000,2008.000000,33.000000,0.000000,4095.000000,3012.000000,3627.000000,75.000000,1526.000000
0.000,3419.000000,1735.000000,22.000000,0.000000,4095.000000,1883.000000,3895.000000,79.000000,1339.000000
0.000,3420.000000,1925.000000,25.000000,0.000000,4095.000000,2365.000000,3571.000000,83.000000,1573.000000
0.000,3421.000000,1771.000000,30.000000,0.000000,4095.000000,2188.000000,3677.000000,79.000000,1543.000000
0.000,3422.000000,1691.000000,24.000000,0.000000,4095.000000,1881.000000,3707.000000,77.000000,1550.000000
0.000,3423.000000,1721.000000,16.000000,0.000000,2015.000000,2282.000000,3817.000000,87.000000,1532.000000
0.000,3424.000000,2406.000000,55.000000,0.000000,4095.000000,2460.000000,2431.000000,39.000000,1242.000000
0.000,3425.000000,3147.000000,79.000000,0.000000,4095.000000,3599.000000,584.000000,0.000000,282.000000
0.000,3426.000000,3307.000000,117.000000,0.000000,4095.000000,3830.000000,887.000000,0.000000,117.000000
0.000,3427.000000,3319.000000,91.000000,0.000000,4095.000000,4095.000000,1451.000000,0.000000,635.000000
0.000,3428.000000,3339.000000,96.000000,0.000000,4095.000000,3883.000000,1188.000000,0.000000,274.000000
0.000,3429.000000,3309.000000,99.000000,0.000000,4095.000000,4095.000000,1195.000000,0.000000,483.000000
0.000,3430.000000,3493.000000,89.000000,0.000000,4095.000000,4095.000000,981.000000,0.000000,135.000000
0.000,3431.000000,3468.000000,92.000000,0.000000,4095.000000,4095.000000,1077.000000,0.000000,319.000000
0.000,3432.000000,3560.000000,89.000000,0.000000,4095.000000,4095.000000,1085.000000,0.000000,233.000000
0.000,3433.000000,3611.000000,101.000000,0.000000,3633.000000,4095.000000,1511.000000,0.000000,552.000000
0.000,3434.000000,3563.000000,96.000000,0.000000,4095.000000,4095.000000,1181.000000,2.000000,373.000000
0.000,3435.000000,3576.000000,84.000000,0.000000,4095.000000,4095.000000,1264.000000,0.000000,312.000000
0.000,3436.000000,3689.000000,100.000000,0.000000,3717.000000,4095.000000,1430.000000,0.000000,556.000000
0.000,3437.000000,3547.000000,90.000000,0.000000,3620.000000,3683.000000,1375.000000,0.000000,305.000000
0.000,3438.000000,776.000000,1.000000,0.000000,1371.000000,1082.000000,3647.000000,80.000000,675.000000
0.000,3439.000000,593.000000,0.000000,0.000000,1443.000000,1132.000000,3823.000000,87.000000,844.000000
0.000,3440.000000,688.000000,5.000000,0.000000,1469.000000,1175.000000,3804.000000,85.000000,700.000000
0.000,3441.000000,1438.000000,11.000000,0.000000,1657.000000,1315.000000,3784.000000,85.000000,864.000000
0.000,3442.000000,1496.000000,19.000000,0.000000,4095.000000,1392.000000,3812.000000,88.000000,1033.000000
0.000,3443.000000,1509.000000,10.000000,0.000000,4095.000000,1442.000000,3820.000000,85.000000,1230.000000
0.000,3444.000000,1417.000000,17.000000,0.000000,4095.000000,1800.000000,3831.000000,89.000000,1225.000000
0.000,3445.000000,1342.000000,21.000000,0.000000,4095.000000,1824.000000,3866.000000,80.000000,1165.000000
0.000,3446.000000,1467.000000,19.000000,0.000000,4095.000000,1832.000000,3805.000000,88.000000,1015.000000
0.000,3447.000000,1328.000000,6.000000,0.000000,4095.000000,1843.000000,3864.000000,81.000000,997.000000
0.000,3448.000000,1411.000000,16.000000,0.000000,4095.000000,1854.000000,3801.000000,83.000000,1017.000000
0.000,3449.000000,1528.000000,10.000000,0.000000,4095.000000,1573.000000,3775.000000,85.000000,1157.000000
0.000,3450.000000,1551.000000,17.000000,0.000000,4095.000000,1768.000000,3796.000000,88.000000,1211.000000
0.000,3451.000000,1653.000000,24.000000,0.000000,4095.000000,1658.000000,3689.000000,83.000000,1214.000000
0.000,3452.000000,1511.000000,9.000000,0.000000,4095.000000,1846.000000,3739.000000,85.000000,1124.000000
0.000,3453.000000,1553.000000,18.000000,0.000000,4095.000000,1832.000000,3707.000000,76.000000,1355.000000
0.000,3454.000000,1572.000000,21.000000,0.000000,4095.000000,1849.000000,3641.000000,83.000000,1363.000000
0.000,3455.000000,1548.000000,26.000000,0.000000,4095.000000,1943.000000,3619.000000,79.000000,1181.000000
0.000,3456.000000,1568.000000,25.000000,0.000000,4095.000000,1963.000000,3670.000000,79.000000,1179.000000
0.000,3457.000000,3205.000000,83.000000,0.000000,3732.000000,4095.000000,1344.000000,0.000000,417.000000
0.000,3458.000000,1643.000000,17.000000,0.000000,4095.000000,1931.000000,3140.000000,56.000000,1029.000000
0.000,3459.000000,1717.000000,28.000000,11.000000,4095.000000,1935.000000,3488.000000,75.000000,1078.000000
0.000,3460.000000,1784.000000,19.000000,0.000000,4095.000000,2043.000000,3352.000000,74.000000,1182.000000
0.000,3461.000000,1527.000000,20.000000,0.000000,4095.000000,1996.000000,3511.000000,60.000000,1120.000000
0.000,3462.000000,1769.000000,33.000000,0.000000,4095.000000,2167.000000,3821.000000,81.000000,0.000000
0.000,3463.000000,1837.000000,40.000000,0.000000,2017.000000,1987.000000,3468.000000,75.000000,1237.000000
