time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,7172.000000,616.000000,2.000000,0.000000,851.000000,1078.000000,3830.000000,81.000000,0.000000
0.000,7173.000000,573.000000,0.000000,0.000000,869.000000,1081.000000,3858.000000,81.000000,0.000000
0.000,7174.000000,603.000000,0.000000,0.000000,903.000000,1068.000000,3827.000000,83.000000,0.000000
0.000,7175.000000,584.000000,4.000000,0.000000,911.000000,1081.000000,3802.000000,76.000000,0.000000
0.000,7176.000000,603.000000,0.000000,0.000000,955.000000,1083.000000,3811.000000,72.000000,0.000000
0.000,7177.000000,601.000000,0.000000,0.000000,801.000000,1059.000000,3832.000000,76.000000,0.000000
0.000,7178.000000,608.000000,3.000000,0.000000,793.000000,1049.000000,3827.000000,75.000000,0.000000
0.000,7179.000000,615.000000,1.000000,0.000000,789.000000,1040.000000,3825.000000,85.000000,0.000000
0.000,7180.000000,632.000000,6.000000,0.000000,800.000000,1111.000000,3820.000000,81.000000,0.000000
0.000,7181.000000,588.000000,3.000000,0.000000,803.000000,1095.000000,3822.000000,81.000000,0.000000
0.000,7182.000000,623.000000,0.000000,0.000000,786.000000,1111.000000,3797.000000,77.000000,0.000000
0.000,7183.000000,681.000000,0.000000,0.000000,759.000000,1114.000000,3845.000000,87.000000,0.000000
0.000,7184.000000,605.000000,0.000000,0.000000,838.000000,1133.000000,3847.000000,87.000000,0.000000
0.000,7185.000000,600.000000,6.000000,0.000000,864.000000,1111.000000,3810.000000,81.000000,0.000000
0.000,7186.000000,607.000000,0.000000,0.000000,1039.000000,1147.000000,3821.000000,75.000000,0.000000
0.000,7187.000000,616.000000,0.000000,0.000000,1039.000000,1121.000000,3802.000000,76.000000,0.000000
0.000,7188.000000,627.000000,0.000000,0.000000,1029.000000,1132.000000,3807.000000,80.000000,0.000000
0.000,7189.000000,613.000000,1.000000,0.000000,863.000000,1131.000000,3816.000000,99.000000,0.000000
0.000,7190.000000,664.000000,0.000000,0.000000,881.000000,1193.000000,3800.000000,76.000000,0.000000
0.000,7191.000000,614.000000,1.000000,0.000000,862.000000,1086.000000,3795.000000,83.000000,0.000000
0.000,7192.000000,685.000000,0.000000,0.000000,864.000000,1129.000000,3785.000000,78.000000,0.000000
0.000,7193.000000,693.000000,2.000000,0.000000,872.000000,1141.000000,3799.000000,73.000000,0.000000
0.000,7194.000000,728.000000,0.000000,0.000000,896.000000,1129.000000,3770.000000,77.000000,0.000000
0.000,7195.000000,615.000000,0.000000,0.000000,861.000000,1127.000000,3876.000000,83.000000,0.000000
0.000,7196.000000,738.000000,8.000000,0.000000,871.000000,1195.000000,3750.000000,73.000000,0.000000
0.000,7197.000000,981.000000,2.000000,0.000000,1149.000000,1095.000000,3840.000000,83.000000,0.000000
0.000,7198.000000,1444.000000,13.000000,0.000000,1361.000000,1365.000000,3844.000000,77.000000,0.000000
0.000,7199.000000,563.000000,22.000000,0.000000,2096.000000,1687.000000,4095.000000,91.000000,0.000000
0.000,7200.000000,716.000000,16.000000,0.000000,1803.000000,1603.000000,3879.000000,97.000000,0.000000
0.000,7201.000000,1976.000000,43.000000,0.000000,2539.000000,2905.000000,2643.000000,11.000000,681.000000
0.000,7202.000000,2857.000000,41.000000,0.000000,2727.000000,3270.000000,2455.000000,11.000000,713.000000
0.000,7203.000000,3192.000000,80.000000,0.000000,3653.000000,4039.000000,2109.000000,0.000000,971.000000
0.000,7204.000000,416.000000,0.000000,0.000000,1005.000000,1577.000000,3758.000000,76.000000,1081.000000
0.000,7205.000000,1661.000000,25.000000,0.000000,934.000000,1755.000000,3846.000000,83.000000,1425.000000
0.000,7206.000000,1613.000000,24.000000,0.000000,874.000000,1679.000000,3848.000000,81.000000,1258.000000
0.000,7207.000000,677.000000,0.000000,0.000000,756.000000,1495.000000,3820.000000,83.000000,1075.000000
0.000,7208.000000,989.000000,3.000000,0.000000,733.000000,1627.000000,3837.000000,87.000000,1635.000000
0.000,7209.000000,556.000000,4.000000,0.000000,672.000000,1608.000000,3931.000000,87.000000,1070.000000
0.000,7210.000000,1797.000000,40.000000,0.000000,821.000000,1897.000000,3891.000000,85.000000,1465.000000
0.000,7211.000000,1847.000000,28.000000,0.000000,965.000000,1918.000000,3835.000000,86.000000,1720.000000
0.000,7212.000000,1429.000000,17.000000,0.000000,1095.000000,2037.000000,3065.000000,91.000000,1431.000000
0.000,7213.000000,2927.000000,64.000000,0.000000,3067.000000,3668.000000,1367.000000,0.000000,553.000000
0.000,7214.000000,1249.000000,3.000000,0.000000,1056.000000,1560.000000,3275.000000,59.000000,1323.000000
0.000,7215.000000,1289.000000,10.000000,0.000000,1064.000000,1645.000000,3867.000000,83.000000,1483.000000
0.000,7216.000000,1894.000000,28.000000,0.000000,1275.000000,3711.000000,4095.000000,99.000000,4053.000000
0.000,7217.000000,1943.000000,42.000000,0.000000,1475.000000,3941.000000,4095.000000,285.000000,4095.000000
0.000,7218.000000,2521.000000,60.000000,0.000000,1739.000000,4095.000000,4095.000000,101.000000,4095.000000
0.000,7219.000000,2188.000000,39.000000,0.000000,1354.000000,4027.000000,4075.000000,374.000000,4095.000000
0.000,7220.000000,2083.000000,22.000000,0.000000,1248.000000,3367.000000,3919.000000,91.000000,3533.000000
0.000,7221.000000,1517.000000,17.000000,0.000000,3019.000000,3435.000000,4012.000000,90.000000,3378.000000
0.000,7222.000000,2679.000000,60.000000,2.000000,3814.000000,4095.000000,4095.000000,811.000000,4093.000000
0.000,7223.000000,1264.000000,17.000000,0.000000,1489.000000,1243.000000,1826.000000,26.000000,663.000000
0.000,7224.000000,1902.000000,33.000000,0.000000,2077.000000,1678.000000,3670.000000,80.000000,1573.000000
0.000,7225.000000,1613.000000,33.000000,0.000000,1704.000000,1139.000000,1843.000000,33.000000,549.000000
0.000,7226.000000,1797.000000,30.000000,0.000000,2144.000000,1787.000000,3267.000000,70.000000,1085.000000
0.000,7227.000000,1982.000000,40.000000,0.000000,2245.000000,1813.000000,3391.000000,69.000000,1066.000000
0.000,7228.000000,1587.000000,21.000000,0.000000,1983.000000,1585.000000,3492.000000,73.000000,893.000000
0.000,7229.000000,1849.000000,29.000000,0.000000,1996.000000,1555.000000,3694.000000,77.000000,987.000000
0.000,7230.000000,1875.000000,33.000000,0.000000,2058.000000,1647.000000,3669.000000,76.000000,1063.000000
0.000,7231.000000,1811.000000,28.000000,0.000000,2009.000000,1619.000000,3765.000000,77.000000,1157.000000
0.000,7232.000000,1904.000000,33.000000,0.000000,2089.000000,1678.000000,3559.000000,75.000000,1149.000000
0.000,7233.000000,1931.000000,24.000000,0.000000,2071.000000,1720.000000,3600.000000,79.000000,1049.000000
0.000,7234.000000,1915.000000,26.000000,0.000000,2121.000000,1784.000000,3507.000000,81.000000,1106.000000
0.000,7235.000000,1833.000000,27.000000,0.000000,1943.000000,1694.000000,3771.000000,74.000000,1116.000000
0.000,7236.000000,1760.000000,42.000000,0.000000,1879.000000,1618.000000,2764.000000,72.000000,1477.000000
0.000,7237.000000,1865.000000,33.000000,0.000000,1871.000000,1681.000000,3328.000000,72.000000,1453.000000
0.000,7238.000000,1939.000000,34.000000,0.000000,2069.000000,1892.000000,3470.000000,72.000000,1215.000000
0.000,7239.000000,1787.000000,36.000000,0.000000,1973.000000,1869.000000,3417.000000,75.000000,1525.000000
0.000,7240.000000,1790.000000,36.000000,0.000000,1933.000000,1698.000000,3552.000000,81.000000,1458.000000
