time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
0.000,7593.000000,724.000000,0.000000,0.000000,3379.000000,2966.000000,3290.000000,12.000000,1203.000000
0.000,7594.000000,775.000000,4.000000,0.000000,3356.000000,2910.000000,3275.000000,47.000000,1197.000000
0.000,7595.000000,693.000000,2.000000,0.000000,3389.000000,2967.000000,3365.000000,53.000000,1251.000000
0.000,7596.000000,736.000000,0.000000,0.000000,3351.000000,2955.000000,3325.000000,51.000000,1235.000000
0.000,7597.000000,767.000000,1.000000,0.000000,3185.000000,2491.000000,3361.000000,73.000000,1200.000000
0.000,7598.000000,785.000000,0.000000,0.000000,3387.000000,2477.000000,3294.000000,76.000000,1197.000000
0.000,7599.000000,715.000000,3.000000,0.000000,3390.000000,2580.000000,3361.000000,67.000000,1181.000000
0.000,7600.000000,749.000000,0.000000,0.000000,3400.000000,2541.000000,3328.000000,67.000000,1203.000000
0.000,7601.000000,717.000000,5.000000,0.000000,3404.000000,2592.000000,3367.000000,59.000000,1195.000000
0.000,7602.000000,727.000000,0.000000,0.000000,3279.000000,2581.000000,3323.000000,64.000000,1157.000000
0.000,7603.000000,731.000000,0.000000,0.000000,3369.000000,2567.000000,3292.000000,41.000000,1171.000000
0.000,7604.000000,763.000000,3.000000,0.000000,3324.000000,2603.000000,3315.000000,69.000000,1111.000000
0.000,7605.000000,617.000000,0.000000,0.000000,1659.000000,2711.000000,3424.000000,75.000000,1097.000000
0.000,7606.000000,1577.000000,18.000000,0.000000,3333.000000,2555.000000,3255.000000,69.000000,1102.000000
0.000,7607.000000,805.000000,4.000000,0.000000,2765.000000,1406.000000,3435.000000,73.000000,1087.000000
0.000,7608.000000,497.000000,2.000000,0.000000,1507.000000,1141.000000,3624.000000,73.000000,823.000000
0.000,7609.000000,2044.000000,36.000000,0.000000,2981.000000,2853.000000,1745.000000,10.000000,569.000000
0.000,7610.000000,1544.000000,30.000000,0.000000,1751.000000,1276.000000,3782.000000,91.000000,843.000000
0.000,7611.000000,1757.000000,0.000000,0.000000,1904.000000,1943.000000,3839.000000,89.000000,1357.000000
0.000,7612.000000,931.000000,5.000000,0.000000,2171.000000,2075.000000,3835.000000,91.000000,1545.000000
0.000,7613.000000,1977.000000,39.000000,0.000000,3396.000000,2343.000000,3599.000000,83.000000,1723.000000
0.000,7614.000000,2085.000000,24.000000,0.000000,3461.000000,2357.000000,3565.000000,75.000000,1884.000000
